ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
WGS,2025-04-30,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001818331-25-000071,87115000.0,93197000.0,28639000.0,,,93197000.0,58476000.0,,-1531000.0,63027000.0,,,12577000.0,50450000.0,-4551000.0,,,-6529000.0,-6082000.0,,,,,,,447000,,,,,,,,,,,-6529000.0,0,,-6529000.0,,-6529000.0,0,,0,-0.23,-0.23,28147948.0,28147948.0,,446430000.0,225816000.0,,,12662000.0,6866000.0,206288000.0,220614000.0,,,155094000.0,,65520000.0,189025000.0,69541000.0,15856000.0,,,53685000.0,119484000.0,55452000.0,64032000.0,,,,,,257405000.0,0,257405000.0,,,446430000.0,10182000.0,10182000.0,,-9408000.0,-9408000.0,,13718000.0,13718000.0,,,14492000.0,14492000.0,,-6454000.0,0,-6454000.0,75000.0,,
WGS,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001818331-25-000021,305450000.0,358079000.0,111053000.0,,,358079000.0,194397000.0,,-29416000.0,217610000.0,,,45722000.0,171888000.0,-23213000.0,,,-52286000.0,-52629000.0,,,,,,,-343000,241000.0,-584000.0,,,,,,,,,-52286000.0,0,,-52286000.0,,-52286000.0,0,,0,-1.94,-1.94,26891213.0,26891213.0,,419380000.0,197968000.0,,,10650000.0,7425000.0,179893000.0,221412000.0,,32893000.0,158600000.0,,29919000.0,174133000.0,54817000.0,7954000.0,,,46863000.0,119316000.0,55753000.0,63563000.0,,,,,,245247000.0,0,245247000.0,,,419380000.0,-28496000.0,-28496000.0,,-30132000.0,-30132000.0,,44162000.0,44162000.0,,,-14466000.0,-14466000.0,,-51881000.0,0,-51881000.0,405000.0,,
WGS,2024-10-29,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001818331-24-000059,76874000.0,85233000.0,29045000.0,,,85233000.0,47829000.0,,-579000.0,55609000.0,,,11665000.0,43944000.0,-7780000.0,,,-8312000.0,-8359000.0,,,,,,,-47000,,,,,,,,,,,-8312000.0,0,,-8312000.0,,-8312000.0,0,,0,-0.31,-0.31,27095986.0,27095986.0,,408840000.0,186010000.0,,,10770000.0,7678000.0,167562000.0,222830000.0,,,162106000.0,,60724000.0,204339000.0,77342000.0,9022000.0,,,68320000.0,126997000.0,56052000.0,70945000.0,,,,,,204501000.0,0,204501000.0,,,408840000.0,-4395000.0,-4395000.0,,-7755000.0,-7755000.0,,13968000.0,13968000.0,,,1818000.0,1818000.0,,-7853000.0,0,-7853000.0,459000.0,,
WGS,2024-07-30,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001818331-24-000042,70514000.0,99877000.0,27562000.0,,,99877000.0,42952000.0,,-18784000.0,53531000.0,,,10902000.0,42629000.0,-10579000.0,,,-29173000.0,-29363000.0,,,,,,,-190000,,,,,,,,,,,-29173000.0,0,,-29173000.0,,-29173000.0,0,,0,-1.1,-1.1,26617955.0,26617955.0,,389100000.0,162167000.0,,,10322000.0,7441000.0,144404000.0,226933000.0,,,165613000.0,,61320000.0,195057000.0,68270000.0,8134000.0,,,60136000.0,0.0,56250000.0,70537000.0,,,,,,194043000.0,0,194043000.0,,,389100000.0,-4505000.0,-4505000.0,,-22701000.0,-22701000.0,,-391000.0,-391000.0,,,-27597000.0,-27597000.0,,-29005000.0,0,-29005000.0,168000.0,,
WGS,2024-04-29,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001818331-24-000023,62422000.0,82743000.0,25011000.0,,,82743000.0,37411000.0,,-6661000.0,51071000.0,,,11567000.0,39504000.0,-13660000.0,,,-20239000.0,-20321000.0,,,,,,,-82000,,,,,,-597000.0,-597000.0,,,0.0,-20239000.0,0,,-20239000.0,,-20239000.0,0,,0,-0.78,-0.78,26062170.0,26062170.0,,394528000.0,163424000.0,,,11615000.0,,151809000.0,231104000.0,,,169119000.0,,61985000.0,187311000.0,50734000.0,9477000.0,,,41257000.0,0.0,56250000.0,80327000.0,,,,,,207217000.0,0,207217000.0,,,394528000.0,-16413000.0,-16413000.0,,843000.0,843000.0,,-438000.0,-438000.0,,,-16008000.0,-16008000.0,,-20373000.0,0,-20373000.0,-134000.0,,
WGS,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001818331-24-000008,202566000.0,379259000.0,112560000.0,,,379259000.0,90006000.0,,3903000.0,270602000.0,,,58266000.0,212336000.0,-180596000.0,,,-175767000.0,-176693000.0,,,,,,,-926000,164000.0,-1090000.0,,,,1114000.0,1114000.0,,,0.0,-175767000.0,0,,-175767000.0,,-175767000.0,0,,0,-7.23,-7.23,24311989.0,24311989.0,,418756000.0,182339000.0,,,8777000.0,,173562000.0,236417000.0,,32479000.0,172625000.0,,31313000.0,190739000.0,58818000.0,10238000.0,,,48580000.0,131921000.0,56250000.0,75671000.0,,,,,,228017000.0,0,228017000.0,,,418756000.0,-180147000.0,-180147000.0,,-43726000.0,-43726000.0,,186238000.0,186238000.0,,,-37635000.0,-37635000.0,,-175342000.0,0,-175342000.0,425000.0,,
WGS,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001818331-23-000068,53303000.0,95761000.0,28044000.0,,,95761000.0,25259000.0,,509000.0,68226000.0,,,14288000.0,53938000.0,-42967000.0,,,-42286000.0,-42458000.0,,,,,,,-172000,,,,,,1053000.0,1053000.0,,,0.0,-42286000.0,0,,-42286000.0,,-42286000.0,0,,0,-1.64,-1.64,25788747.0,25788747.0,,417285000.0,171813000.0,114300000.0,,9349000.0,10737000.0,37427000.0,245472000.0,,35746000.0,176131000.0,,33595000.0,163027000.0,68366000.0,15373000.0,,,52993000.0,94661000.0,6250000.0,88411000.0,,,,,,254258000.0,0,254258000.0,,,417285000.0,-41228000.0,-41228000.0,,-27129000.0,-27129000.0,,-911000.0,-911000.0,,,-69268000.0,-69268000.0,,-42286000.0,0,-42286000.0,0.0,,
WGS,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001818331-23-000064,48706000.0,95621000.0,29949000.0,,,95621000.0,18757000.0,,4707000.0,70379000.0,,,17138000.0,53241000.0,-51622000.0,,,-46719000.0,-46915000.0,,,,,,,-196000,,,,,626000.0,,,,,,-46719000.0,0,,-46719000.0,,-46719000.0,0,,0,-1.84,-1.84,25418358.0,25418358.0,,476390000.0,213277000.0,,,11531000.0,,201746000.0,263113000.0,,43332000.0,179638000.0,,40143000.0,180277000.0,84368000.0,25011000.0,,,59357000.0,0.0,6250000.0,89659000.0,,,,,,296113000.0,0,296113000.0,,,476390000.0,-53501000.0,-53501000.0,,-11271000.0,-11271000.0,,7388000.0,7388000.0,,,-57384000.0,-57384000.0,,-46719000.0,0,-46719000.0,-46719000.0,,
WGS,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001818331-23-000043,43139000.0,104275000.0,27903000.0,,,104275000.0,15236000.0,,-772000.0,75600000.0,,,14592000.0,61008000.0,-60364000.0,,,-60989000.0,-61136000.0,,,,,,,-147000,,,,,767000.0,,,,,,-60989000.0,0,,-60989000.0,,-60989000.0,0,,0,-3.04,-3.04,20061945.0,20061945.0,,545295000.0,272348000.0,,,12334000.0,,260014000.0,272947000.0,,49508000.0,183144000.0,,40295000.0,216826000.0,119032000.0,36918000.0,,,82114000.0,0.0,6250000.0,91544000.0,,,,,,328469000.0,0,328469000.0,,,545295000.0,-55560000.0,-55560000.0,,-462000.0,-462000.0,,132658000.0,132658000.0,,,76636000.0,76636000.0,,-60989000.0,0,-60989000.0,-60989000.0,,
WGS,,,TTM,2024-04-01,2025-03-31,,330143000.0,368533000.0,114681000.0,,,368533000.0,215462000.0,,-24286000.0,229566000.0,,,46732000.0,182834000.0,-14104000.0,,,-38576000.0,-38390000.0,,,,,,,186000,,,,,,,,,,,-38576000.0,0,,-38576000.0,,-38576000.0,0,,0,-1.4100000000000001,-1.4100000000000001,82159225.0,82159225.0,,446430000.0,225816000.0,,,12662000.0,6866000.0,206288000.0,220614000.0,,,155094000.0,,65520000.0,189025000.0,69541000.0,15856000.0,,,53685000.0,119484000.0,55452000.0,64032000.0,,,,,,257405000.0,0,257405000.0,,,446430000.0,-1901000.0,-1901000.0,,-40383000.0,-40383000.0,,58318000.0,58318000.0,,,16034000.0,16034000.0,,-37962000.0,0,-37962000.0,614000.0,,
