ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
WLDN,2025-05-09,2025,Q4,2024-12-28,2025-04-04,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-007025,152386000.0,147193000.0,94725000.0,,,147193000.0,57661000.0,,-1843000.0,50625000.0,,4440000.0,,46185000.0,7036000.0,,,4687000.0,5193000.0,,,,,,,506000.0,,606000.0,,,,,,,,,4687000.0,0,,4687000.0,,4687000.0,0,,0,0.33,0.32,14163000.0,14628000.0,,471158000.0,197005000.0,,,,,,274153000.0,,,,,,225642000.0,122208000.0,41634000.0,,,80574000.0,103434000.0,86943000.0,16491000.0,,,,,,245516000.0,0,245516000.0,,,471158000.0,3311000.0,3311000.0,,-34764000.0,-34764000.0,,-4341000.0,-4341000.0,,,-35794000.0,-35794000.0,,4502000.0,0,4502000.0,-185000,,
WLDN,2025-03-07,2024,FY,2023-12-30,2024-12-27,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-002429,565798000.0,539119000.0,363016000.0,,,539119000.0,202782000.0,,-4674000.0,171429000.0,,14745000.0,,156684000.0,31353000.0,,,22570000.0,26679000.0,,,,,,,4109000.0,,2615000.0,,,,,,,,,22570000.0,0,,22570000.0,,22570000.0,0,,0,1.63,1.58,13818000.0,14245000.0,,464863000.0,235524000.0,,,,,,229339000.0,,,,,,230520000.0,137677000.0,33766000.0,,,103911000.0,92843000.0,89487000.0,3356000.0,,,,,,234343000.0,0,234343000.0,,,464863000.0,72073000.0,72073000.0,,-15743000.0,-15743000.0,,-5569000.0,-5569000.0,,,50761000.0,50761000.0,,22920000.0,0,22920000.0,350000,,
WLDN,2024-08-02,2024,Q2,2024-03-30,2024-06-28,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-010633,140996000.0,0.0,92192000.0,,,134548000.0,48804000.0,,-1134000.0,42356000.0,,3629000.0,,38727000.0,6448000.0,,,4594000.0,5314000.0,,,,,,,720000.0,,84000.0,,,,,,,,,4594000.0,0,,4594000.0,,4594000.0,0,,0,0.33,0.33,13725000.0,14074000.0,,421289000.0,200450000.0,,,,,,220839000.0,,,,,,208284000.0,110827000.0,31917000.0,,,78910000.0,97457000.0,93694000.0,3763000.0,,,,,,213005000.0,0,213005000.0,,,421289000.0,889000.0,889000.0,,-2150000.0,-2150000.0,,-1397000.0,-1397000.0,,,-2658000.0,-2658000.0,,4594000.0,0,4695000.0,101000,,
WLDN,2024-05-03,2024,Q1,2023-12-30,2024-03-29,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-006577,122489000.0,0.0,75071000.0,,,117128000.0,47418000.0,,-1433000.0,42057000.0,,3592000.0,,38465000.0,5361000.0,,,2942000.0,3928000.0,,,,,,,986000.0,,1005000.0,,,,,,,,,2942000.0,0,,2942000.0,,2942000.0,0,,0,0.22,0.21,13605000.0,13910000.0,,407900000.0,186541000.0,,,,,,221359000.0,,,,,,202385000.0,104068000.0,34518000.0,,,69550000.0,0.0,95495000.0,2822000.0,,,,,,205515000.0,0,205515000.0,,,407900000.0,26949000.0,26949000.0,,-1952000.0,-1952000.0,,-1469000.0,-1469000.0,,,23528000.0,23528000.0,,2942000.0,0,3376000.0,434000,,
WLDN,2024-03-08,2023,FY,2022-12-31,2023-12-29,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-002758,510095000.0,495504000.0,330328000.0,,,495504000.0,179767000.0,,-7483000.0,157693000.0,,16431000.0,,141262000.0,22074000.0,,,10926000.0,14591000.0,,,,,,,3665000.0,,2582000.0,,,,,,,,,10926000.0,0,,10926000.0,,10926000.0,0,,0,0.82,0.8,13394000.0,13606000.0,,415588000.0,192016000.0,,,,,,223572000.0,,,,,,215743000.0,114680000.0,33193000.0,,,81487000.0,101063000.0,97431000.0,3632000.0,,,,,,199845000.0,0,199845000.0,,,415588000.0,39214000.0,39214000.0,,-11457000.0,-11457000.0,,-23845000.0,-23845000.0,,,3912000.0,3912000.0,,10262000.0,0,10262000.0,-664000,,
WLDN,2023-11-03,2023,Q3,2023-07-01,2023-09-29,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-017486,132738000.0,0.0,89310000.0,,,128901000.0,43428000.0,,-1558000.0,39591000.0,,4190000.0,,35401000.0,3837000.0,,,1566000.0,2279000.0,,,,,,,713000.0,,345000.0,,,,,,,,,1566000.0,0,,1566000.0,,1566000.0,0,,0,0.12,0.11,13462000.0,13709000.0,,401620000.0,164506000.0,,,,,,237114000.0,,,,,,210547000.0,107824000.0,32755000.0,,,75069000.0,102723000.0,99381000.0,3342000.0,,,,,,191073000.0,0,191073000.0,,,401620000.0,5203000.0,5203000.0,,-3408000.0,-3408000.0,,-2557000.0,-2557000.0,,,-762000.0,-762000.0,,1566000.0,0,1566000.0,0,,
WLDN,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-013281,119077000.0,0.0,78444000.0,,,116603000.0,40633000.0,,-1834000.0,38159000.0,,4128000.0,,34031000.0,2474000.0,,,397000.0,640000.0,,,,,,,243000.0,,69000.0,,,,,,,,,397000.0,0,,397000.0,,397000.0,0,,0,0.03,0.03,13344000.0,13487000.0,,394820000.0,155772000.0,,,,,,239048000.0,,,,,,207958000.0,195698000.0,35155000.0,,,160543000.0,0.0,102638000.0,,,,,,,186862000.0,0,186862000.0,,,394820000.0,1617000.0,1617000.0,,-2232000.0,-2232000.0,,-3589000.0,-3589000.0,,,-4204000.0,-4204000.0,,397000.0,0,397000.0,0,,
WLDN,2023-05-05,2023,Q1,2022-12-31,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-008172,102603000.0,0.0,61322000.0,,,98589000.0,41281000.0,,-2326000.0,37267000.0,,4200000.0,,33067000.0,4014000.0,,,932000.0,1688000.0,,,,,,,756000.0,,782000.0,,,,,,,,,932000.0,0,,932000.0,,932000.0,0,,0,0.07,0.07,13266000.0,13470000.0,,393367000.0,155224000.0,,,,,,238143000.0,,,,,,208132000.0,111362000.0,29312000.0,,,82050000.0,0.0,101797000.0,,,,,,,185235000.0,0,185235000.0,,,393367000.0,17292000.0,17292000.0,,-3475000.0,-3475000.0,,-15449000.0,-15449000.0,,,-1632000.0,-1632000.0,,932000.0,0,932000.0,0,,
WLDN,2023-03-10,2022,FY,2022-01-01,2022-12-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-003367,429138000.0,440590000.0,285559000.0,,,440590000.0,143579000.0,,-4389000.0,150642000.0,,17489000.0,,133153000.0,-7063000.0,,,-8448000.0,-11452000.0,,,,,,,-3004000.0,,-1694000.0,,,,,,,,,-8448000.0,0,,-8448000.0,,-8448000.0,0,,0,-0.65,-0.65,13013000.0,13013000.0,,409674000.0,173974000.0,,,,,,235700000.0,,,41486000.0,,194214000.0,228172000.0,127169000.0,28833000.0,,,98336000.0,101003000.0,107447000.0,,,,,,,181502000.0,0,181502000.0,,,409674000.0,9433000.0,9433000.0,,-9527000.0,-9527000.0,,8358000.0,8358000.0,,,8264000.0,8264000.0,,-8410000.0,0,-8410000.0,38000,,
WLDN,2022-11-04,2022,Q3,2022-07-02,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-22-016314,121399000.0,0.0,83877000.0,,,122154000.0,37522000.0,,-695000.0,38277000.0,,4405000.0,,33872000.0,-755000.0,,,76000.0,-1450000.0,,,,,,,-1526000.0,,-1269000.0,,,,,,,,,76000.0,0,,76000.0,,76000.0,0,,0,0.01,0.01,13110000.0,13360000.0,,395111000.0,154121000.0,,,,,,240990000.0,,,44182000.0,,196808000.0,214900000.0,110506000.0,23487000.0,,,87019000.0,104394000.0,109422000.0,,,,,,,180211000.0,0,180211000.0,,,395111000.0,8072000.0,8072000.0,,-2623000.0,-2623000.0,,-2442000.0,-2442000.0,,,3007000.0,3007000.0,,76000.0,0,76000.0,0,,
