ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
XERS,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001867096-25-000089,60119000.0,0.0,,,,63209000.0,,,,63209000.0,44018000.0,,7753000.0,11438000.0,-3090000.0,,,-9220000.0,60119000.0,,,,,,,0.0,,0.0,,,,,,,,,-9220000.0,0,,-9220000.0,,-9220000.0,0,,0,-0.06,-0.06,152445935.0,152445935.0,,315453000.0,163494000.0,,,52690000.0,6034000.0,104770000.0,151959000.0,,5260000.0,96211000.0,,50488000.0,350581000.0,95072000.0,6352000.0,,12516000.0,76204000.0,255509000.0,229764000.0,25745000.0,,,,,,-35128000.0,0.0,-35128000.0,,,315453000.0,-10031000.0,-10031000.0,,-13000.0,-13000.0,,-3137000.0,-3137000.0,,,-13181000.0,-13181000.0,,-9220000.0,0.0,-9220000.0,-9220000.0,,
XERS,2025-03-06,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001867096-25-000039,203070000.0,260174000.0,,,,260174000.0,,,,236716000.0,163481000.0,,25560000.0,47675000.0,-33646000.0,,,-54836000.0,-57104000.0,,,,,,,-2268000.0,,-2268000.0,,,,,,,,,-54836000.0,0,,-54836000.0,,-54836000.0,0,,0,-0.37,-0.37,146772758.0,146772758.0,,323060000.0,167662000.0,,,48175000.0,7451000.0,112036000.0,155398000.0,,5562000.0,98921000.0,,50915000.0,352675000.0,100443000.0,2290000.0,,19577000.0,78576000.0,252232000.0,232108000.0,20124000.0,,,,,,-29615000.0,0.0,-29615000.0,,,323060000.0,-36981000.0,-36981000.0,,4883000.0,4883000.0,,36168000.0,36168000.0,,,4070000.0,4070000.0,,-54836000.0,0.0,-54836000.0,-54836000.0,,
XERS,2024-11-08,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001867096-24-000187,54268000.0,0.0,,,,67161000.0,,,,67161000.0,44969000.0,,5888000.0,16304000.0,-12893000.0,,,-15738000.0,54268000.0,,,,,,,-3324000.0,,-3324000.0,,,,,,,,,-15738000.0,0,,-15738000.0,,-15738000.0,0,,0,-0.11,-0.11,148993823.0,148993823.0,,321104000.0,162799000.0,,,45119000.0,7140000.0,110540000.0,158305000.0,,5613000.0,101632000.0,,51060000.0,349427000.0,91013000.0,7451000.0,,16433000.0,67129000.0,258414000.0,216227000.0,42187000.0,,,,,,-28323000.0,0.0,-28323000.0,,,321104000.0,-8305000.0,-8305000.0,,9914000.0,9914000.0,,-83000.0,-83000.0,,,1526000.0,1526000.0,,-15723000.0,0.0,-15723000.0,15000.0,,
XERS,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001867096-24-000162,48065000.0,0.0,,,,56252000.0,,,,56252000.0,39993000.0,,5759000.0,10500000.0,-8187000.0,,,-15005000.0,-15005000.0,,,,,,,749000.0,,749000.0,,,,,,,,,-15005000.0,0,,-15005000.0,,-15005000.0,0,,0,-0.1,-0.1,148345549.0,148345549.0,,331733000.0,170340000.0,,,42977000.0,7355000.0,120008000.0,161393000.0,,5833000.0,104343000.0,,51217000.0,351019000.0,75488000.0,5798000.0,,12825000.0,56865000.0,0.0,230481000.0,45050000.0,,,,,,-19286000.0,0.0,-19286000.0,,,331733000.0,-10348000.0,-10348000.0,,4603000.0,4603000.0,,659000.0,659000.0,,,-5086000.0,-5086000.0,,-14999000.0,0.0,-14999000.0,5000.0,,
XERS,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001867096-24-000065,40638000.0,0.0,,,,54883000.0,,,,54883000.0,38380000.0,,7821000.0,8682000.0,-14245000.0,,,-18980000.0,-18980000.0,,,,,,,307000.0,,307000.0,,,7032000.0,,,,,,-18980000.0,0,,-18980000.0,,-18980000.0,0,,0,-0.14,-0.14,140513907.0,140513907.0,,336616000.0,173280000.0,,,40878000.0,7636000.0,124766000.0,163336000.0,,5783000.0,107053000.0,,50500000.0,345794000.0,73084000.0,7094000.0,,10368000.0,55622000.0,0.0,229674000.0,43036000.0,,,,,,-9178000.0,0.0,-9178000.0,,,336616000.0,-20303000.0,-20303000.0,,-19650000.0,-19650000.0,,35194000.0,35194000.0,,,-4759000.0,-4759000.0,,-18991000.0,0.0,-18991000.0,-11000.0,,
XERS,2024-03-06,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001867096-24-000031,163914000.0,227418000.0,,,,227418000.0,,,,207924000.0,146095000.0,,22341000.0,39488000.0,-44010000.0,,,-62255000.0,-63504000.0,,,,,,,-1249000.0,,-1249000.0,,,26609000.0,,,,,,-62255000.0,0,,-62255000.0,,-62255000.0,0,,0,-0.45,-0.45,137674857.0,137674857.0,,322602000.0,156264000.0,,,38838000.0,5778000.0,111648000.0,166338000.0,,5971000.0,109764000.0,,50603000.0,329384000.0,95193000.0,11565000.0,,16956000.0,66672000.0,234191000.0,190932000.0,43259000.0,,,,,,-6782000.0,0.0,-6782000.0,,,322602000.0,-47023000.0,-47023000.0,,-6004000.0,-6004000.0,,-1613000.0,-1613000.0,,0.0,-54640000.0,-54640000.0,,-62257000.0,0.0,-62257000.0,-2000.0,,
XERS,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001867096-23-000139,48320000.0,0.0,,,,53233000.0,,,,53233000.0,37287000.0,,5034000.0,10912000.0,-4913000.0,,,-12189000.0,48320000.0,,,,,,,-338000.0,,,,,6847000.0,,,,,,-12189000.0,0,,-12189000.0,,-12189000.0,0,,0,-0.09,-0.09,138059781.0,138059781.0,,327784000.0,158051000.0,,,38143000.0,7967000.0,111941000.0,169733000.0,,6185000.0,112475000.0,,51073000.0,323919000.0,87039000.0,12078000.0,,11726000.0,63235000.0,236880000.0,190423000.0,46457000.0,,,,,,3865000.0,0.0,3865000.0,,,327784000.0,-14610000.0,-14610000.0,,14655000.0,14655000.0,,-72000.0,-72000.0,,,-27000.0,-27000.0,,-12161000.0,0.0,-12161000.0,28000.0,,
XERS,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001867096-23-000114,38008000.0,0.0,,,,53987000.0,,,,53987000.0,37635000.0,,6087000.0,10265000.0,-15979000.0,,,-19842000.0,-19842000.0,,,,,,,-675000.0,,,,,6528000.0,,,,,,-19842000.0,0,,-19842000.0,,-19842000.0,0,,0,-0.14,-0.14,137338071.0,137338071.0,,328778000.0,155741000.0,,,36538000.0,8310000.0,110893000.0,173037000.0,,6552000.0,115186000.0,,51299000.0,315137000.0,79678000.0,11621000.0,,10968000.0,57089000.0,0.0,188182000.0,47277000.0,,,,,,13641000.0,0.0,13641000.0,,,328778000.0,-13744000.0,-13744000.0,,8452000.0,8452000.0,,556000.0,556000.0,,0.0,-4736000.0,-4736000.0,,-19891000.0,0.0,-19891000.0,-49000.0,,
XERS,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001867096-23-000069,33196000.0,0.0,,,,46473000.0,,,,46473000.0,33605000.0,,4838000.0,8030000.0,-13277000.0,,,-16834000.0,-16834000.0,,,,,,,0.0,,,,,6216000.0,,,,,,-16834000.0,0,,-16834000.0,,-16834000.0,0,,0,-0.12,-0.12,137142565.0,137142565.0,,321360000.0,165513000.0,,,29039000.0,10512000.0,125962000.0,155847000.0,,6477000.0,117896000.0,,31474000.0,291312000.0,81423000.0,11983000.0,,8761000.0,60679000.0,0.0,187623000.0,22266000.0,,,,,,30048000.0,0.0,30048000.0,,,321360000.0,-26140000.0,-26140000.0,,-43979000.0,-43979000.0,,-863000.0,-863000.0,,0.0,-70982000.0,-70982000.0,,-16840000.0,0.0,-16840000.0,-6000.0,,
XERS,2023-03-08,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001867096-23-000031,110248000.0,0.0,,,,192188000.0,,,,192188000.0,137745000.0,,20966000.0,33477000.0,-81940000.0,,,-94660000.0,110248000.0,,,,,,,-1424000.0,,-1424000.0,,,15325000.0,,,,,,-94660000.0,0,,-94660000.0,,-94660000.0,0,,0,-0.7,-0.7,135628721.0,135628721.0,,344522000.0,186818000.0,,,24735000.0,9287000.0,152796000.0,157704000.0,,5516000.0,120607000.0,,31581000.0,299335000.0,73621000.0,4606000.0,,13400000.0,55615000.0,225714000.0,187075000.0,38639000.0,,,,,,45187000.0,0.0,45187000.0,,,344522000.0,-102891000.0,-102891000.0,,34461000.0,34461000.0,,127473000.0,127473000.0,,0.0,59043000.0,59043000.0,,-94652000.0,0.0,-94652000.0,8000.0,,
XERS,2022-11-09,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001867096-22-000127,29725000.0,0.0,,,,48505000.0,,,,48505000.0,34491000.0,,6043000.0,7971000.0,-18780000.0,,,-21831000.0,29725000.0,,,,,,,-339000.0,,,,,3989000.0,,,,,,-21831000.0,0,,-21831000.0,,-21831000.0,0,,0,-0.16,-0.16,135951761.0,135951761.0,,303017000.0,148919000.0,,,20121000.0,7847000.0,120951000.0,154098000.0,,5751000.0,123318000.0,,25029000.0,247977000.0,68558000.0,3916000.0,,10792000.0,53850000.0,179419000.0,138507000.0,40912000.0,,,,,,55040000.0,0.0,55040000.0,,,303017000.0,-17754000.0,-17754000.0,,6709000.0,6709000.0,,-187000.0,-187000.0,,1000.0,-11231000.0,-11232000.0,,-21816000.0,0.0,-21816000.0,15000.0,,
XERS,2022-08-10,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001867096-22-000107,25306000.0,0.0,,,,44222000.0,,,,44222000.0,32984000.0,,3718000.0,7520000.0,-18916000.0,,,-26185000.0,-26185000.0,,,,,,,-339000.0,,,,,3448000.0,,,,,,-26185000.0,0,,-26185000.0,,-26185000.0,0,,0,-0.19,-0.19,135529968.0,135529968.0,,318616000.0,161206000.0,,,17887000.0,6010000.0,137309000.0,157410000.0,,6170000.0,126029000.0,,25211000.0,244673000.0,64545000.0,6631000.0,,10624000.0,47290000.0,0.0,138068000.0,42060000.0,,,,,,73943000.0,0.0,73943000.0,,,318616000.0,-20609000.0,-20609000.0,,11868000.0,11868000.0,,310000.0,310000.0,,0.0,-8431000.0,-8431000.0,,-26171000.0,0.0,-26171000.0,14000.0,,
XERS,2022-05-11,2022,Q1,2022-01-01,2022-03-31,https://api.polygon.io/v1/reference/sec/filings/0001867096-22-000063,22073000.0,0.0,,,,51147000.0,,,,51147000.0,35913000.0,,6250000.0,8984000.0,-29074000.0,,,-33714000.0,-33714000.0,,,,,,,-408000.0,,,,,3521000.0,,,,,,-33714000.0,0,,-33714000.0,,-33714000.0,0,,0,-0.25,-0.25,135032782.0,135032782.0,,337623000.0,177550000.0,,,16872000.0,5147000.0,155531000.0,160073000.0,,6291000.0,128739000.0,,25043000.0,241168000.0,66492000.0,11091000.0,,9558000.0,45843000.0,0.0,137639000.0,37037000.0,,,,,,96455000.0,0.0,96455000.0,,,337623000.0,-48409000.0,-48409000.0,,6716000.0,6716000.0,,78194000.0,78194000.0,,-1000.0,36500000.0,36501000.0,,-33749000.0,0.0,-33749000.0,-35000.0,,
XERS,2022-03-11,2021,FY,2021-01-01,2021-12-31,https://api.polygon.io/v1/reference/sec/filings/0001867096-22-000040,49590000.0,0.0,,,,164746000.0,,,,164746000.0,125718000.0,,25160000.0,13868000.0,-115156000.0,,,-122725000.0,49590000.0,,,,,,,0.0,,,,,7180000.0,,,,,,-122725000.0,0,,-122725000.0,,-122725000.0,0,,0,,,,,,304361000.0,142596000.0,,,18118000.0,4589000.0,119889000.0,161765000.0,,6627000.0,131450000.0,,23688000.0,209130000.0,79040000.0,8924000.0,,19638000.0,50478000.0,130090000.0,88067000.0,42023000.0,,,,,,95231000.0,0.0,95231000.0,,,304361000.0,-95535000.0,-95535000.0,,97964000.0,97964000.0,,27247000.0,27247000.0,,-3000.0,29673000.0,29676000.0,,-122762000.0,0.0,-122762000.0,-37000.0,,
