date,open,high,low,close,volume
2017-04-06 04:00:00,22.3,23.1,21.895,23.08,2162103.0
2017-04-07 04:00:00,23.25,23.61,22.67,23.27,1900527.0
2017-04-10 04:00:00,23.3,24.58,23.27,23.27,2089927.0
2017-04-11 04:00:00,23.27,23.42,22.95,23.18,975608.0
2017-04-12 04:00:00,23.27,23.35,22.34,22.42,973706.0
2017-04-13 04:00:00,22.22,22.5,22.02,22.04,867084.0
2017-04-17 04:00:00,22.04,22.17,21.95,22.08,699939.0
2017-04-18 04:00:00,22.06,22.51,22.02,22.5,833061.0
2017-04-19 04:00:00,22.55,22.91,22.545,22.73,413565.0
2017-04-20 04:00:00,22.94,23.36,22.79,23.3,802013.0
2017-04-21 04:00:00,23.34,23.78,23.29,23.69,988780.0
2017-04-24 04:00:00,24.0,24.05,23.72,24.02,943246.0
2017-04-25 04:00:00,24.21,24.3,24.0801,24.17,619206.0
2017-04-26 04:00:00,24.12,24.48,24.0,24.26,610935.0
2017-04-27 04:00:00,24.36,24.73,24.36,24.7,677772.0
2017-04-28 04:00:00,24.75,24.75,24.4374,24.58,590719.0
2017-05-01 04:00:00,24.72,24.82,24.54,24.75,495141.0
2017-05-02 04:00:00,24.66,24.82,24.61,24.78,455137.0
2017-05-03 04:00:00,24.58,24.77,24.5,24.74,348583.0
2017-05-04 04:00:00,24.77,24.9,24.68,24.84,551738.0
2017-05-05 04:00:00,24.88,24.95,24.675,24.95,398798.0
2017-05-08 04:00:00,24.84,25.07,24.59,25.04,668173.0
2017-05-09 04:00:00,24.9,25.51,24.9,25.18,1249735.0
2017-05-10 04:00:00,26.97,28.17,25.66,26.25,3422993.0
2017-05-11 04:00:00,26.06,26.29,25.75,26.0,922313.0
2017-05-12 04:00:00,26.0,26.3,25.96,25.99,885254.0
2017-05-15 04:00:00,25.99,26.04,25.15,25.16,941017.0
2017-05-16 04:00:00,25.1,25.61,24.83,25.56,909716.0
2017-05-17 04:00:00,25.36,25.36,24.56,24.59,1042396.0
2017-05-18 04:00:00,24.5,24.65,24.08,24.13,764220.0
2017-05-19 04:00:00,24.13,24.84,24.13,24.6,543075.0
2017-05-22 04:00:00,24.72,24.82,24.53,24.73,350944.0
2017-05-23 04:00:00,24.75,24.94,24.46,24.88,493380.0
2017-05-24 04:00:00,24.88,25.01,24.69,24.78,464934.0
2017-05-25 04:00:00,24.96,25.15,24.765,24.99,554212.0
2017-05-26 04:00:00,25.0,25.0336,24.62,24.9,461329.0
2017-05-30 04:00:00,24.75,24.8657,24.45,24.59,529221.0
2017-05-31 04:00:00,24.67,24.74,23.98,24.01,781740.0
2017-06-01 04:00:00,24.1,24.5,23.9953,24.46,728103.0
2017-06-02 04:00:00,24.42,24.83,24.4,24.52,600554.0
2017-06-05 04:00:00,24.44,24.59,24.14,24.4,753151.0
2017-06-06 04:00:00,24.24,24.74,24.2,24.66,476917.0
2017-06-07 04:00:00,24.6,24.71,24.17,24.26,518379.0
2017-06-08 04:00:00,24.25,24.58,24.18,24.44,459676.0
2017-06-09 04:00:00,24.34,24.67,24.1754,24.37,483086.0
2017-06-12 04:00:00,24.33,24.46,24.11,24.2,362227.0
2017-06-13 04:00:00,24.26,24.5,24.12,24.47,475426.0
2017-06-14 04:00:00,24.38,24.5,24.17,24.27,410250.0
2017-06-15 04:00:00,24.1,25.0,24.04,24.76,590208.0
2017-06-16 04:00:00,24.5,25.5,24.33,25.36,1351558.0
2017-06-19 04:00:00,25.53,25.69,25.29,25.41,509701.0
2017-06-20 04:00:00,25.6,27.0,25.55,25.77,1432654.0
2017-06-21 04:00:00,25.76,26.375,25.735,26.02,807239.0
2017-06-22 04:00:00,26.0,26.4,25.815,26.29,515214.0
2017-06-23 04:00:00,26.32,26.42,26.14,26.32,396249.0
2017-06-26 04:00:00,26.27,26.39,25.88,25.96,394856.0
2017-06-27 04:00:00,25.93,25.99,25.35,25.44,513801.0
2017-06-28 04:00:00,25.61,26.02,25.52,25.86,354069.0
2017-06-29 04:00:00,25.87,25.97,24.76,25.17,494407.0
2017-06-30 04:00:00,25.2,25.46,24.97,25.14,418130.0
2017-07-03 04:00:00,25.22,25.45,25.02,25.16,194351.0
2017-07-05 04:00:00,25.09,25.5,25.03,25.27,349601.0
2017-07-06 04:00:00,25.28,25.39,24.94,25.05,529936.0
2017-07-07 04:00:00,23.95,25.25,23.7739,25.09,745200.0
2017-07-10 04:00:00,25.04,25.31,24.71,25.02,345363.0
2017-07-11 04:00:00,24.93,25.55,24.87,25.32,407098.0
2017-07-12 04:00:00,25.42,25.71,25.28,25.47,399553.0
2017-07-13 04:00:00,25.43,25.5,25.07,25.23,419300.0
2017-07-14 04:00:00,25.13,25.4,24.85,25.29,522432.0
2017-07-17 04:00:00,25.24,25.85,25.19,25.82,440984.0
2017-07-18 04:00:00,25.72,25.72,25.1971,25.23,434762.0
2017-07-19 04:00:00,25.2,25.56,25.15,25.39,357356.0
2017-07-20 04:00:00,25.45,25.45,25.061,25.38,280041.0
2017-07-21 04:00:00,25.58,25.58,25.19,25.26,369479.0
2017-07-24 04:00:00,25.23,25.53,25.106,25.37,275463.0
2017-07-25 04:00:00,25.42,25.521,25.18,25.41,386546.0
2017-07-26 04:00:00,25.47,25.48,24.96,25.22,526175.0
2017-07-27 04:00:00,25.23,25.37,24.8,24.99,305564.0
