date,open,high,low,close,volume
2015-05-26 04:00:00,28.59,28.7,27.96,28.32,285328.0
2015-05-27 04:00:00,28.4,28.87,28.24,28.82,292627.0
2015-05-28 04:00:00,28.82,28.99,28.3601,28.69,161122.0
2015-05-29 04:00:00,28.64,28.78,28.19,28.52,223216.0
2015-06-01 04:00:00,28.68,29.46,28.282,29.18,320492.0
2015-06-02 04:00:00,29.02,29.24,28.69,29.17,407876.0
2015-06-03 04:00:00,29.2,29.41,28.9,29.25,180344.0
2015-06-04 04:00:00,29.06,29.35,28.64,28.83,382721.0
2015-06-05 04:00:00,28.81,29.44,28.51,29.39,218062.0
2015-06-08 04:00:00,29.47,29.5,28.9694,29.0,214582.0
2015-06-09 04:00:00,29.0,29.216,28.4,28.5,265962.0
2015-06-10 04:00:00,28.69,29.45,28.3558,29.35,218199.0
2015-06-11 04:00:00,29.46,29.49,29.05,29.34,150014.0
2015-06-12 04:00:00,29.18,29.33,28.93,29.03,165562.0
2015-06-15 04:00:00,28.71,29.01,28.02,28.88,252877.0
2015-06-16 04:00:00,28.81,29.16,28.64,29.14,219563.0
2015-06-17 04:00:00,29.15,29.33,28.82,28.82,251597.0
2015-06-18 04:00:00,28.87,29.12,28.67,29.0,184408.0
2015-06-19 04:00:00,29.1,29.1,28.66,29.03,275941.0
2015-06-22 04:00:00,29.27,29.35,28.96,29.31,133222.0
2015-06-23 04:00:00,29.33,29.33,28.62,28.88,248293.0
2015-06-24 04:00:00,28.85,29.07,28.56,28.83,190451.0
2015-06-25 04:00:00,28.87,29.05,28.72,29.0,214005.0
2015-06-26 04:00:00,28.97,29.07,28.23,28.56,800561.0
2015-06-29 04:00:00,28.43,28.53,27.35,27.41,295913.0
2015-06-30 04:00:00,27.82,27.85,26.9,27.49,618704.0
2015-07-01 04:00:00,27.93,28.6,27.59,27.61,390223.0
2015-07-02 04:00:00,27.69,28.08,27.4001,27.73,162953.0
2015-07-06 04:00:00,27.48,27.96,26.88,27.17,291940.0
2015-07-07 04:00:00,27.1,27.19,26.37,27.07,376393.0
2015-07-08 04:00:00,26.79,27.0199,26.39,26.59,239626.0
2015-07-09 04:00:00,26.99,27.22,26.48,26.58,255493.0
2015-07-10 04:00:00,27.03,27.16,26.63,26.91,210712.0
2015-07-13 04:00:00,27.09,27.54,27.03,27.36,169247.0
2015-07-14 04:00:00,27.45,27.83,27.38,27.69,149790.0
2015-07-15 04:00:00,27.59,27.59,27.11,27.19,145501.0
2015-07-16 04:00:00,27.31,27.31,25.85,26.36,444461.0
2015-07-17 04:00:00,26.43,26.43,25.82,26.26,189991.0
2015-07-20 04:00:00,26.3,26.42,26.0,26.11,147485.0
2015-07-21 04:00:00,26.01,26.6,26.01,26.47,209075.0
2015-07-22 04:00:00,26.3,26.57,25.92,26.53,154361.0
