date,open,high,low,close,volume
2015-05-26 04:00:00,13.68,13.7,13.37,13.42,5193635.0
2015-05-27 04:00:00,13.63,13.65,13.39,13.44,4056388.0
2015-05-28 04:00:00,13.39,13.47,13.3,13.33,3498898.0
2015-05-29 04:00:00,13.33,13.6,13.29,13.6,7878056.0
2015-06-01 04:00:00,13.59,13.73,13.51,13.64,5457027.0
2015-06-02 04:00:00,13.56,13.57,13.29,13.45,5670632.0
2015-06-03 04:00:00,13.44,13.45,12.895,13.15,7423894.0
2015-06-04 04:00:00,13.08,13.16,12.995,13.02,5949125.0
2015-06-05 04:00:00,13.09,13.24,12.98,13.15,8966040.0
2015-06-08 04:00:00,13.12,13.16,13.02,13.08,4517533.0
2015-06-09 04:00:00,13.07,13.51,13.06,13.51,9146291.0
2015-06-10 04:00:00,13.64,13.65,13.3,13.32,5886601.0
2015-06-11 04:00:00,13.4,13.58,13.32,13.52,4962483.0
2015-06-12 04:00:00,13.48,13.515,13.305,13.35,3640452.0
2015-06-15 04:00:00,13.33,13.48,13.28,13.44,5386058.0
2015-06-16 04:00:00,13.47,13.6,13.33,13.58,3960040.0
2015-06-17 04:00:00,13.61,13.73,13.52,13.67,5207982.0
2015-06-18 04:00:00,13.67,13.875,13.61,13.85,5045139.0
2015-06-19 04:00:00,13.87,13.97,13.765,13.85,6009367.0
2015-06-22 04:00:00,13.89,14.02,13.77,13.94,4469182.0
2015-06-23 04:00:00,13.94,13.97,13.67,13.71,5309625.0
2015-06-24 04:00:00,13.72,13.8,13.54,13.64,5063661.0
2015-06-25 04:00:00,13.64,13.66,13.47,13.53,4029096.0
2015-06-26 04:00:00,13.49,13.53,13.33,13.46,5044851.0
2015-06-29 04:00:00,13.41,13.52,13.15,13.16,4530649.0
2015-06-30 04:00:00,13.21,13.3,13.05,13.26,6800252.0
2015-07-01 04:00:00,13.3,13.36,13.15,13.19,4998294.0
2015-07-02 04:00:00,13.27,13.4,13.16,13.3,3617652.0
2015-07-06 04:00:00,13.24,13.3,13.11,13.2,3920231.0
2015-07-07 04:00:00,13.22,13.34,13.17,13.24,8859525.0
2015-07-08 04:00:00,13.19,13.34,12.78,12.91,7149430.0
2015-07-09 04:00:00,12.99,13.13,12.99,13.01,6932334.0
2015-07-10 04:00:00,13.04,13.16,13.025,13.1,6068808.0
2015-07-13 04:00:00,13.17,13.19,13.02,13.05,4852096.0
2015-07-14 04:00:00,13.05,13.25,13.05,13.12,6135849.0
2015-07-15 04:00:00,13.1,13.19,13.05,13.18,6103557.0
2015-07-16 04:00:00,13.2,13.38,13.14,13.35,4576877.0
2015-07-17 04:00:00,13.35,13.38,13.14,13.21,4234218.0
2015-07-20 04:00:00,13.17,13.17,12.94,13.08,5091812.0
2015-07-21 04:00:00,13.02,13.02,12.87,12.94,3617479.0
2015-07-22 04:00:00,12.9,13.22,12.9,13.17,5692823.0
2015-07-23 04:00:00,13.14,13.2,12.875,12.94,4408640.0
2015-07-24 04:00:00,12.92,12.92,12.68,12.79,3495572.0
2015-07-27 04:00:00,12.73,12.99,12.6901,12.93,5415292.0
2015-07-28 04:00:00,12.93,13.01,12.71,12.77,5980761.0
2015-07-29 04:00:00,12.8,12.84,12.7,12.83,6472555.0
2015-07-30 04:00:00,12.75,12.85,12.66,12.69,4720678.0
2015-07-31 04:00:00,12.81,12.96,12.76,12.8,4257475.0
2015-08-03 04:00:00,12.82,12.94,12.66,12.73,3024052.0
2015-08-04 04:00:00,12.71,12.83,12.53,12.56,2903666.0
2015-08-05 04:00:00,12.61,12.78,12.56,12.59,2677428.0
2015-08-06 04:00:00,12.58,12.63,12.34,12.6,5254696.0
2015-08-07 04:00:00,12.64,12.79,12.58,12.64,4149326.0
2015-08-10 04:00:00,12.58,12.78,12.51,12.68,3423141.0
2015-08-11 04:00:00,12.65,12.8,12.27,12.35,5916105.0
2015-08-12 04:00:00,12.33,13.1,12.33,13.06,7778908.0
2015-08-13 04:00:00,13.01,13.21,12.63,12.66,5961422.0
2015-08-14 04:00:00,12.62,12.86,12.6,12.81,3262618.0
2015-08-17 04:00:00,12.8,12.99,12.67,12.87,4593662.0
2015-08-18 04:00:00,12.85,12.87,12.75,12.82,3081570.0
2015-08-19 04:00:00,12.73,12.75,12.45,12.54,4929060.0
2015-08-20 04:00:00,12.41,12.61,12.29,12.31,5792547.0
2015-08-21 04:00:00,12.16,12.33,11.92,12.0,5421252.0
2015-08-24 04:00:00,11.27,11.73,11.15,11.53,16764992.0
2015-08-25 04:00:00,11.79,11.9,11.33,11.34,9287867.0
2015-08-26 04:00:00,11.56,11.68,11.4,11.65,8579546.0
2015-08-27 04:00:00,11.76,11.91,11.65,11.87,8195143.0
2015-08-28 04:00:00,11.86,12.14,11.8052,12.1,4924494.0
2015-08-31 04:00:00,12.03,12.07,11.82,12.0,6464574.0
2015-09-01 04:00:00,11.78,11.8,11.335,11.44,6133255.0
2015-09-02 04:00:00,11.6,11.63,11.22,11.32,5959276.0
2015-09-03 04:00:00,11.35,11.51,11.25,11.44,6345174.0
2015-09-04 04:00:00,11.32,11.32,11.0,11.03,4800704.0
2015-09-08 04:00:00,11.24,11.36,11.09,11.32,7716800.0
2015-09-09 04:00:00,11.39,11.56,11.27,11.3,5741155.0
2015-09-10 04:00:00,11.23,11.47,11.21,11.24,6734795.0
2015-09-11 04:00:00,11.2,11.24,11.05,11.13,3949984.0
2015-09-14 04:00:00,11.12,11.25,10.99,11.07,5485955.0
2015-09-15 04:00:00,11.11,11.17,10.99,11.12,5605112.0
2015-09-16 04:00:00,11.15,11.2,11.1,11.18,7226553.0
2015-09-17 04:00:00,11.18,11.38,11.0611,11.17,6194797.0
2015-09-18 04:00:00,11.05,11.12,10.88,10.94,9537068.0
2015-09-21 04:00:00,11.0,11.09,10.745,10.78,5737681.0
2015-09-22 04:00:00,10.73,10.78,10.43,10.48,9721636.0
2015-09-23 04:00:00,10.5,10.51,10.14,10.14,8353523.0
2015-09-24 04:00:00,10.05,10.08,9.85,10.0,10032127.0
2015-09-25 04:00:00,10.08,10.16,9.91,9.96,8741823.0
2015-09-28 04:00:00,9.92,10.05,9.79,9.81,6558114.0
2015-09-29 04:00:00,9.81,9.86,9.42,9.46,7961375.0
2015-09-30 04:00:00,9.53,9.82,9.47,9.79,11244949.0
2015-10-01 04:00:00,9.86,10.0,9.72,9.89,8680593.0
2015-10-02 04:00:00,9.81,10.09,9.79,10.09,5792425.0
2015-10-05 04:00:00,10.15,10.41,10.14,10.27,6933203.0
2015-10-06 04:00:00,10.24,10.46,10.15,10.46,9134697.0
2015-10-07 04:00:00,10.55,10.75,10.48,10.53,9670798.0
2015-10-08 04:00:00,10.49,10.8,10.47,10.76,5153809.0
2015-10-09 04:00:00,10.77,10.84,10.65,10.72,4889144.0
2015-10-12 04:00:00,10.73,10.84,10.65,10.71,3739342.0
2015-10-13 04:00:00,10.64,10.85,10.62,10.63,6091775.0
2015-10-14 04:00:00,10.64,10.76,10.56,10.57,5219499.0
2015-10-15 04:00:00,10.62,10.79,10.51,10.78,5732745.0
2015-10-16 04:00:00,10.82,10.82,10.62,10.78,4815107.0
2015-10-19 04:00:00,10.68,10.74,10.52,10.74,8836414.0
2015-10-20 04:00:00,10.69,10.92,10.59,10.88,5857397.0
2015-10-21 04:00:00,10.95,11.07,10.73,10.76,4412377.0
2015-10-22 04:00:00,10.81,11.04,10.75,11.04,6531720.0
2015-10-23 04:00:00,11.08,11.16,10.92,11.05,6876983.0
2015-10-26 04:00:00,10.99,11.05,10.78,10.88,5762999.0
2015-10-27 04:00:00,10.83,10.9,10.745,10.87,6140849.0
2015-10-28 04:00:00,10.88,11.205,10.81,11.12,6819473.0
2015-10-29 04:00:00,10.95,11.07,10.87,11.0,5062582.0
2015-10-30 04:00:00,11.01,11.07,10.92,10.95,4194773.0
2015-11-02 05:00:00,10.98,11.09,10.91,11.02,4725048.0
2015-11-03 05:00:00,10.94,11.03,10.77,10.93,8388978.0
2015-11-04 05:00:00,10.95,11.06,10.79,10.82,5298990.0
2015-11-05 05:00:00,10.48,10.7,9.85,9.88,12512394.0
2015-11-06 05:00:00,9.77,10.23,9.61,10.2,8552062.0
2015-11-09 05:00:00,10.16,10.23,9.81,9.9,6001800.0
2015-11-10 05:00:00,9.96,10.12,9.94,10.07,6384692.0
2015-11-11 05:00:00,10.1,10.13,9.87,10.05,3918938.0
2015-11-12 05:00:00,9.84,10.07,9.73,9.73,7212419.0
2015-11-13 05:00:00,9.76,9.9,9.72,9.8,5439947.0
2015-11-16 05:00:00,9.77,9.9,9.67,9.81,5320592.0
2015-11-17 05:00:00,9.82,9.92,9.5,9.54,5588819.0
2015-11-18 05:00:00,9.57,9.75,9.5,9.73,4158563.0
2015-11-19 05:00:00,9.72,9.76,9.45,9.57,5628778.0
2015-11-20 05:00:00,9.62,9.81,9.58,9.67,3592968.0
2015-11-23 05:00:00,9.67,9.75,9.58,9.66,5666285.0
2015-11-24 05:00:00,9.64,9.94,9.61,9.9,5933086.0
2015-11-25 05:00:00,9.66,9.92,9.66,9.88,3414190.0
2015-11-27 05:00:00,9.89,10.02,9.83,9.99,3529054.0
2015-11-30 05:00:00,10.0,10.08,9.98,9.99,5934872.0
2015-12-01 05:00:00,10.02,10.09,9.92,9.98,5685310.0
2015-12-02 05:00:00,9.99,10.0,9.6,9.6,6522296.0
2015-12-03 05:00:00,9.56,9.75,9.5,9.52,8198759.0
2015-12-04 05:00:00,9.52,9.6,9.3,9.32,7114632.0
2015-12-07 05:00:00,9.26,9.3,8.96,9.21,6041736.0
2015-12-08 05:00:00,9.11,9.27,9.07,9.2,5166597.0
2015-12-09 05:00:00,9.19,9.43,9.15,9.26,4657687.0
2015-12-10 05:00:00,9.26,9.35,9.16,9.28,3841574.0
2015-12-11 05:00:00,9.17,9.2,8.955,8.97,5029088.0
2015-12-14 05:00:00,9.05,9.15,8.76,8.83,8153465.0
2015-12-15 05:00:00,8.9,9.36,8.89,9.25,9589743.0
2015-12-16 05:00:00,9.29,9.39,9.13,9.37,6392675.0
2015-12-17 05:00:00,9.37,9.5,9.16,9.2,5173891.0
2015-12-18 05:00:00,9.17,9.18,8.94,9.06,10816735.0
2015-12-21 05:00:00,9.08,9.28,9.06,9.16,6411132.0
2015-12-22 05:00:00,9.19,9.31,9.14,9.29,5072842.0
2015-12-23 05:00:00,9.32,9.58,9.31,9.54,4076106.0
2015-12-24 05:00:00,9.53,9.65,9.52,9.58,1518195.0
2015-12-28 05:00:00,9.56,9.63,9.39,9.46,3747920.0
2015-12-29 05:00:00,9.55,9.64,9.47,9.61,3063970.0
2015-12-30 05:00:00,9.61,9.66,9.5,9.5,3101317.0
2015-12-31 05:00:00,9.5,9.73,9.37,9.57,5060421.0
2016-01-04 05:00:00,9.44,9.4772,9.22,9.43,4813685.0
2016-01-05 05:00:00,9.47,9.59,9.28,9.56,4394383.0
2016-01-06 05:00:00,9.4,9.48,9.2,9.23,4588264.0
2016-01-07 05:00:00,9.09,9.195,8.99,9.0,7403153.0
2016-01-08 05:00:00,9.01,9.2,8.78,9.13,8175849.0
2016-01-11 05:00:00,9.12,9.22,8.805,9.03,7406566.0
2016-01-12 05:00:00,9.1,9.11,8.68,8.75,6157849.0
2016-01-13 05:00:00,8.8,9.08,8.57,8.64,8487015.0
2016-01-14 05:00:00,8.66,8.89,8.51,8.85,10538143.0
2016-01-15 05:00:00,8.63,8.65,8.32,8.54,8596468.0
2016-01-19 05:00:00,8.64,8.825,8.43,8.72,8836948.0
2016-01-20 05:00:00,8.6,8.7,8.22,8.62,9920510.0
2016-01-21 05:00:00,8.64,9.27,8.59,9.11,10492514.0
2016-01-22 05:00:00,9.28,9.39,9.075,9.17,5394192.0
2016-01-25 05:00:00,9.13,9.19,8.74,8.74,7286207.0
2016-01-26 05:00:00,8.81,9.1,8.77,9.04,4372486.0
2016-01-27 05:00:00,9.04,9.21,8.96,9.08,4714410.0
2016-01-28 05:00:00,9.22,9.34,9.0915,9.16,5352869.0
2016-01-29 05:00:00,9.12,9.51,9.11,9.5,11456305.0
2016-02-01 05:00:00,9.47,9.54,9.3,9.46,6064778.0
2016-02-02 05:00:00,9.36,9.49,9.27,9.29,7766026.0
2016-02-03 05:00:00,9.41,9.79,9.36,9.75,9212262.0
2016-02-04 05:00:00,9.7,10.11,9.7,9.8,8354916.0
2016-02-05 05:00:00,9.54,9.97,9.54,9.75,8137873.0
2016-02-08 05:00:00,9.68,9.71,9.32,9.44,6015480.0
2016-02-09 05:00:00,9.33,9.64,9.2,9.51,5530547.0
2016-02-10 05:00:00,9.5,9.62,9.25,9.53,4249045.0
2016-02-11 05:00:00,9.38,9.4,8.97,9.0,8646122.0
2016-02-12 05:00:00,9.01,9.19,8.88,9.17,6145559.0
2016-02-16 05:00:00,9.28,9.46,9.2,9.38,4702362.0
2016-02-17 05:00:00,9.44,9.74,9.375,9.62,6398240.0
2016-02-18 05:00:00,9.64,9.76,9.5,9.7,4311238.0
2016-02-19 05:00:00,9.64,9.64,9.34,9.41,4271250.0
2016-02-22 05:00:00,9.66,9.8,9.53,9.79,4768556.0
2016-02-23 05:00:00,9.71,9.785,9.51,9.58,4175237.0
2016-02-24 05:00:00,9.5,10.14,9.32,10.03,7189022.0
2016-02-25 05:00:00,10.03,10.08,9.52,9.97,6824533.0
2016-02-26 05:00:00,10.01,10.14,9.8,9.87,4623573.0
2016-02-29 05:00:00,9.85,9.965,9.78,9.8,4281368.0
2016-03-01 05:00:00,9.83,10.17,9.76,10.12,5069727.0
2016-03-02 05:00:00,10.06,10.29,9.94,10.28,4193758.0
2016-03-03 05:00:00,10.29,10.46,10.09,10.45,4893563.0
2016-03-04 05:00:00,10.43,10.82,10.27,10.79,6368693.0
2016-03-07 05:00:00,10.74,10.99,10.68,10.89,6156245.0
2016-03-08 05:00:00,10.85,10.87,10.58,10.62,6293671.0
2016-03-09 05:00:00,10.69,10.79,10.47,10.5,9489588.0
2016-03-10 05:00:00,10.5,10.81,10.43,10.81,4154063.0
2016-03-11 05:00:00,10.94,11.01,10.83,10.91,4683520.0
2016-03-14 04:00:00,10.87,11.01,10.81,10.96,4162188.0
2016-03-15 04:00:00,10.89,11.0,10.85,10.97,6634745.0
2016-03-16 04:00:00,10.93,11.41,10.91,11.39,8630753.0
2016-03-17 04:00:00,11.37,11.57,11.28,11.53,6899658.0
2016-03-18 04:00:00,11.53,11.7,11.53,11.62,8060298.0
2016-03-21 04:00:00,11.6,11.64,11.51,11.54,6270086.0
2016-03-22 04:00:00,11.5,11.65,11.4,11.54,6774910.0
2016-03-23 04:00:00,11.58,11.58,11.28,11.3,5362605.0
2016-03-24 04:00:00,11.24,11.58,11.16,11.57,7712305.0
2016-03-28 04:00:00,11.61,11.63,11.41,11.41,6335173.0
2016-03-29 04:00:00,11.385,11.66,11.345,11.65,4601448.0
2016-03-30 04:00:00,11.73,11.78,11.6,11.62,3254803.0
2016-03-31 04:00:00,11.62,11.8,11.57,11.8,5656111.0
2016-04-01 04:00:00,11.68,11.685,11.41,11.57,8260727.0
2016-04-04 04:00:00,11.56,11.655,11.31,11.36,5432828.0
2016-04-05 04:00:00,11.27,11.32,11.06,11.07,9100141.0
2016-04-06 04:00:00,11.07,11.12,10.94,11.08,6786603.0
2016-04-07 04:00:00,10.97,11.165,10.79,10.86,7210635.0
2016-04-08 04:00:00,10.91,11.155,10.91,10.96,4505743.0
2016-04-11 04:00:00,11.01,11.14,10.96,11.02,4628627.0
2016-04-12 04:00:00,11.06,11.19,11.005,11.16,3976380.0
2016-04-13 04:00:00,11.22,11.29,11.1,11.23,4544375.0
2016-04-14 04:00:00,11.22,11.34,11.195,11.24,2510961.0
2016-04-15 04:00:00,11.23,11.33,11.21,11.25,3402310.0
2016-04-18 04:00:00,11.18,11.36,11.06,11.31,3226933.0
2016-04-19 04:00:00,11.37,11.54,11.36,11.5,3985655.0
2016-04-20 04:00:00,11.5,11.53,11.25,11.27,2991470.0
2016-04-21 04:00:00,11.27,11.335,11.06,11.11,3405691.0
2016-04-22 04:00:00,11.15,11.305,11.07,11.18,2707152.0
2016-04-25 04:00:00,11.17,11.205,10.99,11.0,3372069.0
2016-04-26 04:00:00,11.02,11.21,11.02,11.21,3577017.0
2016-04-27 04:00:00,11.24,11.48,11.13,11.38,3915030.0
2016-04-28 04:00:00,11.2,11.31,11.06,11.12,4888755.0
2016-04-29 04:00:00,11.12,11.17,10.92,11.16,4692304.0
2016-05-02 04:00:00,11.15,11.37,11.12,11.3,3722811.0
2016-05-03 04:00:00,11.2,11.24,10.95,11.13,4572132.0
2016-05-04 04:00:00,11.08,11.22,11.03,11.16,4180796.0
2016-05-05 04:00:00,11.24,11.27,11.005,11.07,3350483.0
2016-05-06 04:00:00,11.03,11.11,10.95,11.08,3153026.0
2016-05-09 04:00:00,10.95,11.24,10.8,11.16,4775467.0
2016-05-10 04:00:00,11.2,11.49,11.13,11.45,3476574.0
2016-05-11 04:00:00,11.41,11.47,11.24,11.32,4283756.0
2016-05-12 04:00:00,11.39,11.44,11.21,11.27,3482596.0
2016-05-13 04:00:00,11.23,11.255,11.07,11.16,3384864.0
2016-05-16 04:00:00,11.18,11.24,11.1,11.11,3072902.0
2016-05-17 04:00:00,11.08,11.15,10.94,11.02,3695698.0
2016-05-18 04:00:00,10.97,11.075,10.675,10.73,4434092.0
2016-05-19 04:00:00,10.65,10.77,10.49,10.74,7749589.0
2016-05-20 04:00:00,10.76,10.9,10.73,10.89,2864860.0
2016-05-23 04:00:00,10.86,10.89,10.73,10.74,2852203.0
2016-05-24 04:00:00,10.82,10.94,10.76,10.91,3485941.0
2016-05-25 04:00:00,10.89,11.07,10.82,10.97,3651932.0
2016-05-26 04:00:00,10.99,11.033,10.88,10.89,4934140.0
2016-05-27 04:00:00,10.9,11.13,10.89,11.11,3014415.0
2016-05-31 04:00:00,11.12,11.23,10.99,11.09,6156067.0
2016-06-01 04:00:00,11.04,11.07,10.91,10.94,4592283.0
2016-06-02 04:00:00,10.9,11.01,10.79,10.84,5454915.0
2016-06-03 04:00:00,10.93,11.3,10.86,11.22,7127857.0
2016-06-06 04:00:00,11.24,11.44,11.22,11.39,3685367.0
2016-06-07 04:00:00,11.39,11.545,11.36,11.51,4208777.0
2016-06-08 04:00:00,11.55,11.55,11.38,11.43,4651452.0
2016-06-09 04:00:00,11.37,11.46,11.22,11.44,3314049.0
2016-06-10 04:00:00,11.31,11.39,11.16,11.2,4540475.0
2016-06-13 04:00:00,11.17,11.23,11.12,11.17,3823314.0
2016-06-14 04:00:00,11.14,11.165,11.01,11.12,3944362.0
2016-06-15 04:00:00,11.12,11.21,11.02,11.06,4433254.0
2016-06-16 04:00:00,11.0,11.27,10.91,11.26,4554141.0
2016-06-17 04:00:00,11.29,11.62,11.27,11.61,7971265.0
2016-06-20 04:00:00,11.71,11.91,11.68,11.85,7611648.0
