date,open,high,low,close,volume
2024-03-15 04:00:00,16.65,17.0,10.84,12.0,30032
2024-03-18 04:00:00,12.4,13.35,8.4,11.06,62324
2024-03-19 04:00:00,10.6,12.0,9.65,11.41,25861
2024-03-20 04:00:00,11.545,11.935,11.25,11.48,35515
2024-03-21 04:00:00,11.02,11.725,11.02,11.5,5267
2024-03-22 04:00:00,11.62,11.8591,8.55,10.9999,57841
2024-03-25 04:00:00,10.29,11.49,10.0835,11.05,26125
2024-03-26 04:00:00,10.5,11.2,9.7501,10.94,30677
2024-03-27 04:00:00,10.1,11.24,10.1,10.71,15023
2024-03-28 04:00:00,10.96,11.3803,10.61,11.29,23075
2024-04-01 04:00:00,11.49,11.49,10.5,11.0,9845
2024-04-02 04:00:00,11.0,11.25,10.5,10.98,17093
2024-04-03 04:00:00,11.0,11.535,10.56,10.85,40587
2024-04-04 04:00:00,11.05,11.34,10.59,11.09,7976
2024-04-05 04:00:00,10.85,11.09,10.5706,10.99,5430
2024-04-08 04:00:00,10.7,11.0,10.65,11.0,6587
2024-04-09 04:00:00,10.98,11.2,10.65,10.65,6366
2024-04-10 04:00:00,10.78,11.0,10.55,11.0,15817
2024-04-11 04:00:00,10.57,11.0,10.57,10.995,10310
2024-04-12 04:00:00,11.49,11.825,10.5,10.5,130936
2024-04-15 04:00:00,10.5,11.15,10.3,10.49,14461
2024-04-16 04:00:00,10.4,10.8,10.0541,10.4,8327
2024-04-17 04:00:00,11.7,11.7,9.94,9.94,8066
2024-04-18 04:00:00,10.34,10.72,9.9,10.5,60626
2024-04-19 04:00:00,10.575,10.58,10.1,10.3,15275
2024-04-22 04:00:00,10.3,10.99,10.0616,10.44,18285
2024-04-23 04:00:00,10.5,10.5,10.13,10.5,25549
2024-04-24 04:00:00,10.71,10.895,9.95,10.55,72092
2024-04-25 04:00:00,10.27,12.53,10.27,12.1,77310
2024-04-26 04:00:00,11.79,11.79,10.02,10.49,23884
2024-04-29 04:00:00,11.285,11.63,10.2,10.485,25903
2024-04-30 04:00:00,10.72,11.5,10.218,11.03,48585
2024-05-01 04:00:00,10.4,11.55,10.4,11.55,37930
2024-05-02 04:00:00,12.28,12.28,10.95,11.8,33883
2024-05-03 04:00:00,11.25,11.99,11.25,11.45,31999
2024-05-06 04:00:00,11.575,12.1,11.3001,11.7,32290
2024-05-07 04:00:00,11.7,12.1,11.6,12.1,15005
2024-05-08 04:00:00,12.23,12.3,11.35,12.15,20668
2024-05-09 04:00:00,11.925,13.25,11.88,12.85,43827
2024-05-10 04:00:00,12.85,14.37,11.925,12.94,36285
2024-05-13 04:00:00,12.94,12.97,12.06,12.43,16439
2024-05-14 04:00:00,12.32,12.8,12.05,12.42,71674
2024-05-15 04:00:00,12.42,12.57,12.17,12.5,27829
2024-05-16 04:00:00,12.65,12.75,12.35,12.68,12831
2024-05-17 04:00:00,13.095,13.4,12.75,13.29,42269
2024-05-20 04:00:00,13.07,13.3,12.55,13.05,42339
2024-05-21 04:00:00,13.015,14.57,12.75,13.77,72038
2024-05-22 04:00:00,14.0,14.56,13.5,13.5,18788
2024-05-23 04:00:00,13.94,13.94,13.0,13.8,28672
2024-05-24 04:00:00,13.91,14.57,13.4001,14.14,53542
2024-05-28 04:00:00,14.14,21.78,14.14,19.89,369658
2024-05-29 04:00:00,20.0,20.0,15.4501,16.98,206483
2024-05-30 04:00:00,15.66,15.99,14.8,15.66,141411
2024-05-31 04:00:00,15.32,15.915,12.71,13.39,176338
2024-06-03 04:00:00,14.28,14.28,11.51,13.34,167574
2024-06-04 04:00:00,12.99,14.86,12.83,13.8,134146
2024-06-05 04:00:00,13.3,13.8,10.57,11.87,172061
2024-06-06 04:00:00,11.8,11.8,9.04,10.23,304395
2024-06-07 04:00:00,9.74,12.99,9.74,10.89,201859
2024-06-10 04:00:00,10.74,10.9,9.47,10.08,301415
2024-06-11 04:00:00,10.05,10.05,8.54,8.79,188490
2024-06-12 04:00:00,9.01,10.08,9.0001,9.5,48301
2024-06-13 04:00:00,9.38,11.2699,9.38,10.78,64849
2024-06-14 04:00:00,10.8,11.51,9.987,10.13,45144
2024-06-17 04:00:00,10.22,10.99,9.73,10.65,33341
2024-06-18 04:00:00,10.45,11.4,10.03,10.1,33261
2024-06-20 04:00:00,10.09,10.9,9.51,9.51,37099
2024-06-21 04:00:00,9.51,10.9,9.15,10.81,937098
2024-06-24 04:00:00,10.49,11.6,10.49,11.37,91735
2024-06-25 04:00:00,11.3,11.9845,11.3,11.6,91344
2024-06-26 04:00:00,11.57,11.8,11.0064,11.6,88830
2024-06-27 04:00:00,11.38,13.5,11.35,11.83,65717
2024-06-28 04:00:00,11.73,12.5,10.12,10.31,207159
2024-07-01 04:00:00,10.25,10.8,9.97,10.53,64816
2024-07-02 04:00:00,10.44,10.5,9.53,9.96,92572
2024-07-03 04:00:00,9.82,10.3499,9.82,10.3,83535
2024-07-05 04:00:00,10.35,10.85,9.835,10.4,65277
2024-07-08 04:00:00,10.33,11.555,10.16,11.25,50745
2024-07-09 04:00:00,11.03,11.19,10.1798,10.78,62118
2024-07-10 04:00:00,10.52,10.79,10.41,10.79,18689
2024-07-11 04:00:00,10.7,11.38,10.44,11.3,26539
2024-07-12 04:00:00,10.85,11.39,10.69,11.28,30280
2024-07-15 04:00:00,11.28,11.75,10.9001,11.38,60059
2024-07-16 04:00:00,11.55,11.55,11.0,11.14,39011
2024-07-17 04:00:00,11.16,11.2,10.655,10.96,18582
2024-07-18 04:00:00,11.04,11.15,10.01,10.49,71131
2024-07-19 04:00:00,10.4,10.82,10.01,10.82,30912
2024-07-22 04:00:00,10.79,11.05,10.42,10.84,33339
2024-07-23 04:00:00,10.74,11.07,10.11,10.35,49366
2024-07-24 04:00:00,10.35,10.38,9.75,9.99,28114
2024-07-25 04:00:00,10.02,10.27,9.88,9.97,21737
2024-07-26 04:00:00,10.13,10.67,9.62,10.09,25055
2024-07-29 04:00:00,10.16,10.23,9.35,9.68,23532
2024-07-30 04:00:00,9.51,10.19,9.3829,9.48,18135
2024-07-31 04:00:00,9.48,10.05,9.48,9.7,25761
2024-08-01 04:00:00,9.6,10.12,9.05,9.2,26266
2024-08-02 04:00:00,9.09,9.52,8.6,9.425,20418
2024-08-05 04:00:00,9.48,9.52,8.82,9.08,14136
2024-08-06 04:00:00,9.08,9.45,8.79,9.12,40705
2024-08-07 04:00:00,9.4,9.655,8.92,9.05,47450
2024-08-08 04:00:00,9.02,9.34,8.78,9.1,20138
2024-08-09 04:00:00,9.9,9.9,8.88,8.91,7397
2024-08-12 04:00:00,9.75,9.75,9.1,9.11,25155
2024-08-13 04:00:00,9.17,9.17,8.85,8.86,9810
2024-08-14 04:00:00,9.03,9.27,9.0,9.25,7294
2024-08-15 04:00:00,9.145,9.53,8.72,8.72,29863
