date,open,high,low,close,volume
2020-01-29 05:00:00,6.63,10.61,6.51,9.59,3541174.0
2020-01-30 05:00:00,9.0,9.4,6.62,7.01,950677.0
2020-01-31 05:00:00,6.98,7.3,6.1,6.52,405800.0
2020-02-03 05:00:00,7.15,7.7,6.7,7.25,360632.0
2020-02-04 05:00:00,7.18,7.18,6.12,6.12,268350.0
2020-02-05 05:00:00,6.42,6.55,5.67,6.02,340350.0
2020-02-06 05:00:00,6.06,6.67,6.05,6.16,79288.0
2020-02-07 05:00:00,6.15,6.15,5.5702,5.59,105106.0
2020-02-10 05:00:00,5.58,5.7799,5.25,5.25,75717.0
2020-02-11 05:00:00,5.25,5.45,5.0,5.22,96179.0
2020-02-12 05:00:00,5.17,6.0,5.17,5.65,113536.0
2020-02-13 05:00:00,5.88,7.35,5.4239,6.2,678284.0
2020-02-14 05:00:00,6.16,6.8284,6.0,6.75,158200.0
2020-02-18 05:00:00,6.66,6.66,5.5,6.09,118871.0
2020-02-19 05:00:00,6.0,6.1198,5.76,5.87,45192.0
2020-02-20 05:00:00,5.98,6.2397,5.61,6.0,126314.0
2020-02-21 05:00:00,5.94,6.01,5.75,5.76,34226.0
2020-02-24 05:00:00,5.51,5.72,5.12,5.38,69897.0
2020-02-25 05:00:00,5.37,5.6184,5.3,5.42,27835.0
2020-02-26 05:00:00,5.4985,5.8817,4.73,4.79,80543.0
2020-02-27 05:00:00,4.51,5.29,4.51,4.98,73765.0
2020-02-28 05:00:00,4.98,4.98,4.5,4.85,63478.0
2020-03-02 05:00:00,4.75,5.28,4.75,5.17,39822.0
2020-03-03 05:00:00,5.25,5.49,4.817,5.44,50873.0
2020-03-04 05:00:00,5.435,5.435,4.8,5.03,24796.0
2020-03-05 05:00:00,5.09,5.09,4.8,5.09,41001.0
2020-03-06 05:00:00,4.95,4.97,4.67,4.72,36916.0
2020-03-09 04:00:00,4.55,4.68,4.11,4.39,75325.0
2020-03-10 04:00:00,4.2827,4.3551,4.03,4.3551,2685.0
2020-03-11 04:00:00,4.4,4.4,4.05,4.2,26223.0
2020-03-12 04:00:00,4.04,4.04,3.54,3.57,33642.0
2020-03-13 04:00:00,3.5,3.99,3.48,3.99,28649.0
2020-03-16 04:00:00,3.5,3.75,3.1637,3.314,45226.0
