date,open,high,low,close,volume
2015-05-26 04:00:00,15.91,15.91,15.34,15.57,41904.0
2015-05-27 04:00:00,15.51,16.05,15.42,16.02,49262.0
2015-05-28 04:00:00,16.03,16.3,15.76,16.24,48578.0
2015-05-29 04:00:00,16.27,16.56,16.19,16.5,90691.0
2015-06-01 04:00:00,17.0,17.0,16.3,16.44,63524.0
2015-06-02 04:00:00,16.45,16.74,16.35,16.58,24502.0
2015-06-03 04:00:00,16.68,16.77,16.07,16.17,34041.0
2015-06-04 04:00:00,16.21,16.21,15.43,15.5,32905.0
2015-06-05 04:00:00,15.6,15.72,15.41,15.65,35724.0
2015-06-08 04:00:00,15.72,15.91,15.12,15.17,31749.0
2015-06-09 04:00:00,15.32,15.32,15.0036,15.04,26312.0
2015-06-10 04:00:00,15.08,15.46,15.03,15.05,29008.0
2015-06-11 04:00:00,15.15,15.41,15.1,15.38,24172.0
2015-06-12 04:00:00,15.38,15.38,15.0,15.03,36634.0
2015-06-15 04:00:00,14.98,15.039,14.51,14.82,49847.0
2015-06-16 04:00:00,14.68,15.73,14.68,15.71,60537.0
2015-06-17 04:00:00,15.56,15.804,15.56,15.66,24999.0
2015-06-18 04:00:00,15.78,15.78,15.21,15.37,45220.0
2015-06-19 04:00:00,15.45,15.45,15.0,15.09,51768.0
2015-06-22 04:00:00,15.15,15.51,15.0,15.4,34009.0
2015-06-23 04:00:00,15.45,15.69,15.22,15.67,43063.0
2015-06-24 04:00:00,15.56,15.69,15.05,15.34,65557.0
2015-06-25 04:00:00,15.42,15.59,15.2,15.37,41072.0
2015-06-26 04:00:00,15.47,15.89,15.31,15.57,616909.0
2015-06-29 04:00:00,15.32,15.71,15.22,15.43,83017.0
2015-06-30 04:00:00,15.5,15.5,15.12,15.12,49090.0
2015-07-01 04:00:00,15.28,15.37,15.1501,15.25,24442.0
2015-07-02 04:00:00,15.37,15.57,15.2999,15.3,23547.0
2015-07-06 04:00:00,15.35,15.8,15.02,15.05,91415.0
2015-07-07 04:00:00,15.07,15.43,14.96,15.0,38569.0
2015-07-08 04:00:00,14.96,15.1162,14.62,14.62,66070.0
2015-07-09 04:00:00,14.96,15.05,14.54,14.54,38172.0
2015-07-10 04:00:00,14.61,14.83,14.61,14.73,18731.0
2015-07-13 04:00:00,14.67,14.68,14.31,14.31,46057.0
2015-07-14 04:00:00,14.31,14.49,14.27,14.39,32365.0
2015-07-15 04:00:00,14.37,14.37,13.71,14.26,78169.0
