date,open,high,low,close,volume
2015-05-26 04:00:00,8.58,8.6,8.2,8.4,79954.0
2015-05-27 04:00:00,8.46,8.56,8.25,8.4,44106.0
2015-05-28 04:00:00,8.36,8.3899,8.2,8.32,36310.0
2015-05-29 04:00:00,8.44,8.81,8.31,8.75,38677.0
2015-06-01 04:00:00,8.8,8.8,8.24,8.32,69521.0
2015-06-02 04:00:00,8.29,8.34,8.2,8.26,40895.0
2015-06-03 04:00:00,8.26,8.53,8.26,8.51,35569.0
2015-06-04 04:00:00,8.48,8.72,8.45,8.58,24553.0
2015-06-05 04:00:00,8.58,8.79,8.45,8.78,50013.0
2015-06-08 04:00:00,8.69,8.7,8.32,8.32,61343.0
2015-06-09 04:00:00,8.21,8.3,8.128,8.24,53766.0
2015-06-10 04:00:00,8.34,8.49,8.34,8.4,26803.0
2015-06-11 04:00:00,8.44,8.57,8.39,8.39,27262.0
2015-06-12 04:00:00,8.39,8.49,8.36,8.37,21362.0
2015-06-15 04:00:00,8.36,8.4,8.25,8.32,16524.0
2015-06-16 04:00:00,8.26,8.4,8.26,8.39,9631.0
2015-06-17 04:00:00,8.45,8.48,8.24,8.45,46308.0
2015-06-18 04:00:00,8.5,8.74,8.41,8.61,36786.0
2015-06-19 04:00:00,8.6,8.62,8.32,8.62,63359.0
2015-06-22 04:00:00,8.65,8.65,8.34,8.38,67227.0
2015-06-23 04:00:00,8.41,8.75,8.36,8.67,40691.0
2015-06-24 04:00:00,8.68,8.79,8.57,8.57,69900.0
2015-06-25 04:00:00,8.606,8.73,8.58,8.63,25821.0
2015-06-26 04:00:00,8.65,8.72,8.6,8.62,22521.0
2015-06-29 04:00:00,8.6,8.6,8.44,8.44,52243.0
2015-06-30 04:00:00,8.52,8.61,8.5,8.6,13736.0
2015-07-01 04:00:00,8.7,8.72,8.51,8.51,33983.0
2015-07-02 04:00:00,8.48,8.64,8.48,8.5,26077.0
2015-07-06 04:00:00,8.4,8.69,8.34,8.51,23354.0
2015-07-07 04:00:00,8.54,8.54,8.31,8.38,47312.0
2015-07-08 04:00:00,8.35,8.37,7.87,7.93,66886.0
2015-07-09 04:00:00,7.96,7.97,7.25,7.45,90435.0
2015-07-10 04:00:00,7.51,7.81,7.35,7.81,44793.0
2015-07-13 04:00:00,7.86,7.98,7.72,7.96,23061.0
2015-07-14 04:00:00,7.95,8.26,7.9,8.26,11809.0
2015-07-15 04:00:00,8.29,8.29,7.79,7.81,31039.0
2015-07-16 04:00:00,7.74,7.99,7.74,7.84,22285.0
2015-07-17 04:00:00,7.81,7.9,7.56,7.69,27853.0
2015-07-20 04:00:00,7.69,7.7299,7.3749,7.59,32096.0
2015-07-21 04:00:00,7.67,7.762,7.6,7.7499,16114.0
2015-07-22 04:00:00,7.69,7.73,7.65,7.71,13172.0
2015-07-23 04:00:00,7.73,7.902,7.663,7.74,26541.0
2015-07-24 04:00:00,7.7,7.91,7.7,7.83,43713.0
2015-07-27 04:00:00,7.81,7.81,7.41,7.69,60798.0
2015-07-28 04:00:00,7.65,7.65,7.32,7.32,47886.0
2015-07-29 04:00:00,7.36,7.36,6.95,6.96,46088.0
2015-07-30 04:00:00,6.96,7.17,6.96,7.04,47412.0
2015-07-31 04:00:00,7.03,7.1345,6.96,7.0,63863.0
2015-08-03 04:00:00,7.31,7.31,7.01,7.05,80660.0
2015-08-04 04:00:00,7.05,7.59,7.05,7.32,73824.0
2015-08-05 04:00:00,7.4,7.41,4.639,5.99,327625.0
2015-08-06 04:00:00,6.02,6.14,5.51,5.52,206248.0
2015-08-07 04:00:00,5.58,5.8,5.58,5.77,81616.0
2015-08-10 04:00:00,6.85,6.85,6.313,6.72,103284.0
2015-08-11 04:00:00,6.67,6.75,6.0,6.02,121949.0
2015-08-12 04:00:00,5.95,6.17,5.79,6.12,94943.0
2015-08-13 04:00:00,6.13,6.84,6.065,6.57,70611.0
2015-08-14 04:00:00,6.54,6.78,6.45,6.6,54749.0
2015-08-17 04:00:00,6.6,6.67,6.4,6.62,50813.0
2015-08-18 04:00:00,6.63,6.79,6.51,6.67,31724.0
2015-08-19 04:00:00,6.74,6.9764,6.53,6.85,38317.0
2015-08-20 04:00:00,6.88,6.88,6.27,6.28,51913.0
2015-08-21 04:00:00,6.07,6.24,5.68,5.89,82818.0
2015-08-24 04:00:00,5.65,5.74,5.4,5.5,73059.0
2015-08-25 04:00:00,5.64,5.65,5.18,5.52,87288.0
2015-08-26 04:00:00,5.55,5.55,5.08,5.25,66184.0
2015-08-27 04:00:00,5.26,5.83,5.26,5.8,43402.0
2015-08-28 04:00:00,5.9,6.24,5.7067,6.11,41952.0
2015-08-31 04:00:00,6.0,6.154,5.9,5.91,48425.0
2015-09-01 04:00:00,5.75,5.9,5.69,5.77,58743.0
2015-09-02 04:00:00,5.9,5.99,5.76,5.88,38798.0
2015-09-03 04:00:00,5.91,6.03,5.91,5.98,42472.0
2015-09-04 04:00:00,6.02,6.1295,6.02,6.12,17857.0
2015-09-08 04:00:00,6.1,6.34,5.93,5.97,29324.0
2015-09-09 04:00:00,6.02,6.11,5.93,6.04,16409.0
2015-09-10 04:00:00,6.01,6.09,5.81,6.07,31004.0
2015-09-11 04:00:00,6.0,6.0299,5.91,5.96,8946.0
2015-09-14 04:00:00,5.94,6.01,5.7412,5.76,25499.0
2015-09-15 04:00:00,5.69,5.72,5.55,5.58,35728.0
2015-09-16 04:00:00,5.6,5.66,5.3985,5.5,65162.0
2015-09-17 04:00:00,5.41,5.663,5.41,5.51,48523.0
2015-09-18 04:00:00,5.51,5.64,5.39,5.62,47205.0
2015-09-21 04:00:00,5.7,6.02,5.7,5.83,25104.0
2015-09-22 04:00:00,5.87,5.87,5.62,5.7,18219.0
2015-09-23 04:00:00,5.64,6.01,5.64,6.0,23081.0
2015-09-24 04:00:00,5.96,5.98,5.64,5.88,65912.0
2015-09-25 04:00:00,6.05,6.05,5.69,5.86,44012.0
2015-09-28 04:00:00,5.94,5.94,5.56,5.65,26618.0
