date,open,high,low,close,volume
2015-05-26 04:00:00,367.01,368.41,364.82,365.03,696175.0
2015-05-27 04:00:00,366.03,369.68,364.78,368.68,352691.0
2015-05-28 04:00:00,366.98,369.76,366.0749,369.51,358164.0
2015-05-29 04:00:00,369.47,369.47,365.0,365.78,627001.0
2015-06-01 04:00:00,366.08,367.265,362.65,364.27,418477.0
2015-06-02 04:00:00,362.8,364.68,360.54,363.4,430957.0
2015-06-03 04:00:00,364.39,367.01,362.52,364.95,464552.0
2015-06-04 04:00:00,362.72,364.52,356.399,357.83,640019.0
2015-06-05 04:00:00,358.0,360.39,350.43,355.32,740590.0
2015-06-08 04:00:00,356.45,357.78,353.16,353.45,683123.0
2015-06-09 04:00:00,353.88,356.11,352.01,352.73,539057.0
2015-06-10 04:00:00,354.99,357.91,354.28,355.61,768594.0
2015-06-11 04:00:00,356.73,358.83,355.01,356.81,585917.0
2015-06-12 04:00:00,356.0,356.7,352.82,353.43,518115.0
2015-06-15 04:00:00,351.63,356.8,348.47,355.28,1097119.0
2015-06-16 04:00:00,353.84,357.96,353.84,357.28,351903.0
2015-06-17 04:00:00,358.96,360.11,356.365,357.3,462799.0
2015-06-18 04:00:00,358.0,361.81,356.59,360.88,445357.0
2015-06-19 04:00:00,359.88,361.18,357.72,359.19,658879.0
2015-06-22 04:00:00,360.85,363.53,358.63,358.96,430668.0
2015-06-23 04:00:00,359.5,361.49,359.11,360.15,420951.0
2015-06-24 04:00:00,360.02,360.99,355.01,355.57,559684.0
2015-06-25 04:00:00,355.57,356.48,350.88,351.13,482379.0
2015-06-26 04:00:00,353.06,354.9,351.9,354.47,643147.0
2015-06-29 04:00:00,350.38,352.0,344.3403,344.54,558788.0
2015-06-30 04:00:00,347.95,349.14,343.85,345.98,776713.0
2015-07-01 04:00:00,350.0,352.09,345.62,347.4,495571.0
2015-07-02 04:00:00,348.23,348.5,343.66,345.4,433998.0
2015-07-06 04:00:00,342.36,345.74,340.01,342.81,698814.0
2015-07-07 04:00:00,343.08,344.41,335.69,342.61,853770.0
2015-07-08 04:00:00,340.0,341.03,333.64,334.12,955802.0
2015-07-09 04:00:00,341.05,342.37,336.31,336.89,797291.0
2015-07-10 04:00:00,339.94,341.21,337.28,339.46,1156633.0
2015-07-13 04:00:00,342.57,345.42,341.67,344.26,800672.0
2015-07-14 04:00:00,342.86,344.345,340.63,342.73,1213999.0
2015-07-15 04:00:00,343.41,347.817,340.9,346.49,1107566.0
2015-07-16 04:00:00,349.65,354.99,349.04,354.28,806191.0
2015-07-17 04:00:00,353.1,355.69,351.6,354.54,729400.0
2015-07-20 04:00:00,355.97,356.01,351.87,353.1,441890.0
2015-07-21 04:00:00,352.44,354.42,350.54,351.82,481804.0
2015-07-22 04:00:00,352.0,352.35,349.4,350.0,720360.0
2015-07-23 04:00:00,350.08,351.19,345.58,346.44,526695.0
