date,open,high,low,close,volume
2025-02-25 05:00:00,4.19,5.4,4.05,4.44,2611319.0
2025-02-26 05:00:00,4.44,4.46,4.0,4.14,218558.0
2025-02-27 05:00:00,4.11,4.43,4.0,4.17,303201.0
2025-02-28 05:00:00,4.1,4.378,4.08,4.1734,362406.0
2025-03-03 05:00:00,4.24,4.44,4.15,4.2,909848.0
2025-03-04 05:00:00,4.28,4.398,4.0,4.2,112875.0
2025-03-05 05:00:00,4.26,4.4,4.09,4.095,44992.0
2025-03-06 05:00:00,4.1,4.3,4.09,4.12,68297.0
2025-03-07 05:00:00,4.1,4.19,4.0,4.02,170508.0
2025-03-10 04:00:00,4.01,4.09,3.75,3.911,123365.0
2025-03-11 04:00:00,3.91,4.2,3.91,4.06,46745.0
2025-03-12 04:00:00,3.99,4.09,3.99,4.04,8336.0
2025-03-13 04:00:00,4.04,4.17,4.01,4.01,123680.0
2025-03-14 04:00:00,4.0019,4.1,3.86,4.0893,219293.0
2025-03-17 04:00:00,4.0102,4.0541,3.97,4.04,201277.0
2025-03-18 04:00:00,4.01,4.05,3.96,4.04,7776.0
2025-03-19 04:00:00,4.09,4.38,4.0014,4.2201,115914.0
2025-03-20 04:00:00,4.22,4.38,4.1,4.21,352675.0
2025-03-21 04:00:00,4.13,4.26,4.02,4.21,75002.0
2025-03-24 04:00:00,4.22,4.37,4.08,4.18,34959.0
2025-03-25 04:00:00,4.16,4.1988,4.0189,4.15,192485.0
2025-03-26 04:00:00,4.15,4.2402,4.002,4.2402,55890.0
2025-03-27 04:00:00,4.23,4.35,4.05,4.3467,217855.0
2025-03-28 04:00:00,4.16,4.5554,4.14,4.5554,218932.0
2025-03-31 04:00:00,4.31,5.1975,4.31,4.88,89178.0
2025-04-01 04:00:00,5.04,5.1651,4.61,5.0,137921.0
2025-04-02 04:00:00,4.95,5.19,4.84,5.18,249567.0
2025-04-03 04:00:00,5.19,5.48,5.0,5.3,74157.0
2025-04-04 04:00:00,5.28,5.49,5.1101,5.49,40055.0
2025-04-07 04:00:00,5.29,5.5,5.0,5.1479,168247.0
2025-04-08 04:00:00,5.08,5.2,3.63,4.13,477142.0
2025-04-09 04:00:00,4.4,4.8,4.19,4.74,144081.0
2025-04-10 04:00:00,4.5,4.9242,4.4,4.705,93529.0
2025-04-11 04:00:00,4.7,4.95,4.11,4.5,310284.0
2025-04-14 04:00:00,4.68,4.68,4.25,4.48,81751.0
2025-04-15 04:00:00,4.12,4.43,4.12,4.31,36578.0
2025-04-16 04:00:00,4.35,4.5,4.2,4.41,48818.0
2025-04-17 04:00:00,4.4,4.6283,4.34,4.45,78689.0
2025-04-21 04:00:00,4.4015,4.8,4.3,4.42,64195.0
2025-04-22 04:00:00,4.42,4.42,4.27,4.41,2701.0
2025-04-23 04:00:00,4.39,4.46,4.255,4.4,12086.0
2025-04-24 04:00:00,4.15,4.4755,4.15,4.4394,11552.0
2025-04-25 04:00:00,4.48,4.48,4.33,4.33,33620.0
2025-04-28 04:00:00,4.45,4.56,3.9,4.1686,249916.0
2025-04-29 04:00:00,4.16,4.3,4.1001,4.18,108803.0
2025-04-30 04:00:00,4.17,4.23,4.02,4.09,46244.0
2025-05-01 04:00:00,4.3262,4.3262,4.05,4.07,52941.0
2025-05-02 04:00:00,4.1,4.25,3.86,4.17,79874.0
2025-05-05 04:00:00,3.98,4.22,3.86,4.22,31538.0
2025-05-06 04:00:00,4.33,4.8,4.15,4.8,122761.0
2025-05-07 04:00:00,4.32,4.9,4.32,4.72,48443.0
2025-05-08 04:00:00,4.6,4.755,4.55,4.73,49413.0
2025-05-09 04:00:00,4.6,4.85,4.5,4.78,15258.0
2025-05-12 04:00:00,4.339,4.7,4.339,4.7,2064846.0
2025-05-13 04:00:00,4.7,4.7,4.23,4.5,1426313.0
2025-05-14 04:00:00,4.5,6.5,1.64,1.9,8274287.0
2025-05-15 04:00:00,2.0,3.64,1.92,2.63,15274779.0
2025-05-16 04:00:00,2.9,3.62,2.1,2.37,10550795.0
2025-05-19 04:00:00,2.37,2.45,2.11,2.13,1003786.0
