date,open,high,low,close,volume
2015-05-26 04:00:00,5.23,5.49,5.02,5.1,8911485.0
2015-05-27 04:00:00,5.16,5.38,5.07,5.36,6809684.0
2015-05-28 04:00:00,5.31,5.66,5.31,5.65,8483432.0
2015-05-29 04:00:00,5.61,5.65,5.3,5.31,8367129.0
2015-06-01 04:00:00,5.36,5.39,5.08,5.11,7681449.0
2015-06-02 04:00:00,5.1,5.56,5.1,5.42,8208916.0
2015-06-03 04:00:00,5.39,5.54,5.22,5.27,8207636.0
2015-06-04 04:00:00,5.27,5.39,5.15,5.34,5005094.0
2015-06-05 04:00:00,5.35,5.36,5.2,5.29,3337657.0
2015-06-08 04:00:00,5.21,5.3,5.01,5.12,6944271.0
2015-06-09 04:00:00,5.17,5.32,5.01,5.04,7305675.0
2015-06-10 04:00:00,5.23,5.33,5.08,5.25,7632606.0
2015-06-11 04:00:00,5.23,5.55,5.22,5.52,10108601.0
2015-06-12 04:00:00,5.49,5.55,5.38,5.48,5140820.0
2015-06-15 04:00:00,5.42,5.59,5.33,5.46,5807176.0
2015-06-16 04:00:00,5.37,5.4,5.14,5.19,6615615.0
2015-06-17 04:00:00,5.2,5.21,4.96,5.15,9020838.0
2015-06-18 04:00:00,5.17,5.2,5.01,5.08,5505562.0
2015-06-19 04:00:00,5.03,5.17,5.01,5.02,6470023.0
2015-06-22 04:00:00,5.04,5.05,4.71,4.73,9078068.0
2015-06-23 04:00:00,4.73,4.93,4.64,4.86,5195284.0
2015-06-24 04:00:00,4.85,4.9,4.71,4.77,4775380.0
2015-06-25 04:00:00,4.72,4.86,4.5,4.56,6037263.0
2015-06-26 04:00:00,4.5,4.65,4.43,4.65,16449515.0
2015-06-29 04:00:00,4.55,4.89,4.55,4.79,7846956.0
2015-06-30 04:00:00,4.78,4.823,4.27,4.33,10779271.0
2015-07-01 04:00:00,4.34,4.35,4.15,4.21,7030308.0
2015-07-02 04:00:00,4.23,4.23,3.71,3.86,15684965.0
2015-07-06 04:00:00,3.7,3.84,3.47,3.55,11259305.0
2015-07-07 04:00:00,3.47,3.53,3.06,3.53,13553521.0
2015-07-08 04:00:00,3.25,3.37,3.13,3.14,9757762.0
2015-07-09 04:00:00,3.36,3.4,3.22,3.27,6628624.0
2015-07-10 04:00:00,3.43,3.44,3.24,3.3,8077046.0
2015-07-13 04:00:00,3.32,3.71,3.15,3.52,10775638.0
2015-07-14 04:00:00,3.49,3.51,3.36,3.4,5155208.0
2015-07-15 04:00:00,3.44,3.44,3.15,3.17,5805006.0
2015-07-16 04:00:00,3.18,3.29,3.08,3.1,4786749.0
2015-07-17 04:00:00,3.11,3.26,3.03,3.04,8103328.0
2015-07-20 04:00:00,3.1,3.15,2.84,2.86,6751250.0
2015-07-21 04:00:00,2.84,3.04,2.84,2.92,5050822.0
2015-07-22 04:00:00,2.82,2.86,2.28,2.47,15431754.0
2015-07-23 04:00:00,2.51,2.79,2.43,2.77,11224236.0
2015-07-24 04:00:00,2.61,2.65,2.41,2.46,7799905.0
2015-07-27 04:00:00,2.36,2.62,2.35,2.4,5507325.0
2015-07-28 04:00:00,2.46,3.095,2.46,2.97,13551767.0
2015-07-29 04:00:00,3.01,3.1,2.68,3.02,14192479.0
2015-07-30 04:00:00,3.0,3.04,2.65,2.65,6094072.0
2015-07-31 04:00:00,2.7,2.71,2.52,2.52,3840696.0
2015-08-03 04:00:00,2.51,2.61,2.44,2.45,4579994.0
2015-08-04 04:00:00,2.53,2.59,2.41,2.42,3915797.0
2015-08-05 04:00:00,2.515,2.75,2.47,2.65,5080829.0
2015-08-06 04:00:00,2.6,2.91,2.5,2.88,5401513.0
2015-08-07 04:00:00,2.93,3.02,2.62,2.68,4206302.0
2015-08-10 04:00:00,2.73,3.03,2.56,2.99,4727471.0
2015-08-11 04:00:00,2.88,3.11,2.75,3.09,7068278.0
2015-08-12 04:00:00,2.95,3.24,2.94,3.24,4467768.0
2015-08-13 04:00:00,3.15,3.31,3.1,3.21,3661283.0
2015-08-14 04:00:00,3.2,3.415,3.19,3.38,3958030.0
2015-08-17 04:00:00,3.38,3.8,3.31,3.75,5237008.0
2015-08-18 04:00:00,3.64,3.72,3.35,3.42,4359904.0
2015-08-19 04:00:00,3.4,3.63,3.3598,3.38,2478065.0
2015-08-20 04:00:00,3.35,3.42,3.2101,3.23,3527983.0
2015-08-21 04:00:00,3.17,3.36,3.08,3.31,5489332.0
2015-08-24 04:00:00,2.95,3.47,2.9,3.21,4206499.0
2015-08-25 04:00:00,3.42,3.43,3.09,3.21,3905389.0
2015-08-26 04:00:00,3.26,3.34,3.12,3.28,3914618.0
2015-08-27 04:00:00,3.29,3.74,3.29,3.73,6909594.0
2015-08-28 04:00:00,3.73,4.2,3.7,3.83,7895964.0
2015-08-31 04:00:00,3.8,4.12,3.61,3.97,6699388.0
2015-09-01 04:00:00,3.77,4.04,3.7,3.76,4767979.0
2015-09-02 04:00:00,3.85,3.9,3.57,3.8,2911245.0
2015-09-03 04:00:00,3.76,3.98,3.75,3.89,3761624.0
2015-09-04 04:00:00,3.81,3.97,3.76,3.86,3818104.0
2015-09-08 04:00:00,4.0,4.32,3.93,4.29,6241705.0
2015-09-09 04:00:00,4.33,4.52,4.14,4.38,7894805.0
2015-09-10 04:00:00,4.37,4.53,4.0,4.06,6341107.0
2015-09-11 04:00:00,4.0,4.21,3.63,3.66,5855965.0
2015-09-14 04:00:00,3.66,3.71,3.2,3.25,6865003.0
2015-09-15 04:00:00,3.22,3.28,3.1001,3.2,3471901.0
2015-09-16 04:00:00,3.22,3.41,3.2,3.34,3675522.0
2015-09-17 04:00:00,3.31,3.42,3.17,3.2,4038384.0
2015-09-18 04:00:00,3.14,3.15,2.96,3.08,6113310.0
2015-09-21 04:00:00,3.03,3.17,2.9,2.91,3697827.0
2015-09-22 04:00:00,2.81,2.87,2.61,2.83,6460288.0
2015-09-23 04:00:00,2.77,2.89,2.62,2.64,4403383.0
2015-09-24 04:00:00,2.6,2.82,2.48,2.73,4046034.0
2015-09-25 04:00:00,2.75,2.77,2.51,2.63,5044204.0
2015-09-28 04:00:00,2.61,2.61,2.38,2.42,4082456.0
2015-09-29 04:00:00,2.45,2.5,2.33,2.39,3074735.0
2015-09-30 04:00:00,2.41,2.59,2.39,2.44,3620387.0
2015-10-01 04:00:00,2.43,2.6,2.33,2.36,3475943.0
2015-10-02 04:00:00,2.34,2.57,2.33,2.56,4421905.0
2015-10-05 04:00:00,2.6,3.04,2.6,2.94,6176656.0
2015-10-06 04:00:00,3.0,3.53,2.96,3.51,9730669.0
2015-10-07 04:00:00,3.5,3.73,2.93,2.94,14601839.0
2015-10-08 04:00:00,3.0,3.15,2.93,3.12,6899765.0
2015-10-09 04:00:00,3.27,3.32,3.03,3.05,4350153.0
2015-10-12 04:00:00,3.05,3.13,2.95,2.96,3203410.0
2015-10-13 04:00:00,2.92,3.07,2.83,2.85,3002239.0
2015-10-14 04:00:00,2.89,2.98,2.8,2.83,3107404.0
2015-10-15 04:00:00,2.82,3.05,2.8,2.94,7522754.0
2015-10-16 04:00:00,3.0,3.0,2.8,2.81,3469132.0
2015-10-19 04:00:00,2.78,2.81,2.59,2.71,3937355.0
