date,open,high,low,close,volume
2021-06-25 04:00:00,14.0,14.5,11.03,11.44,2234402.0
2021-06-28 04:00:00,12.0,12.25,10.58,11.69,548352.0
2021-06-29 04:00:00,11.12,12.74,11.04,12.74,290857.0
2021-06-30 04:00:00,12.81,13.69,11.76,13.57,175620.0
2021-07-01 04:00:00,13.35,14.09,12.01,13.2,155398.0
2021-07-02 04:00:00,13.46,15.67,12.66,15.33,224753.0
2021-07-06 04:00:00,15.03,15.71,14.87,15.1,236780.0
2021-07-07 04:00:00,15.18,15.18,13.8,14.48,41763.0
2021-07-08 04:00:00,14.62,15.4365,14.2601,15.08,30427.0
2021-07-09 04:00:00,15.0,15.305,14.46,14.87,62583.0
2021-07-12 04:00:00,15.13,16.22,14.49,16.11,83876.0
2021-07-13 04:00:00,16.21,16.21,14.59,16.0,20473.0
2021-07-14 04:00:00,16.05,16.05,13.7081,14.59,9653.0
2021-07-15 04:00:00,14.75,14.75,13.85,14.16,9670.0
2021-07-16 04:00:00,14.4,14.4,12.43,13.36,8066.0
2021-07-19 04:00:00,14.0,15.0341,11.51,12.1,22368.0
2021-07-20 04:00:00,13.27,14.25,11.49,11.64,58955.0
2021-07-21 04:00:00,11.75,11.81,10.09,10.68,36002.0
2021-07-22 04:00:00,10.44,10.81,9.6,9.9,81791.0
2021-07-23 04:00:00,9.6038,11.3,8.0,8.8,126512.0
2021-07-26 04:00:00,8.81,8.82,8.17,8.4,78845.0
2021-07-27 04:00:00,8.25,8.32,7.71,8.01,77921.0
2021-07-28 04:00:00,8.25,8.41,8.01,8.195,34234.0
2021-07-29 04:00:00,8.21,8.36,7.83,8.1,11900.0
2021-07-30 04:00:00,8.24,8.34,8.0,8.2,113627.0
2021-08-02 04:00:00,8.4,9.23,8.02,8.2,62557.0
2021-08-03 04:00:00,8.22,8.8899,8.04,8.41,34430.0
2021-08-04 04:00:00,8.22,8.77,7.9833,8.4,5944.0
2021-08-05 04:00:00,8.23,9.12,8.16,8.79,41815.0
2021-08-06 04:00:00,8.51,8.85,8.5,8.85,9703.0
2021-08-09 04:00:00,9.14,9.16,8.6121,9.16,16554.0
2021-08-10 04:00:00,9.48,10.69,9.0568,10.69,43715.0
2021-08-11 04:00:00,10.81,10.81,9.88,10.69,40984.0
2021-08-12 04:00:00,9.53,13.18,9.53,11.2,49907.0
2021-08-13 04:00:00,11.9002,11.9002,10.3522,11.5,12677.0
2021-08-16 04:00:00,11.52,12.75,10.35,12.35,24021.0
2021-08-17 04:00:00,13.2,13.2,12.2393,12.25,27584.0
2021-08-18 04:00:00,12.62,12.9924,12.24,12.36,11993.0
2021-08-19 04:00:00,12.675,12.9384,12.24,12.92,9758.0
2021-08-20 04:00:00,12.79,12.79,12.37,12.75,10354.0
2021-08-23 04:00:00,12.5,13.3896,12.155,12.37,57650.0
2021-08-24 04:00:00,12.3,13.0,12.085,12.98,12275.0
2021-08-25 04:00:00,12.4976,12.96,11.47,11.88,18885.0
2021-08-26 04:00:00,12.0,12.1,11.12,11.15,19163.0
2021-08-27 04:00:00,11.17,11.505,10.31,10.77,15911.0
2021-08-30 04:00:00,10.53,11.75,9.8,11.75,47490.0
2021-08-31 04:00:00,10.7875,12.01,10.6299,11.7,15741.0
2021-09-01 04:00:00,11.86,11.86,10.8252,11.0,9940.0
2021-09-02 04:00:00,10.99,11.51,10.695,10.96,22805.0
2021-09-03 04:00:00,10.74,11.08,10.6,10.86,25147.0
2021-09-07 04:00:00,11.0,11.5,10.8,11.07,76581.0
2021-09-08 04:00:00,11.09,11.16,9.49,10.06,77669.0
2021-09-09 04:00:00,10.24,10.75,9.63,10.16,49388.0
2021-09-10 04:00:00,10.4,10.92,9.47,10.47,55211.0
2021-09-13 04:00:00,10.44,10.69,9.795,9.95,50480.0
2021-09-14 04:00:00,9.71,10.025,9.1,9.5,48532.0
2021-09-15 04:00:00,9.34,9.965,9.12,9.9,225574.0
2021-09-16 04:00:00,9.15,10.47,9.15,10.25,177970.0
2021-09-17 04:00:00,10.76,10.97,9.2,9.21,297093.0
2021-09-20 04:00:00,9.12,9.34,7.51,7.86,260729.0
2021-09-21 04:00:00,7.86,8.2,7.38,7.91,223770.0
2021-09-22 04:00:00,8.04,8.65,7.51,7.71,31990.0
2021-09-23 04:00:00,7.77,8.02,7.52,7.94,63761.0
2021-09-24 04:00:00,7.8,8.22,7.5,7.66,34457.0
2021-09-27 04:00:00,7.85,8.262,7.85,8.21,42696.0
2021-09-28 04:00:00,8.01,8.46,7.99,8.2,13064.0
2021-09-29 04:00:00,8.15,8.4,7.6,7.88,61091.0
2021-09-30 04:00:00,7.88,8.3,7.65,7.79,21255.0
