date,open,high,low,close,volume
2021-04-19 04:00:00,9.85,9.85,9.85,9.85,130.0
2021-04-20 04:00:00,9.85,10.05,9.85,10.05,2173.0
2021-04-21 04:00:00,9.9,10.05,9.85,9.85,30562.0
2021-04-22 04:00:00,10.04,10.04,9.86,9.87,3514.0
2021-04-23 04:00:00,9.85,9.85,9.85,9.85,210.0
2021-04-26 04:00:00,10.03,10.03,10.03,10.03,211.0
2021-04-27 04:00:00,10.0,10.0,10.0,10.0,2002.0
2021-04-28 04:00:00,9.99,9.99,9.83,9.83,3879.0
2021-04-29 04:00:00,9.85,9.97,9.85,9.86,1659.0
2021-04-30 04:00:00,9.9,9.9,9.86,9.86,3210.0
2021-05-03 04:00:00,9.9,9.92,9.86,9.86,5506.0
2021-05-04 04:00:00,9.88,9.88,9.82,9.88,22736.0
2021-05-05 04:00:00,9.88,9.88,9.83,9.83,9004.0
2021-05-06 04:00:00,9.82,9.84,9.82,9.83,7038.0
2021-05-07 04:00:00,9.89,9.9593,9.82,9.84,8526.0
2021-05-10 04:00:00,9.82,9.835,9.76,9.76,32166.0
2021-05-11 04:00:00,9.77,9.815,9.77,9.805,418.0
2021-05-12 04:00:00,9.82,9.82,9.82,9.82,1211.0
2021-05-13 04:00:00,10.1,10.1,9.8,9.8,708.0
2021-05-14 04:00:00,9.79,9.8,9.79,9.79,1455.0
2021-05-17 04:00:00,9.79,9.85,9.79,9.8,3547.0
2021-05-18 04:00:00,9.78,9.78,9.7,9.7,33714.0
2021-05-19 04:00:00,9.75,9.7599,9.69,9.69,11640.0
2021-05-20 04:00:00,9.74,9.75,9.74,9.75,5017.0
2021-05-21 04:00:00,9.7,9.75,9.7,9.72,67360.0
2021-05-24 04:00:00,9.72,9.74,9.72,9.74,488.0
2021-05-25 04:00:00,9.75,9.75,9.74,9.74,487.0
2021-05-26 04:00:00,9.66,9.76,9.66,9.75,2379.0
2021-05-27 04:00:00,9.76,9.7672,9.76,9.76,1923.0
2021-05-28 04:00:00,9.8,9.8,9.68,9.725,3392.0
2021-06-01 04:00:00,9.8,9.8,9.7,9.72,2463.0
2021-06-02 04:00:00,9.8,9.88,9.79,9.8,40519.0
2021-06-03 04:00:00,9.6501,9.83,9.6501,9.75,9982.0
2021-06-04 04:00:00,9.8,9.825,9.8,9.8,33082.0
2021-06-07 04:00:00,9.92,9.92,9.92,9.92,5423.0
2021-06-08 04:00:00,10.3,10.3,9.8,9.8,1616.0
2021-06-09 04:00:00,9.8,9.8,9.75,9.75,2637.0
2021-06-10 04:00:00,9.77,9.77,9.65,9.7,47501.0
2021-06-11 04:00:00,9.739,9.739,9.69,9.7,14397.0
2021-06-14 04:00:00,9.7,9.75,9.68,9.75,7084.0
2021-06-15 04:00:00,9.79,9.8,9.68,9.7,32839.0
2021-06-16 04:00:00,9.74,9.74,9.7,9.7,621.0
2021-06-17 04:00:00,9.76,9.76,9.69,9.74,11647.0
2021-06-18 04:00:00,9.7,9.7,9.7,9.7,613.0
2021-06-21 04:00:00,9.74,9.8106,9.705,9.75,1295.0
2021-06-22 04:00:00,9.78,9.8,9.748,9.75,51871.0
2021-06-23 04:00:00,9.8,10.02,9.73,10.02,40867.0
2021-06-24 04:00:00,9.8,9.8,9.75,9.76,30119.0
2021-06-25 04:00:00,9.75,9.8114,9.74,9.74,81703.0
2021-06-28 04:00:00,9.77,9.77,9.72,9.72,8395.0
2021-06-29 04:00:00,9.69,9.7136,9.69,9.7,518.0
2021-06-30 04:00:00,9.68,9.7,9.675,9.7,27555.0
2021-07-01 04:00:00,9.7,9.77,9.7,9.7,8048.0
2021-07-02 04:00:00,9.66,9.73,9.66,9.73,6973.0
2021-07-06 04:00:00,9.74,9.75,9.735,9.735,5330.0
2021-07-07 04:00:00,9.75,9.75,9.75,9.75,2537.0
2021-07-08 04:00:00,9.7,9.73,9.7,9.7,34054.0
2021-07-09 04:00:00,9.67,9.715,9.67,9.7,9565.0
2021-07-16 04:00:00,9.66,9.66,9.66,9.66,9827.0
2021-07-19 04:00:00,9.66,9.69,9.66,9.69,602.0
2021-07-20 04:00:00,9.69,9.69,9.69,9.69,200.0
2021-07-21 04:00:00,9.7,9.7,9.64,9.64,403754.0
2021-07-22 04:00:00,9.64,9.66,9.62,9.66,10338.0
2021-07-23 04:00:00,9.66,9.6883,9.64,9.68,6980.0
2021-07-26 04:00:00,9.68,9.68,9.6183,9.64,202537.0
