date,open,high,low,close,volume
2015-05-26 04:00:00,36.01,36.02,35.485,35.75,1894451.0
2015-05-27 04:00:00,35.94,36.17,35.7059,35.86,2272326.0
2015-05-28 04:00:00,35.87,36.265,35.84,36.07,2274946.0
2015-05-29 04:00:00,36.16,36.25,35.63,35.68,2950750.0
2015-06-01 04:00:00,35.81,35.896,35.4,35.6,2555359.0
2015-06-02 04:00:00,35.43,35.52,34.75,35.01,2156975.0
2015-06-03 04:00:00,35.0,35.15,34.24,34.48,2183043.0
2015-06-04 04:00:00,34.35,34.94,34.32,34.55,2506279.0
2015-06-05 04:00:00,34.15,34.43,33.88,34.4,2941191.0
2015-06-08 04:00:00,34.33,34.57,34.18,34.3,2041974.0
2015-06-09 04:00:00,34.2,34.35,33.88,33.92,2557193.0
2015-06-10 04:00:00,34.25,34.79,34.23,34.54,4708215.0
2015-06-11 04:00:00,34.76,34.84,34.2,34.52,2164975.0
2015-06-12 04:00:00,34.37,34.37,33.67,33.67,2492344.0
2015-06-15 04:00:00,33.61,33.66,33.17,33.29,2736317.0
2015-06-16 04:00:00,33.29,33.41,33.0,33.36,1911101.0
2015-06-17 04:00:00,33.35,33.62,32.98,33.43,3586706.0
2015-06-18 04:00:00,33.51,34.14,33.5,34.04,3111432.0
2015-06-19 04:00:00,34.02,34.24,33.75,33.8,3378717.0
2015-06-22 04:00:00,33.95,34.06,33.63,33.69,2041551.0
2015-06-23 04:00:00,33.76,33.79,33.17,33.27,2538025.0
2015-06-24 04:00:00,33.25,33.35,33.0,33.0,2059756.0
2015-06-25 04:00:00,33.04,33.14,32.83,32.86,2219493.0
2015-06-26 04:00:00,32.86,33.05,32.57,32.75,2285338.0
2015-06-29 04:00:00,32.68,33.38,32.585,32.61,2493385.0
2015-06-30 04:00:00,32.69,32.81,32.46,32.55,2313839.0
2015-07-01 04:00:00,32.66,32.825,32.53,32.81,1796346.0
2015-07-02 04:00:00,33.09,33.41,32.955,33.21,1411263.0
2015-07-06 04:00:00,33.14,33.52,32.87,33.31,1944444.0
2015-07-07 04:00:00,33.43,34.18,33.39,34.06,2727414.0
2015-07-08 04:00:00,33.89,34.16,33.71,33.79,2412382.0
2015-07-09 04:00:00,33.91,34.14,33.33,33.47,1616336.0
2015-07-10 04:00:00,33.63,33.93,33.42,33.66,1477682.0
2015-07-13 04:00:00,33.78,33.84,33.43,33.67,1555246.0
2015-07-14 04:00:00,33.67,33.88,33.44,33.62,1471532.0
2015-07-15 04:00:00,33.55,33.865,33.43,33.86,1690344.0
2015-07-16 04:00:00,33.9,34.73,33.79,34.69,3001187.0
2015-07-17 04:00:00,34.56,34.6,34.27,34.4,2069254.0
2015-07-20 04:00:00,34.4,34.42,33.76,33.97,1859241.0
2015-07-21 04:00:00,33.86,33.95,33.19,33.28,1900819.0
