date,open,high,low,close,volume
2015-05-26 04:00:00,7.966,7.994,7.794,7.858,5691930.0
2015-05-27 04:00:00,7.86,7.922,7.734,7.886,9823495.0
2015-05-28 04:00:00,7.882,8.052,7.872,8.036,7483735.0
2015-05-29 04:00:00,8.048,8.076,7.92,8.012,6142175.0
2015-06-01 04:00:00,8.05,8.06,7.886,7.972,5792775.0
2015-06-02 04:00:00,7.91,8.026,7.884,7.946,4743070.0
2015-06-03 04:00:00,7.99,8.058,7.922,8.016,4255845.0
2015-06-04 04:00:00,8.016,8.034,7.862,7.9,4766415.0
2015-06-05 04:00:00,7.966,8.236,7.846,8.208,9073515.0
2015-06-08 04:00:00,8.294,8.298,8.058,8.116,7735255.0
2015-06-09 04:00:00,8.172,8.172,7.974,8.152,6535205.0
2015-06-10 04:00:00,8.19,8.2709,8.134,8.24,3668635.0
2015-06-11 04:00:00,8.24,8.334,8.168,8.2,7422835.0
2015-06-12 04:00:00,8.19,8.27,8.104,8.244,5143335.0
2015-06-15 04:00:00,8.164,8.236,8.024,8.214,7435850.0
2015-06-16 04:00:00,8.272,8.534,8.24,8.495,8579370.0
2015-06-17 04:00:00,8.496,8.618,8.494,8.578,6748860.0
2015-06-18 04:00:00,8.654,8.824,8.612,8.747,9794075.0
2015-06-19 04:00:00,8.778,8.788,8.592,8.624,12030060.0
2015-06-22 04:00:00,8.728,8.778,8.648,8.71,6473205.0
2015-06-23 04:00:00,8.738,8.752,8.6,8.642,6586885.0
2015-06-24 04:00:00,8.364,8.422,8.154,8.341,20402515.0
2015-06-25 04:00:00,8.372,8.426,8.346,8.394,6101180.0
2015-06-26 04:00:00,8.4,8.4,8.214,8.344,10575240.0
2015-06-29 04:00:00,8.142,8.324,8.11,8.119,7493685.0
2015-06-30 04:00:00,8.196,8.286,8.1522,8.266,7350140.0
2015-07-01 04:00:00,8.368,8.38,8.206,8.256,5544360.0
2015-07-02 04:00:00,8.292,8.32,8.17,8.246,4409555.0
2015-07-06 04:00:00,7.946,8.098,7.808,7.994,9794395.0
2015-07-07 04:00:00,8.128,8.136,7.826,8.122,10025690.0
2015-07-08 04:00:00,8.008,8.152,7.976,8.114,7996630.0
2015-07-09 04:00:00,8.28,8.428,8.226,8.276,7696710.0
2015-07-10 04:00:00,8.346,8.346,8.214,8.29,4789510.0
2015-07-13 04:00:00,8.392,8.398,8.252,8.302,6394100.0
2015-07-14 04:00:00,8.336,8.552,8.304,8.522,7241790.0
2015-07-15 04:00:00,8.504,8.538,8.395,8.428,4105540.0
2015-07-16 04:00:00,8.5,8.556,8.4508,8.552,5324875.0
2015-07-17 04:00:00,8.576,8.58,8.42,8.482,5427525.0
2015-07-20 04:00:00,8.482,8.554,8.416,8.48,4873495.0
2015-07-21 04:00:00,8.494,8.698,8.396,8.592,11190670.0
2015-07-22 04:00:00,8.612,8.712,8.422,8.46,17809180.0
2015-07-23 04:00:00,9.442,9.566,9.2,9.366,34909245.0
2015-07-24 04:00:00,9.46,9.66,9.45,9.598,15267315.0
2015-07-27 04:00:00,9.522,9.592,9.362,9.42,9528765.0
2015-07-28 04:00:00,9.486,9.51,9.248,9.424,8884680.0
2015-07-29 04:00:00,9.44,9.492,9.302,9.472,8240015.0
2015-07-30 04:00:00,9.462,9.54,9.342,9.516,7203635.0
2015-07-31 04:00:00,9.51,9.718,9.4598,9.548,7298995.0
2015-08-03 04:00:00,9.528,9.598,9.392,9.53,7719985.0
2015-08-04 04:00:00,9.522,9.565,9.472,9.536,4903795.0
2015-08-05 04:00:00,9.572,9.842,9.562,9.766,10475315.0
2015-08-06 04:00:00,9.748,9.794,9.258,9.328,10347650.0
2015-08-07 04:00:00,9.316,9.38,9.206,9.38,7600405.0
2015-08-10 04:00:00,10.062,10.062,9.438,9.508,5227980.0
2015-08-11 04:00:00,9.422,9.54,9.3,9.386,5300680.0
2015-08-12 04:00:00,9.322,9.384,9.012,9.296,11440155.0
2015-08-13 04:00:00,9.308,9.396,9.232,9.3,4601860.0
2015-08-14 04:00:00,9.248,9.354,9.212,9.344,5555685.0
2015-08-17 04:00:00,9.3,9.578,9.24,9.57,6431465.0
2015-08-18 04:00:00,9.598,9.6,9.466,9.55,5465235.0
2015-08-19 04:00:00,9.442,9.62,9.348,9.468,4333335.0
2015-08-20 04:00:00,9.358,9.4,8.92,8.922,10337205.0
