date,open,high,low,close,volume
2017-01-25 05:00:00,29.04,30.25,28.91,30.13,1021318.0
2017-01-26 05:00:00,29.54,31.25,29.51,30.72,1170947.0
2017-01-27 05:00:00,30.86,30.9,30.01,30.58,734097.0
2017-01-30 05:00:00,30.38,30.38,28.77,29.4,570439.0
2017-01-31 05:00:00,29.43,29.43,28.28,28.74,605106.0
2017-02-01 05:00:00,28.94,29.42,28.74,29.35,838519.0
2017-02-02 05:00:00,29.19,29.8,29.06,29.605,505806.0
2017-02-03 05:00:00,29.76,30.63,29.59,30.41,565539.0
2017-02-06 05:00:00,30.2,30.56,29.61,30.11,530829.0
2017-02-07 05:00:00,29.9,30.25,29.475,30.1,540131.0
2017-02-08 05:00:00,29.87,30.48,29.42,30.46,520944.0
2017-02-09 05:00:00,30.41,31.32,29.85,31.18,523214.0
2017-02-10 05:00:00,31.31,32.16,30.94,32.16,347712.0
2017-02-13 05:00:00,32.27,32.47,31.27,31.43,248513.0
2017-02-14 05:00:00,31.5,32.24,30.61,31.24,433128.0
2017-02-15 05:00:00,31.09,31.48,30.65,31.22,191545.0
2017-02-16 05:00:00,31.28,31.94,30.78,31.91,322445.0
2017-02-17 05:00:00,32.09,32.09,31.52,31.96,165429.0
2017-02-21 05:00:00,31.95,33.61,31.95,33.53,687704.0
2017-02-22 05:00:00,33.53,34.11,33.38,34.08,1108863.0
2017-02-23 05:00:00,34.09,34.09,32.93,33.47,348962.0
2017-02-24 05:00:00,33.12,33.48,32.89,33.18,189995.0
2017-02-27 05:00:00,33.32,33.48,32.78,32.84,348647.0
2017-02-28 05:00:00,32.72,32.87,30.64,30.7,528434.0
2017-03-01 05:00:00,31.37,31.92,31.27,31.87,608344.0
2017-03-02 05:00:00,31.79,32.27,31.43,32.23,600140.0
2017-03-03 05:00:00,32.13,32.92,31.98,32.83,679681.0
2017-03-06 05:00:00,32.56,34.115,32.51,33.99,1453615.0
2017-03-07 05:00:00,33.99,34.79,33.88,34.02,962134.0
2017-03-08 05:00:00,34.2,34.44,33.56,33.8,700172.0
2017-03-09 05:00:00,33.77,34.22,33.5,33.98,600127.0
2017-03-10 05:00:00,34.34,35.16,34.0,34.85,643907.0
2017-03-13 04:00:00,34.99,35.2,34.665,34.9,494730.0
2017-03-14 04:00:00,34.65,34.98,33.52,34.13,343692.0
2017-03-15 04:00:00,34.39,34.72,34.02,34.52,430143.0
2017-03-16 04:00:00,34.62,34.89,34.0,34.3,489959.0
2017-03-17 04:00:00,33.9,34.56,33.9,34.3,6032558.0
