date,open,high,low,close,volume
2015-05-26 04:00:00,2.71,2.75,2.52,2.62,115299.0
2015-05-27 04:00:00,2.7,2.75,2.58,2.7,131217.0
2015-05-28 04:00:00,2.71,2.75,2.62,2.74,65800.0
2015-05-29 04:00:00,2.75,2.76,2.51,2.51,105737.0
2015-06-01 04:00:00,2.56,2.7,2.51,2.69,85522.0
2015-06-02 04:00:00,2.65,2.78,2.61,2.68,164103.0
2015-06-03 04:00:00,2.72,2.84,2.61,2.81,113466.0
2015-06-04 04:00:00,2.76,2.86,2.73,2.8,91166.0
2015-06-05 04:00:00,2.77,2.9,2.75,2.89,60296.0
2015-06-08 04:00:00,2.85,3.05,2.83,2.95,128973.0
2015-06-09 04:00:00,2.99,3.04,2.8754,3.0,111383.0
2015-06-10 04:00:00,3.0,4.11,2.98,3.73,1971083.0
2015-06-11 04:00:00,3.62,3.63,3.12,3.34,576610.0
2015-06-12 04:00:00,3.31,3.3201,3.15,3.25,158921.0
2015-06-15 04:00:00,3.19,3.23,3.1,3.17,87455.0
2015-06-16 04:00:00,3.15,3.2,3.02,3.13,114490.0
2015-06-17 04:00:00,3.15,3.25,2.95,2.98,162250.0
2015-06-18 04:00:00,2.98,3.08,2.98,3.04,68365.0
2015-06-19 04:00:00,3.05,3.112,2.85,3.05,175282.0
2015-06-22 04:00:00,3.07,3.184,2.96,3.12,80763.0
2015-06-23 04:00:00,3.11,3.13,2.95,3.02,96978.0
2015-06-24 04:00:00,3.01,3.11,2.93,2.93,130828.0
2015-06-25 04:00:00,2.94,2.96,2.72,2.8,149984.0
2015-06-26 04:00:00,2.81,2.84,2.52,2.56,2442297.0
2015-06-29 04:00:00,2.56,2.75,2.5,2.71,354993.0
2015-06-30 04:00:00,2.81,2.84,2.6,2.73,173618.0
2015-07-01 04:00:00,2.76,2.7648,2.61,2.62,88302.0
2015-07-02 04:00:00,2.65,2.65,2.56,2.59,56411.0
2015-07-06 04:00:00,2.57,2.62,2.55,2.56,71562.0
2015-07-07 04:00:00,2.56,2.6495,2.55,2.59,102322.0
2015-07-08 04:00:00,2.61,2.63,2.5,2.5,123855.0
2015-07-09 04:00:00,2.52,2.59,2.5,2.55,36405.0
2015-07-10 04:00:00,2.58,2.75,2.52,2.67,76666.0
2015-07-13 04:00:00,2.67,2.7299,2.6001,2.63,48479.0
2015-07-14 04:00:00,2.63,2.78,2.63,2.73,43925.0
2015-07-15 04:00:00,2.72,2.9,2.72,2.79,89937.0
