date,open,high,low,close,volume
2015-05-26 04:00:00,8.56,8.66,8.37,8.54,15902.0
2015-05-27 04:00:00,8.47,8.52,8.2625,8.27,21411.0
2015-05-28 04:00:00,8.2,8.29,7.75,7.96,27902.0
2015-05-29 04:00:00,7.89,7.99,7.68,7.97,11251.0
2015-06-01 04:00:00,8.39,8.39,7.73,7.82,20006.0
2015-06-02 04:00:00,7.99,8.0,7.68,7.78,15293.0
2015-06-03 04:00:00,7.905,8.2,7.73,8.2,34286.0
2015-06-04 04:00:00,8.11,8.14,7.77,7.87,11830.0
2015-06-05 04:00:00,8.152,8.152,7.89,7.89,12924.0
2015-06-08 04:00:00,7.833,8.04,7.52,7.67,39771.0
2015-06-09 04:00:00,7.551,7.68,7.5456,7.61,13619.0
2015-06-10 04:00:00,7.89,7.89,7.53,7.8,9947.0
2015-06-11 04:00:00,7.73,7.85,7.73,7.75,8693.0
2015-06-12 04:00:00,7.77,7.89,7.76,7.77,1957.0
2015-06-15 04:00:00,7.609,7.86,7.51,7.86,11152.0
2015-06-16 04:00:00,7.594,7.87,7.58,7.62,3914.0
2015-06-17 04:00:00,7.67,7.71,7.62,7.66,7794.0
2015-06-18 04:00:00,7.6701,7.83,7.66,7.74,17839.0
2015-06-19 04:00:00,7.82,7.84,7.67,7.75,8034.0
2015-06-22 04:00:00,7.74,7.87,7.74,7.84,3892.0
2015-06-23 04:00:00,7.84,9.215,7.8,8.79,141512.0
2015-06-24 04:00:00,8.82,8.82,8.26,8.26,38244.0
2015-06-25 04:00:00,8.26,8.3899,7.68,7.7,29152.0
2015-06-26 04:00:00,7.76,8.0,7.7025,8.0,37508.0
2015-06-29 04:00:00,7.98,8.03,7.7,7.76,7082.0
2015-06-30 04:00:00,7.78,7.99,7.77,7.95,13773.0
2015-07-01 04:00:00,8.0,8.0,7.4,7.5,29381.0
2015-07-02 04:00:00,7.5,7.5,7.11,7.41,41842.0
2015-07-06 04:00:00,7.2,7.44,7.17,7.33,32524.0
2015-07-07 04:00:00,7.295,7.49,7.18,7.18,35385.0
2015-07-08 04:00:00,7.23,7.5,7.19,7.21,10607.0
2015-07-09 04:00:00,7.42,7.69,6.72,7.32,22101.0
2015-07-10 04:00:00,7.37,7.71,7.28,7.62,30873.0
2015-07-13 04:00:00,7.78,7.78,7.41,7.64,11441.0
2015-07-14 04:00:00,7.61,7.735,7.46,7.56,10733.0
