date,open,high,low,close,volume
2021-12-31 05:00:00,6.37,6.42,6.11,6.42,17539.0
2022-01-03 05:00:00,6.43,6.43,6.26,6.37,7759.0
2022-01-04 05:00:00,6.337,6.337,5.8201,6.0201,40510.0
2022-01-05 05:00:00,6.01,6.38,5.85,6.08,12886.0
2022-01-06 05:00:00,6.05,6.21,5.98,6.07,9646.0
2022-01-07 05:00:00,6.09,6.45,6.09,6.21,16312.0
2022-01-10 05:00:00,6.32,6.34,5.89,6.13,13292.0
2022-01-11 05:00:00,6.13,6.27,6.01,6.26,13414.0
2022-01-12 05:00:00,6.27,6.9,6.27,6.4299,30583.0
2022-01-13 05:00:00,6.2,6.25,6.02,6.22,13153.0
2022-01-14 05:00:00,6.3325,6.5,6.295,6.4,19488.0
2022-01-18 05:00:00,6.35,6.4,6.19,6.295,8868.0
2022-01-19 05:00:00,6.49,6.495,6.21,6.38,15620.0
2022-01-20 05:00:00,6.345,6.45,6.345,6.43,8512.0
2022-01-21 05:00:00,6.4,6.45,6.0,6.0,18321.0
2022-01-24 05:00:00,6.01,6.45,5.76,5.84,24174.0
2022-01-25 05:00:00,5.95,6.44,5.84,6.44,32310.0
2022-01-26 05:00:00,6.44,6.69,6.3,6.5,53996.0
2022-01-27 05:00:00,6.64,6.8,6.06,6.185,19429.0
2022-01-28 05:00:00,6.2,6.49,6.1,6.39,10954.0
2022-01-31 05:00:00,6.45,6.49,6.15,6.2401,39835.0
2022-02-01 05:00:00,6.315,6.4,6.2301,6.33,9978.0
2022-02-02 05:00:00,6.34,6.34,6.25,6.28,7058.0
2022-02-03 05:00:00,6.32,6.43,6.13,6.43,17405.0
2022-02-04 05:00:00,6.35,6.49,6.1,6.1,10385.0
2022-02-07 05:00:00,6.2,6.205,6.04,6.05,26290.0
2022-02-08 05:00:00,6.02,6.12,6.0,6.08,12632.0
2022-02-09 05:00:00,6.07,6.1,5.85,6.03,21130.0
2022-02-10 05:00:00,6.015,6.04,5.9,5.96,14854.0
2022-02-11 05:00:00,5.97,6.04,5.97,5.99,7162.0
2022-02-14 05:00:00,6.03,6.04,5.95,5.95,3491.0
2022-02-15 05:00:00,6.04,6.04,5.61,5.88,19313.0
2022-02-16 05:00:00,5.89,6.15,5.72,6.15,15918.0
2022-02-17 05:00:00,5.87,6.15,5.87,6.0,11295.0
2022-02-18 05:00:00,5.98,5.98,5.74,5.74,5639.0
2022-02-22 05:00:00,5.7,5.98,5.7,5.84,21605.0
