date,open,high,low,close,volume
2019-01-02 05:00:00,5.42,5.73,5.0,5.4,248409.0
2019-01-03 05:00:00,5.34,5.4,5.0,5.25,250692.0
2019-01-04 05:00:00,5.11,5.5,4.93,5.39,455609.0
2019-01-07 05:00:00,5.34,6.2499,5.34,5.9,424464.0
2019-01-08 05:00:00,6.0,6.2,5.91,6.1,586691.0
2019-01-09 05:00:00,6.1,6.24,5.67,6.0,428209.0
2019-01-10 05:00:00,6.01,6.75,5.8,6.48,604347.0
2019-01-11 05:00:00,6.5,6.56,5.98,6.05,349461.0
2019-01-14 05:00:00,6.03,6.1021,5.75,5.95,170637.0
2019-01-15 05:00:00,5.95,6.31,5.84,5.9,208326.0
2019-01-16 05:00:00,6.0,6.0,5.5,5.78,248296.0
2019-01-17 05:00:00,5.7,5.93,5.7,5.76,153484.0
2019-01-18 05:00:00,5.77,5.92,5.69,5.8,295619.0
2019-01-22 05:00:00,5.77,5.95,5.58,5.77,200158.0
2019-01-23 05:00:00,5.77,6.19,5.7,6.19,296861.0
2019-01-24 05:00:00,6.21,6.65,6.02,6.14,513723.0
2019-01-25 05:00:00,6.14,6.3387,5.9801,6.28,227505.0
2019-01-28 05:00:00,6.26,6.5,6.0959,6.16,162749.0
2019-01-29 05:00:00,6.19,6.48,6.05,6.09,294341.0
2019-01-30 05:00:00,6.14,6.1974,5.85,6.0,352340.0
2019-01-31 05:00:00,5.95,6.24,5.93,5.96,183872.0
2019-02-01 05:00:00,5.94,6.29,5.7,6.23,162626.0
2019-02-04 05:00:00,6.12,6.32,6.07,6.27,134040.0
2019-02-05 05:00:00,6.27,6.33,5.98,6.18,155102.0
2019-02-06 05:00:00,6.2,6.2,5.92,6.17,75046.0
2019-02-07 05:00:00,6.09,6.26,5.95,6.21,121243.0
2019-02-08 05:00:00,6.22,6.32,5.84,6.07,204952.0
2019-02-11 05:00:00,6.05,6.29,5.95,6.23,82540.0
2019-02-12 05:00:00,6.22,6.25,6.07,6.16,54668.0
2019-02-13 05:00:00,6.2,6.21,5.87,6.16,149605.0
2019-02-14 05:00:00,6.1,6.25,6.06,6.14,77346.0
2019-02-15 05:00:00,6.16,6.4,6.1207,6.16,257122.0
2019-02-19 05:00:00,6.16,6.3,6.07,6.3,175739.0
2019-02-20 05:00:00,6.31,6.89,6.2886,6.68,680237.0
2019-02-21 05:00:00,6.8,6.96,6.26,6.31,390460.0
2019-02-22 05:00:00,6.31,6.82,6.31,6.76,302999.0
2019-02-25 05:00:00,6.8,7.06,6.56,6.88,228896.0
2019-02-26 05:00:00,6.88,7.05,6.65,6.97,120077.0
2019-02-27 05:00:00,6.97,7.16,6.81,7.1,185477.0
2019-02-28 05:00:00,7.11,7.2,6.83,6.94,177890.0
2019-03-01 05:00:00,6.99,7.08,6.8,6.86,139439.0
2019-03-04 05:00:00,6.91,7.2,6.8,6.93,274719.0
2019-03-05 05:00:00,6.93,6.99,6.69,6.93,147867.0
2019-03-06 05:00:00,6.91,6.99,6.35,6.56,241677.0
2019-03-07 05:00:00,6.54,6.83,6.48,6.64,132422.0
2019-03-08 05:00:00,6.63,6.63,5.87,6.56,249282.0
2019-03-11 04:00:00,6.55,6.8,6.425,6.54,113488.0
2019-03-12 04:00:00,6.72,6.92,6.5,6.81,229006.0
2019-03-13 04:00:00,6.92,6.92,5.01,6.05,1085666.0
2019-03-14 04:00:00,6.03,6.05,4.99,5.46,775984.0
2019-03-15 04:00:00,5.38,5.47,5.13,5.21,418176.0
2019-03-18 04:00:00,5.23,5.6499,5.19,5.56,286084.0
2019-03-19 04:00:00,5.58,5.94,5.51,5.54,271044.0
2019-03-20 04:00:00,5.55,5.74,5.3677,5.45,212806.0
2019-03-21 04:00:00,5.37,5.66,5.31,5.45,146726.0
2019-03-22 04:00:00,5.45,5.45,5.26,5.31,131877.0
2019-03-25 04:00:00,5.26,5.31,4.99,5.1,166046.0
2019-03-26 04:00:00,5.1,5.16,4.84,5.0,268128.0
2019-03-27 04:00:00,4.97,5.09,4.47,4.75,392410.0
2019-03-28 04:00:00,4.68,5.06,4.68,4.79,585474.0
2019-03-29 04:00:00,4.73,5.15,4.73,4.98,245928.0
2019-04-01 04:00:00,5.01,5.07,4.65,4.66,173821.0
2019-04-02 04:00:00,4.67,4.85,4.67,4.8,182230.0
2019-04-03 04:00:00,4.78,4.83,4.6,4.66,257910.0
2019-04-04 04:00:00,4.67,4.75,4.5,4.5,179592.0
2019-04-05 04:00:00,4.5,4.68,4.4302,4.55,195549.0
2019-04-08 04:00:00,4.52,4.52,4.25,4.4,319944.0
2019-04-09 04:00:00,4.39,4.46,4.15,4.37,194096.0
2019-04-10 04:00:00,4.38,4.69,4.38,4.47,114216.0
2019-04-11 04:00:00,4.48,4.64,4.4,4.57,140329.0
2019-04-12 04:00:00,4.55,4.65,4.35,4.37,198897.0
2019-04-15 04:00:00,4.37,4.4,4.1,4.2,193827.0
2019-04-16 04:00:00,4.21,4.44,4.16,4.31,123698.0
2019-04-17 04:00:00,4.31,4.5,4.18,4.4,195657.0
2019-04-18 04:00:00,4.36,4.57,4.2137,4.48,165187.0
2019-04-22 04:00:00,4.48,4.5895,4.32,4.5,118536.0
2019-04-23 04:00:00,4.63,4.91,4.435,4.73,190164.0
2019-04-24 04:00:00,4.73,4.9,4.62,4.8,117101.0
2019-04-25 04:00:00,4.81,5.08,4.75,4.83,135907.0
2019-04-26 04:00:00,4.85,4.96,4.78,4.9,79565.0
2019-04-29 04:00:00,4.9,5.03,4.78,4.85,192100.0
2019-04-30 04:00:00,4.85,5.0,4.655,4.66,258100.0
2019-05-01 04:00:00,4.66,4.69,4.49,4.55,101155.0
2019-05-02 04:00:00,4.85,4.85,4.43,4.55,43237.0
2019-05-03 04:00:00,4.5784,4.78,4.45,4.55,79127.0
2019-05-06 04:00:00,4.44,4.79,4.41,4.7,66144.0
2019-05-07 04:00:00,4.71,4.71,4.45,4.49,83834.0
2019-05-08 04:00:00,4.52,4.62,4.3,4.55,318675.0
2019-05-09 04:00:00,4.53,4.63,4.4503,4.63,129560.0
2019-05-10 04:00:00,5.27,5.27,4.77,5.01,314419.0
2019-05-13 04:00:00,4.9,5.29,4.75,5.27,155834.0
2019-05-14 04:00:00,5.19,5.5,5.1,5.3,304923.0
2019-05-15 04:00:00,5.32,5.75,5.28,5.72,153035.0
2019-05-16 04:00:00,5.79,5.95,5.6901,5.86,204476.0
2019-05-17 04:00:00,6.43,6.7,5.88,6.11,1078519.0
2019-05-20 04:00:00,6.1,6.7,6.0,6.57,397280.0
2019-05-21 04:00:00,6.58,6.65,6.19,6.26,299927.0
2019-05-22 04:00:00,6.3,6.45,6.11,6.28,193539.0
2019-05-23 04:00:00,6.29,6.34,6.1,6.31,151289.0
2019-05-24 04:00:00,6.33,6.65,6.2158,6.26,209882.0
2019-05-28 04:00:00,6.26,6.55,6.21,6.4,222314.0
2019-05-29 04:00:00,6.38,6.53,6.16,6.47,167005.0
2019-05-30 04:00:00,6.5,6.68,6.25,6.38,363943.0
