date,open,high,low,close,volume
2015-05-26 04:00:00,20.12,20.17,19.91,20.02,7059460.0
2015-05-27 04:00:00,20.05,20.24,19.96,20.18,4858251.0
2015-05-28 04:00:00,20.23,20.23,19.99,20.09,3712039.0
2015-05-29 04:00:00,20.06,20.17,19.89,19.92,12653845.0
2015-06-01 04:00:00,19.96,20.37,19.91,20.27,5978324.0
2015-06-02 04:00:00,20.21,20.28,20.07,20.23,4377542.0
2015-06-03 04:00:00,20.22,20.36,20.06,20.1,5696283.0
2015-06-04 04:00:00,20.03,20.12,19.85,19.87,6451933.0
2015-06-05 04:00:00,19.71,19.8,19.48,19.57,6554864.0
2015-06-08 04:00:00,19.6,19.66,19.38,19.4,4906154.0
2015-06-09 04:00:00,19.47,19.65,19.38,19.43,5959149.0
2015-06-10 04:00:00,19.44,19.8,19.44,19.56,8459941.0
2015-06-11 04:00:00,19.69,19.83,19.65,19.71,4569493.0
2015-06-12 04:00:00,20.09,20.3,19.855,19.92,7374234.0
2015-06-15 04:00:00,19.75,19.89,19.66,19.71,7149639.0
2015-06-16 04:00:00,19.74,19.95,19.64,19.95,5387017.0
2015-06-17 04:00:00,19.94,20.135,19.84,20.11,11051564.0
2015-06-18 04:00:00,20.18,20.59,20.02,20.52,10217163.0
2015-06-19 04:00:00,20.45,20.52,20.23,20.41,9369846.0
2015-06-22 04:00:00,20.51,20.69,20.46,20.47,11016767.0
2015-06-23 04:00:00,20.41,20.47,20.13,20.29,5966113.0
2015-06-24 04:00:00,20.3,20.88,20.25,20.73,19191961.0
2015-06-25 04:00:00,20.73,20.78,20.3,20.3,9759355.0
2015-06-26 04:00:00,20.12,20.36,19.96,20.14,8204075.0
2015-06-29 04:00:00,20.05,20.25,19.54,19.56,8334461.0
2015-06-30 04:00:00,19.71,19.89,19.38,19.83,9626636.0
2015-07-01 04:00:00,20.64,20.95,19.84,20.4,9123140.0
2015-07-02 04:00:00,20.53,20.82,20.46,20.51,7557179.0
2015-07-06 04:00:00,20.4,20.76,20.27,20.56,6887530.0
2015-07-07 04:00:00,20.65,21.05,20.6,20.94,8606585.0
2015-07-08 04:00:00,20.82,20.93,20.62,20.65,5467149.0
2015-07-09 04:00:00,20.83,20.91,20.54,20.56,4670385.0
2015-07-10 04:00:00,20.74,20.86,20.59,20.65,5089141.0
2015-07-13 04:00:00,20.87,21.0,20.62,20.76,4552975.0
2015-07-14 04:00:00,20.87,20.99,20.64,20.91,3654950.0
2015-07-15 04:00:00,20.9,21.15,20.83,21.09,4415243.0
2015-07-16 04:00:00,21.2,21.4015,21.11,21.29,5339758.0
2015-07-17 04:00:00,21.29,21.36,21.1,21.2,3376088.0
2015-07-20 04:00:00,21.18,21.25,21.045,21.13,2718508.0
2015-07-21 04:00:00,21.08,21.16,20.88,20.93,4279285.0
2015-07-22 04:00:00,20.96,21.09,20.86,20.9,4509721.0
2015-07-23 04:00:00,20.83,20.83,20.04,20.16,14570429.0
2015-07-24 04:00:00,20.1,20.125,19.46,19.73,10741992.0
2015-07-27 04:00:00,19.69,19.89,19.6,19.71,10480939.0
2015-07-28 04:00:00,19.82,20.16,19.76,20.06,8593866.0
2015-07-29 04:00:00,20.05,20.44,19.93,20.43,12468356.0
