date,open,high,low,close,volume
2015-05-26 04:00:00,8.97,9.0,8.77,8.99,51155.0
2015-05-27 04:00:00,8.97,9.11,8.9176,9.09,19436.0
2015-05-28 04:00:00,9.11,9.11,8.98,9.07,41400.0
2015-05-29 04:00:00,9.02,9.09,8.91,9.02,51466.0
2015-06-01 04:00:00,9.05,9.05,8.81,8.91,16264.0
2015-06-02 04:00:00,8.87,9.04,8.87,8.94,10992.0
2015-06-03 04:00:00,9.0,9.04,8.88,9.02,405765.0
2015-06-04 04:00:00,9.0,9.03,8.98,9.0,202886.0
2015-06-05 04:00:00,9.01,9.12,8.98,9.12,25321.0
2015-06-08 04:00:00,9.15,9.25,9.14,9.24,27636.0
2015-06-09 04:00:00,9.21,9.25,9.18,9.24,17759.0
2015-06-10 04:00:00,9.25,9.37,9.25,9.33,54499.0
2015-06-11 04:00:00,9.29,9.3562,9.24,9.34,14187.0
2015-06-12 04:00:00,9.29,9.55,9.15,9.46,31333.0
2015-06-15 04:00:00,9.41,9.44,9.15,9.15,53854.0
2015-06-16 04:00:00,9.2,9.4,9.19,9.29,50208.0
2015-06-17 04:00:00,9.34,9.34,9.24,9.25,26120.0
2015-06-18 04:00:00,9.25,9.5,9.25,9.49,82193.0
2015-06-19 04:00:00,9.49,9.64,9.46,9.62,76540.0
2015-06-22 04:00:00,9.66,9.7,9.63,9.65,47383.0
2015-06-23 04:00:00,9.65,9.71,9.57,9.64,55516.0
2015-06-24 04:00:00,9.59,9.78,9.59,9.75,37556.0
2015-06-25 04:00:00,9.78,9.87,9.68,9.73,113184.0
2015-06-26 04:00:00,9.78,9.79,9.7,9.75,131453.0
2015-06-29 04:00:00,9.75,9.7641,9.54,9.55,35684.0
2015-06-30 04:00:00,9.57,9.67,9.517,9.61,20951.0
2015-07-01 04:00:00,9.61,9.66,9.54,9.66,42095.0
2015-07-02 04:00:00,9.69,9.69,9.48,9.48,39311.0
2015-07-06 04:00:00,9.4,9.4999,9.3001,9.45,36807.0
2015-07-07 04:00:00,9.42,9.57,9.32,9.53,44049.0
2015-07-08 04:00:00,9.53,9.59,9.42,9.54,32636.0
2015-07-09 04:00:00,9.67,9.7,9.6,9.63,33108.0
2015-07-10 04:00:00,9.7,9.85,9.69,9.8,37171.0
2015-07-13 04:00:00,9.8,9.85,9.78,9.79,32722.0
2015-07-14 04:00:00,9.74,9.84,9.71,9.82,75938.0
2015-07-15 04:00:00,9.74,9.97,9.74,9.92,109446.0
