date,open,high,low,close,volume
2024-10-18 04:00:00,6.44,7.93,5.6101,6.3,216184.0
2024-10-21 04:00:00,6.0,6.2324,4.8556,5.53,178737.0
2024-10-22 04:00:00,5.15,5.51,4.7601,5.252862,176255.0
2024-10-23 04:00:00,4.95,5.1,4.85,5.09,126727.0
2024-10-24 04:00:00,5.05,5.05,4.5,4.55,118341.0
2024-10-25 04:00:00,4.5,5.205,4.5,4.6101,125327.0
2024-10-28 04:00:00,4.61,5.33,4.61,5.24,88406.0
2024-10-29 04:00:00,5.2,5.31,4.9,5.06,61008.0
2024-10-30 04:00:00,5.17,6.1797,5.03,6.09,74513.0
2024-10-31 04:00:00,6.14,6.2,5.68,5.69,66895.0
2024-11-01 04:00:00,5.69,6.16,5.58,6.09,57043.0
2024-11-04 05:00:00,6.0,6.0,5.35,5.48,42885.0
2024-11-05 05:00:00,4.89,5.0328,4.75,4.98,128801.0
2024-11-06 05:00:00,4.94,5.48,4.87,5.27,43216.0
2024-11-07 05:00:00,4.94,5.4,4.94,5.27,44215.0
2024-11-08 05:00:00,5.21,5.265,4.9,4.92,47403.0
2024-11-11 05:00:00,4.95,5.24,4.9,5.04,54005.0
2024-11-12 05:00:00,4.91,5.2,4.63,4.94,50212.0
2024-11-13 05:00:00,4.94,5.05,4.4,4.94,86274.0
2024-11-14 05:00:00,4.7533,4.97,4.75,4.9,99451.0
2024-11-15 05:00:00,4.84,4.84,4.47,4.7,38203.0
2024-11-18 05:00:00,4.57,4.62,3.46,3.5,155324.0
2024-11-19 05:00:00,3.42,3.46,2.92,3.02,160950.0
2024-11-20 05:00:00,3.0,3.36,2.93,3.29,84030.0
2024-11-21 05:00:00,3.46,3.46,2.99,3.35,53807.0
2024-11-22 05:00:00,3.47,3.77,3.265,3.76,55195.0
2024-11-25 05:00:00,4.15,4.26,3.33,3.36,80869.0
2024-11-26 05:00:00,3.34,3.66,3.32,3.49,100475.0
2024-11-27 05:00:00,4.0,5.6499,3.96,5.05,3456380.0
2024-11-29 05:00:00,5.51,6.99,5.32,6.56,1878249.0
2024-12-02 05:00:00,6.84,7.2,5.351,5.54,1255898.0
2024-12-03 05:00:00,5.83,5.83,5.38,5.56,361240.0
2024-12-04 05:00:00,5.95,6.44,5.44,6.28,899722.0
2024-12-05 05:00:00,6.4,6.4,5.7,6.06,387327.0
2024-12-06 05:00:00,6.15,6.68,5.86,6.68,745231.0
2024-12-09 05:00:00,6.72,6.9,5.75,5.93,566060.0
2024-12-10 05:00:00,6.1,6.1,5.75,5.93,205564.0
2024-12-11 05:00:00,5.86,6.1087,5.56,5.84,280312.0
2024-12-12 05:00:00,5.89,5.99,5.2477,5.38,251032.0
2024-12-13 05:00:00,5.4,5.6084,4.7801,4.93,309631.0
2024-12-16 05:00:00,4.98,5.05,3.9,4.14,552096.0
2024-12-17 05:00:00,4.14,4.88,4.13,4.38,264108.0
2024-12-18 05:00:00,4.39,4.5,3.89,4.02,263876.0
2024-12-19 05:00:00,4.09,4.55,4.0,4.0,161530.0
2024-12-20 05:00:00,4.07,4.55,3.8,4.48,1294289.0
2024-12-23 05:00:00,4.32,4.3592,4.07,4.15,128640.0
2024-12-24 05:00:00,4.14,4.5478,4.1056,4.45,133570.0
2024-12-26 05:00:00,4.12,4.58,4.12,4.55,202033.0
2024-12-27 05:00:00,4.62,4.72,4.23,4.41,134329.0
2024-12-30 05:00:00,4.23,4.35,4.05,4.25,200298.0
2024-12-31 05:00:00,4.2,4.35,3.975,4.09,138450.0
2025-01-02 05:00:00,4.1,4.27,3.95,4.11,139152.0
2025-01-03 05:00:00,4.01,4.49,3.8113,4.49,227350.0
2025-01-06 05:00:00,4.59,4.78,4.12,4.16,247080.0
2025-01-07 05:00:00,4.17,4.6,4.17,4.53,97787.0
2025-01-08 05:00:00,4.52,4.72,4.13,4.17,196624.0
2025-01-10 05:00:00,4.53,5.5,4.23,4.85,847666.0
2025-01-13 05:00:00,4.88,4.9933,4.26,4.31,244529.0
2025-01-14 05:00:00,4.41,4.88,4.28,4.59,215005.0
2025-01-15 05:00:00,4.66,4.9033,4.5,4.78,133341.0
2025-01-16 05:00:00,4.69,4.8,4.5009,4.73,127634.0
2025-01-17 05:00:00,4.66,5.1393,4.5959,4.79,115781.0
2025-01-21 05:00:00,4.89,4.99,4.67,4.76,178329.0
2025-01-22 05:00:00,4.7,4.95,4.6017,4.77,111723.0
2025-01-23 05:00:00,4.68,4.76,4.41,4.62,122899.0
2025-01-24 05:00:00,4.66,4.7,4.36,4.36,61551.0
2025-01-27 05:00:00,4.35,4.55,4.1,4.18,91458.0
2025-01-28 05:00:00,4.21,4.35,4.05,4.31,84472.0
2025-01-29 05:00:00,4.67,5.15,4.5601,5.05,711906.0
2025-01-30 05:00:00,5.16,5.27,4.66,4.92,321868.0
2025-01-31 05:00:00,5.0,5.0,4.68,4.99,258876.0
2025-02-03 05:00:00,4.85,4.97,4.58,4.85,193538.0
2025-02-04 05:00:00,4.85,5.025,4.73,4.88,160798.0
2025-02-05 05:00:00,4.92,4.92,4.44,4.48,195348.0
2025-02-06 05:00:00,4.5,4.63,4.35,4.46,185947.0
2025-02-07 05:00:00,4.47,4.47,4.2,4.27,173305.0
2025-02-10 05:00:00,4.29,4.54,4.21,4.44,166253.0
2025-02-11 05:00:00,4.5,4.58,4.35,4.48,170363.0
2025-02-12 05:00:00,4.63,4.64,4.3,4.55,145030.0
2025-02-13 05:00:00,4.61,4.77,4.51,4.58,139641.0
2025-02-14 05:00:00,4.52,4.63,4.17,4.19,198270.0
2025-02-18 05:00:00,4.1,4.24,3.6002,3.65,445688.0
2025-02-19 05:00:00,3.63,3.63,3.1628,3.18,296270.0
2025-02-20 05:00:00,3.34,3.5767,3.235,3.3,201673.0
2025-02-21 05:00:00,3.36,3.5622,3.31,3.33,127593.0
2025-02-24 05:00:00,3.32,3.4585,2.88,2.9,270867.0
2025-02-25 05:00:00,2.93,3.0027,2.42,2.45,278701.0
2025-02-26 05:00:00,2.53,2.8524,2.53,2.67,94410.0
2025-02-27 05:00:00,2.73,2.8694,2.47,2.52,82216.0
2025-02-28 05:00:00,2.46,2.52,2.31,2.41,114209.0
2025-03-03 05:00:00,2.7,2.76,2.16,2.16,205259.0
2025-03-04 05:00:00,2.16,2.19,2.0001,2.07,156548.0
2025-03-05 05:00:00,2.09,2.14,1.89,2.11,159393.0
2025-03-06 05:00:00,2.08,2.12,1.93,2.04,113436.0
2025-03-07 05:00:00,2.03,2.1493,1.97,2.09,66625.0
2025-03-10 04:00:00,2.12,2.19,1.8,1.88,166242.0
2025-03-11 04:00:00,1.86,2.1672,1.85,2.12,119380.0
2025-03-12 04:00:00,2.19,2.29,2.03,2.1,81547.0
2025-03-13 04:00:00,2.12,2.12,1.92,1.98,102257.0
2025-03-14 04:00:00,2.0,2.32,2.0,2.28,164265.0
2025-03-17 04:00:00,2.27,2.48,2.1131,2.42,124636.0
2025-03-18 04:00:00,2.485,3.06,2.4359,2.8,341404.0
2025-03-19 04:00:00,2.88,3.85,2.83,3.85,1040333.0
2025-03-20 04:00:00,3.63,4.0,3.33,4.0,726281.0
2025-03-21 04:00:00,3.97,3.97,3.315,3.33,501054.0
2025-03-24 04:00:00,3.29,3.63,3.23,3.59,629926.0
2025-03-25 04:00:00,3.55,3.77,3.25,3.64,421758.0
2025-03-26 04:00:00,3.52,3.669,3.3671,3.56,253142.0
2025-03-27 04:00:00,3.54,3.72,3.53,3.62,114373.0
2025-03-28 04:00:00,3.61,3.61,3.4109,3.53,131227.0
2025-03-31 04:00:00,3.42,3.52,3.18,3.23,187760.0
2025-04-01 04:00:00,3.16,3.37,2.87,2.91,157203.0
2025-04-02 04:00:00,2.93,3.6,2.8994,3.48,212289.0
2025-04-03 04:00:00,3.44,3.49,3.25,3.4,266524.0
2025-04-04 04:00:00,3.31,3.5,3.21,3.38,391919.0
2025-04-07 04:00:00,3.15,3.75,2.93,3.64,268913.0
2025-04-08 04:00:00,3.69,3.875,3.53,3.75,160706.0
2025-04-09 04:00:00,3.53,4.0,3.45,3.94,242769.0
2025-04-10 04:00:00,3.94,3.95,3.65,3.87,129314.0
2025-04-11 04:00:00,3.86,4.25,3.67,4.22,270613.0
2025-04-14 04:00:00,4.1,4.25,3.77,4.2,197056.0
2025-04-15 04:00:00,4.04,4.195,3.96,4.105,166925.0
2025-04-16 04:00:00,4.06,4.2,3.93,4.14,108823.0
2025-04-17 04:00:00,4.17,4.25,3.91,4.15,118034.0
2025-04-21 04:00:00,4.12,4.44,3.91,4.2,167467.0
2025-04-22 04:00:00,4.25,4.25,3.75,4.08,178781.0
2025-04-23 04:00:00,4.2,4.215,4.01,4.2,106866.0
