date,open,high,low,close,volume
2020-06-01 04:00:00,139.2,139.2,115.0,115.0,2294.5
2020-06-02 04:00:00,125.0,125.0,106.35,111.0,2420.0
2020-06-03 04:00:00,112.7,112.9,104.7,106.9,9818.5
2020-06-04 04:00:00,109.4,109.4,100.701,109.0,1548.9
2020-06-05 04:00:00,109.3,110.0,97.798,98.9,1861.5
2020-06-08 04:00:00,99.9,107.148,98.7,98.7,3142.5
2020-06-09 04:00:00,100.8,101.529,92.7,95.9,3380.9
2020-06-10 04:00:00,98.0,102.2,94.3,96.0,2353.3
2020-06-11 04:00:00,96.1,101.1,96.1,97.5,813.3
2020-06-12 04:00:00,95.5,100.2,91.6,92.1,1967.7
2020-06-15 04:00:00,93.9,96.69,93.5,94.1,1108.8
2020-06-16 04:00:00,92.5,94.3,86.1,87.999,1204.2
2020-06-17 04:00:00,88.35,89.95,82.2,85.0,2228.6
2020-06-18 04:00:00,86.8,91.8,86.8,88.9,734.6
2020-06-19 04:00:00,89.0,91.0,85.756,86.5,324.7
2020-06-22 04:00:00,86.2,94.1,86.2,90.35,1646.6
2020-06-23 04:00:00,91.1,100.0,90.0,90.5,1392.2
2020-06-24 04:00:00,82.201,92.5,82.201,90.0,638.0
2020-06-25 04:00:00,91.901,94.87,91.9,94.87,400.1
2020-06-26 04:00:00,95.6,95.75,91.0,94.1,1599.0
2020-06-29 04:00:00,95.599,95.599,88.4,92.0,495.5
2020-06-30 04:00:00,95.0,95.5,93.8,94.5,1613.7
2020-07-01 04:00:00,94.5,95.7,91.201,93.756,485.7
2020-07-02 04:00:00,93.4,95.7,90.42,93.504,2157.5
2020-07-06 04:00:00,86.0,95.7,86.0,91.455,1263.8
2020-07-07 04:00:00,93.1,95.699,92.2,93.85,556.2
2020-07-08 04:00:00,95.0,105.0,94.284,101.0,3234.7
2020-07-09 04:00:00,102.75,104.1,101.65,104.0,1380.5
2020-07-10 04:00:00,102.0,109.9,102.0,109.7,1682.6
2020-07-13 04:00:00,109.6,111.4,107.5,110.8,1551.3
2020-07-14 04:00:00,107.001,109.5,105.2,108.0,1605.8
2020-07-15 04:00:00,109.2,110.45,106.35,110.45,55.1
2020-07-16 04:00:00,107.0,107.0,103.148,106.8,318.5
2020-07-17 04:00:00,101.067,107.2,101.067,107.2,1112.2
2020-07-20 04:00:00,109.55,110.4,109.0,109.9,828.1
2020-07-21 04:00:00,100.0,110.45,100.0,109.95,1653.7
2020-07-22 04:00:00,108.9,115.265,108.9,113.3,2169.0
2020-07-23 04:00:00,125.1,125.1,108.29,112.9,2556.6
2020-07-24 04:00:00,113.9,128.0,110.1,112.0,1554.5
2020-07-27 04:00:00,119.5,122.0,117.0,118.05,5970.3
2020-07-28 04:00:00,117.6,120.0,117.5,118.2,6238.4
2020-07-29 04:00:00,119.1,119.8,118.1,119.8,3504.3
2020-07-30 04:00:00,119.795,129.5,119.795,128.6,1720.4
2020-07-31 04:00:00,130.0,135.0,128.5,132.55,4162.6
2020-08-03 04:00:00,134.1,145.5,134.1,141.65,5769.8
2020-08-04 04:00:00,141.8,145.0,141.8,144.898,3920.2
2020-08-05 04:00:00,147.0,154.2,147.0,154.0,9708.1
2020-08-06 04:00:00,157.7,161.713,151.3,158.2,13390.2
2020-08-07 04:00:00,158.2,158.2,150.4,154.7,8834.2
2020-08-10 04:00:00,137.0,143.91,117.75,125.1,17563.4
2020-08-11 04:00:00,124.2,124.682,99.8,102.1,23930.6
2020-08-12 04:00:00,102.5,110.745,101.0,106.7,15526.4
2020-08-13 04:00:00,109.1,109.1,100.0,100.0,4323.0
2020-08-14 04:00:00,101.622,105.2,101.622,104.4,3295.5
2020-08-17 04:00:00,105.0,115.5,105.0,108.498,5805.4
2020-08-18 04:00:00,109.9,111.9,102.5,103.55,5642.4
2020-08-19 04:00:00,104.6,108.999,97.101,98.5,3770.5
2020-08-20 04:00:00,99.8,104.2,97.001,101.2,2520.4
2020-08-21 04:00:00,101.8,104.0,90.3,102.8,8754.3
2020-08-24 04:00:00,101.2,104.3,94.3,96.8,6886.6
2020-08-25 04:00:00,95.1,103.4,93.001,103.4,2678.8
2020-08-26 04:00:00,100.8,103.0,88.5,90.2,8690.9
2020-08-27 04:00:00,90.9,96.4,90.9,94.4,2853.0
2020-08-28 04:00:00,97.5,98.6,86.3,96.3,7692.6
2020-08-31 04:00:00,98.8,102.9,86.2,88.4,12406.3
2020-09-01 04:00:00,86.0,97.1,86.0,96.0,8526.4
2020-09-02 04:00:00,96.2,97.2,92.2,94.2,4936.6
2020-09-03 04:00:00,92.8,94.8,89.5,93.0,1846.2
2020-09-04 04:00:00,93.0,94.8,88.0,88.3,4452.4
2020-09-08 04:00:00,88.6,104.7,88.5,104.0,29702.1
2020-09-09 04:00:00,103.0,106.2,95.401,102.2,12166.0
2020-09-10 04:00:00,102.1,110.25,102.1,108.3,7938.1
2020-09-11 04:00:00,109.8,112.1,101.1,108.5,6834.2
2020-09-14 04:00:00,109.3,127.3,107.3,123.7,17456.8
2020-09-15 04:00:00,124.0,130.0,123.9,123.9,10620.5
2020-09-16 04:00:00,125.4,131.1,124.0,126.4,17148.8
2020-09-17 04:00:00,123.6,125.8,112.1,117.4,23101.5
2020-09-18 04:00:00,119.5,122.9,114.2,116.0,86659.6
2020-09-21 04:00:00,113.1,121.4,110.9,121.4,9759.3
2020-09-22 04:00:00,119.6,126.2,119.6,124.6,10592.5
2020-09-23 04:00:00,122.5,127.5,120.6,126.5,4632.9
2020-09-24 04:00:00,124.1,124.1,120.0,121.6,4950.7
2020-09-25 04:00:00,121.6,122.0,102.3,109.0,23358.0
2020-09-28 04:00:00,110.0,113.75,106.0,111.6,3841.9
2020-09-29 04:00:00,100.2,104.2,95.0,96.0,20354.1
2020-09-30 04:00:00,97.5,106.4,96.423,105.1,13416.5
2020-10-01 04:00:00,99.0,101.8,88.65,90.4,61967.0
2020-10-02 04:00:00,80.0,80.5,75.2,75.8,183811.4
2020-10-05 04:00:00,77.1,79.0,75.0,76.0,23895.6
2020-10-06 04:00:00,76.2,77.3,68.0,69.1,44566.4
2020-10-07 04:00:00,70.3,73.8,68.4,71.5,21736.0
2020-10-08 04:00:00,71.0,72.7,70.2,72.5,7252.8
2020-10-09 04:00:00,72.3,75.8,72.3,75.4,16195.6
2020-10-12 04:00:00,75.0,76.0,71.2,73.4,6019.6
2020-10-13 04:00:00,72.3,73.7,70.7,72.5,6557.9
2020-10-14 04:00:00,72.6,75.8,71.2,74.8,12218.6
2020-10-15 04:00:00,73.0,75.3,71.5,75.3,3599.6
2020-10-16 04:00:00,75.8,80.93,74.1,79.9,40439.1
2020-10-19 04:00:00,79.5,79.9,76.6,76.7,7910.0
2020-10-20 04:00:00,77.7,77.7,75.0,75.8,4885.0
2020-10-21 04:00:00,75.8,77.8,75.2,77.0,8025.9
2020-10-22 04:00:00,77.7,81.4,74.1,77.5,13035.5
2020-10-23 04:00:00,78.1,87.0,78.1,83.2,23550.0
2020-10-26 04:00:00,83.2,84.9,80.0,80.6,6356.4
2020-10-27 04:00:00,81.1,82.7,77.101,80.4,6497.2
2020-10-28 04:00:00,78.2,80.099,74.1,78.2,6223.6
2020-10-29 04:00:00,78.3,79.4,75.9,78.2,8321.1
2020-10-30 04:00:00,78.6,82.0,75.35,81.7,8805.2
2020-11-02 05:00:00,82.9,82.9,77.6,82.2,5709.1
2020-11-03 05:00:00,82.5,83.8,78.5,78.8,7914.3
2020-11-04 05:00:00,78.7,79.78,75.0,77.2,6946.9
2020-11-05 05:00:00,77.6,82.8,77.6,81.7,6192.7
2020-11-06 05:00:00,81.9,84.1,80.0,81.5,15078.5
2020-11-09 05:00:00,79.0,79.2,75.901,77.3,13128.0
2020-11-10 05:00:00,77.0,79.2,76.9,77.3,2685.5
2020-11-11 05:00:00,77.0,78.527,76.5,77.5,5579.0
2020-11-12 05:00:00,77.4,77.999,75.8,77.3,5213.9
2020-11-13 05:00:00,77.4,78.499,77.15,78.0,6500.0
2020-11-16 05:00:00,78.1,80.6,78.1,79.3,3334.3
2020-11-17 05:00:00,79.1,80.91,76.233,78.5,3256.1
2020-11-18 05:00:00,78.0,79.65,77.1,78.0,4874.6
2020-11-19 05:00:00,77.4,79.5,75.9,77.5,6522.5
2020-11-20 05:00:00,77.5,81.9,77.5,77.6,16981.7
2020-11-23 05:00:00,77.4,80.4,76.9,78.2,4721.9
2020-11-24 05:00:00,77.1,79.1,75.3,77.0,12776.0
2020-11-25 05:00:00,77.787,77.9,76.5,77.9,2896.0
2020-11-27 05:00:00,78.5,79.0,76.3,76.3,6840.7
2020-11-30 05:00:00,77.5,78.3,76.0,78.0,7297.0
2020-12-01 05:00:00,78.7,78.7,75.5,76.1,16362.2
