date,open,high,low,close,volume
2016-01-21 05:00:00,50.49,52.81,48.05,50.9,607681.0
2016-01-22 05:00:00,51.87,53.49,51.362,53.44,1415796.0
2016-01-25 05:00:00,53.09,53.75,51.14,51.26,1122647.0
2016-01-26 05:00:00,51.39,52.29,50.79,51.69,474118.0
2016-01-27 05:00:00,51.41,52.14,49.98,51.5,607941.0
2016-01-28 05:00:00,52.04,52.52,50.16,50.5,619060.0
2016-01-29 05:00:00,50.95,52.01,50.65,51.94,1094867.0
2016-02-01 05:00:00,51.35,52.24,51.1,51.95,969639.0
2016-02-02 05:00:00,51.94,51.94,49.84,50.87,1376198.0
2016-02-03 05:00:00,47.52,47.7,42.79,45.78,6308420.0
2016-02-04 05:00:00,44.57,45.62,44.57,45.2,1648784.0
2016-02-05 05:00:00,44.81,45.0,42.61,42.73,1749074.0
2016-02-08 05:00:00,42.0,42.7,39.47,40.67,1892943.0
2016-02-09 05:00:00,38.82,41.91,38.82,40.42,1615780.0
2016-02-10 05:00:00,40.02,41.85,40.02,40.37,825725.0
2016-02-11 05:00:00,39.64,40.6,39.015,39.96,1180667.0
2016-02-12 05:00:00,41.14,42.39,40.83,41.49,1573202.0
2016-02-16 05:00:00,42.49,43.96,41.735,43.15,1093192.0
2016-02-17 05:00:00,43.01,44.654,42.71,43.92,1005567.0
2016-02-18 05:00:00,44.01,44.52,43.795,44.3,862749.0
2016-02-19 05:00:00,44.15,44.73,43.785,44.26,796183.0
2016-02-22 05:00:00,44.39,45.57,44.28,45.22,965255.0
2016-02-23 05:00:00,45.07,45.07,43.96,44.06,517873.0
2016-02-24 05:00:00,43.71,44.84,43.1,44.65,590366.0
2016-02-25 05:00:00,44.66,44.995,43.88,44.31,479962.0
2016-02-26 05:00:00,44.3,44.9,43.8734,44.37,511414.0
2016-02-29 05:00:00,45.0,45.58,44.15,44.42,949808.0
2016-03-01 05:00:00,45.06,45.89,44.8,45.74,1133385.0
2016-03-02 05:00:00,45.54,47.39,45.22,47.17,1439007.0
2016-03-03 05:00:00,47.39,47.66,46.05,47.31,638172.0
2016-03-04 05:00:00,47.41,48.82,46.025,47.74,818756.0
2016-03-07 05:00:00,47.7,48.42,47.005,47.34,778933.0
2016-03-08 05:00:00,47.09,47.45,45.1351,46.96,545839.0
2016-03-09 05:00:00,46.99,47.07,45.96,46.06,553010.0
2016-03-10 05:00:00,46.21,46.7,45.03,45.56,517466.0
2016-03-11 05:00:00,45.09,47.21,45.0,46.75,742726.0
2016-03-14 04:00:00,46.87,47.32,46.135,46.77,400650.0
2016-03-15 04:00:00,46.53,47.28,45.58,45.85,825099.0
2016-03-16 04:00:00,45.56,47.15,45.49,47.07,907563.0
2016-03-17 04:00:00,47.08,47.54,46.66,47.43,523122.0
2016-03-18 04:00:00,47.01,47.78,46.83,47.07,795913.0
2016-03-21 04:00:00,47.16,47.43,46.68,47.03,382765.0
2016-03-22 04:00:00,46.87,47.02,46.21,46.73,595320.0
2016-03-23 04:00:00,46.59,46.93,45.52,45.63,461151.0
2016-03-24 04:00:00,45.86,46.5,45.02,45.71,619043.0
2016-03-28 04:00:00,45.9,46.05,45.2501,45.61,397702.0
2016-03-29 04:00:00,45.47,46.085,45.0,45.85,1284867.0
2016-03-30 04:00:00,46.1,46.69,45.91,46.17,631791.0
2016-03-31 04:00:00,46.06,47.4,45.37,47.08,754746.0
2016-04-01 04:00:00,46.51,46.99,45.895,46.63,728668.0
2016-04-04 04:00:00,46.53,47.2899,46.14,46.2,454030.0
2016-04-05 04:00:00,45.9,45.9,45.37,45.58,497172.0
2016-04-06 04:00:00,45.41,46.57,45.4,46.37,495623.0
2016-04-07 04:00:00,45.98,46.59,45.7001,45.78,772754.0
2016-04-08 04:00:00,46.17,47.81,45.91,46.84,1122962.0
2016-04-11 04:00:00,46.67,48.0,46.55,46.55,542719.0
2016-04-12 04:00:00,46.62,46.91,46.35,46.51,799151.0
2016-04-13 04:00:00,46.88,47.55,46.4627,47.41,455710.0
2016-04-14 04:00:00,47.52,47.85,46.93,47.43,371965.0
2016-04-15 04:00:00,47.5,47.795,46.8,47.43,487279.0
2016-04-18 04:00:00,47.43,47.66,46.92,47.49,554938.0
