date,open,high,low,close,volume
2021-12-31 05:00:00,2.2,2.202,2.2,2.202,1040.0
2022-01-03 05:00:00,2.3,2.35,2.3,2.318,515.4
2022-01-04 05:00:00,2.202,2.27,2.1536,2.1536,4586.1
2022-01-05 05:00:00,2.2,2.2,2.048,2.048,1812.9
2022-01-06 05:00:00,2.04,2.2,2.04,2.2,1554.5
2022-01-07 05:00:00,2.218,2.218,2.2,2.2,73.95
2022-01-10 05:00:00,2.04,2.1,1.9,2.1,7607.35
2022-01-11 05:00:00,2.094,2.094,1.212,2.0417,5035.4
2022-01-12 05:00:00,1.7,2.048,1.7,1.9305,4457.85
2022-01-13 05:00:00,1.905,2.1,1.905,2.1,1350.0
2022-01-14 05:00:00,2.2,2.2,2.1,2.1,1882.2
2022-01-18 05:00:00,2.1,2.1,1.735,1.95,9373.65
2022-01-19 05:00:00,2.0,2.049,1.635,1.95,9000.9
2022-01-20 05:00:00,1.9921,2.0,1.7801,1.7801,10550.0
2022-01-21 05:00:00,1.8,2.0,1.632,2.0,10960.0
2022-01-24 05:00:00,2.0,2.1,1.602,2.0,19426.85
2022-01-25 05:00:00,2.0,2.0,1.916,2.0,5277.5
2022-01-26 05:00:00,2.0,2.0,1.804,2.0,1730.0
2022-01-27 05:00:00,2.0,2.0,1.901,1.901,60.0
2022-01-28 05:00:00,1.9,2.0,1.8,2.0,5587.5
2022-01-31 05:00:00,1.8,2.0,1.646,1.6973,30740.5
2022-02-01 05:00:00,1.62,1.9,1.6,1.618,26438.75
2022-02-02 05:00:00,1.758,1.78,1.524,1.64,12340.0
2022-02-03 05:00:00,1.6,1.6,1.506,1.6,7455.25
2022-02-04 05:00:00,1.7,1.7,1.6,1.611,5310.0
2022-02-07 05:00:00,1.6,1.6,1.551,1.551,10350.0
2022-02-08 05:00:00,1.64,1.64,1.51,1.599,2836.25
2022-02-09 05:00:00,1.619,1.9,1.619,1.7553,24930.5
2022-02-10 05:00:00,1.7318,1.7318,1.7318,1.7318,107.0
2022-02-11 05:00:00,1.852,1.852,1.702,1.702,920.7
2022-02-14 05:00:00,1.644,1.644,1.64,1.64,3750.0
2022-02-15 05:00:00,1.68,1.9,1.66,1.9,2797.0
2022-02-16 05:00:00,1.9,1.9,1.9,1.9,35.5
2022-02-17 05:00:00,1.88,1.88,1.7,1.7,170.0
2022-02-18 05:00:00,1.64,1.8,1.64,1.8,4138.65
2022-02-22 05:00:00,2.0,2.0,1.51,1.51,12002.55
2022-02-23 05:00:00,1.79,1.794,1.522,1.661,1541.65
2022-02-24 05:00:00,1.674,1.674,1.674,1.674,55.0
2022-02-25 05:00:00,1.674,1.8,1.655,1.655,2495.65
2022-02-28 05:00:00,1.8,1.8,1.728,1.8,608.7
2022-03-01 05:00:00,1.8,1.8,1.8,1.8,65.0
2022-03-02 05:00:00,1.656,1.656,1.53,1.5636,15147.5
2022-03-03 05:00:00,1.8,1.8,1.305,1.4795,11477.75
2022-03-04 05:00:00,1.48,1.48,1.48,1.48,500.0
2022-03-07 05:00:00,2.0,2.18,1.6,1.8,7940.15
2022-03-08 05:00:00,1.6,2.0,1.6,1.8,17495.0
2022-03-09 05:00:00,1.6,1.7,1.48,1.6,8225.0
2022-03-10 05:00:00,1.6,1.6,1.6,1.6,4492.6
2022-03-11 05:00:00,1.6,1.696,1.275,1.3917,32963.6
2022-03-14 04:00:00,1.6,1.6,1.441,1.5,1796.2
2022-03-15 04:00:00,1.6,1.6,1.52,1.52,5050.0
2022-03-16 04:00:00,1.6,1.6,1.6,1.6,7168.75
2022-03-17 04:00:00,1.65,1.72,1.65,1.72,1062.55
2022-03-18 04:00:00,1.8,2.08,1.64,1.64,23802.2
2022-03-21 04:00:00,1.64,1.766,1.5264,1.696,2434.4
2022-03-22 04:00:00,1.696,1.8,1.625,1.8,6231.55
2022-03-23 04:00:00,2.178,2.178,1.962,1.98,2431.25
2022-03-24 04:00:00,1.976,1.976,1.96,1.96,335.75
2022-03-25 04:00:00,2.0,2.178,1.8,1.8,17815.0
2022-03-28 04:00:00,1.892,2.18,1.892,1.9501,24373.95
2022-03-29 04:00:00,2.18,2.2,1.66,1.8,23057.35
2022-03-30 04:00:00,1.66,1.92,1.4983,1.6,30322.3
2022-03-31 04:00:00,1.6,1.682,1.446,1.526,5219.8
2022-04-01 04:00:00,1.614,1.9,1.614,1.9,2337.45
2022-04-04 04:00:00,1.9,1.994,1.42,1.5645,26046.0
2022-04-05 04:00:00,1.41,1.9,1.41,1.798,3454.85
2022-04-06 04:00:00,1.58,1.711,1.5212,1.5212,5050.0
2022-04-07 04:00:00,1.798,1.798,1.4,1.561,7849.5
2022-04-08 04:00:00,1.5,1.5,1.451,1.4625,6170.0
2022-04-11 04:00:00,1.402,1.6,1.402,1.6,165.0
2022-04-12 04:00:00,1.4,1.796,1.4,1.6,475.1
2022-04-13 04:00:00,1.698,1.698,1.56,1.56,3054.0
2022-04-18 04:00:00,1.6,1.6,1.4,1.4,7636.85
2022-04-19 04:00:00,1.48,1.58,1.48,1.58,256.0
2022-04-20 04:00:00,1.4,1.4,1.334,1.396,3488.0
2022-04-21 04:00:00,1.31,1.31,1.31,1.31,82.0
2022-04-22 04:00:00,1.4,1.4,1.314,1.355,150.25
2022-04-25 04:00:00,1.355,1.355,1.2,1.299,1525.0
2022-04-26 04:00:00,1.4,1.66,1.4,1.593,12344.45
2022-04-27 04:00:00,1.96,1.96,1.4,1.4,318.25
2022-04-28 04:00:00,1.402,1.645,1.31,1.645,691.25
2022-04-29 04:00:00,1.644,1.9,1.644,1.9,297.5
2022-05-02 04:00:00,1.798,1.798,1.56,1.798,10427.2
2022-05-03 04:00:00,1.798,1.8,1.474,1.8,127.0
2022-05-04 04:00:00,1.474,1.635,1.474,1.635,130.0
2022-05-05 04:00:00,1.796,1.796,1.306,1.58,10665.0
2022-05-06 04:00:00,1.404,1.696,0.202,1.6,19069.3
2022-05-09 04:00:00,1.5,1.59,1.371,1.3812,11017.0
2022-05-10 04:00:00,1.4,1.6,1.4,1.5,3617.2
2022-05-12 04:00:00,1.513,1.513,1.34,1.34,78.35
2022-05-13 04:00:00,1.8,1.8,1.31,1.744,2702.0
2022-05-16 04:00:00,1.8,1.8,1.5015,1.662,5098.65
2022-05-17 04:00:00,1.536,1.798,1.3982,1.798,14118.4
2022-05-18 04:00:00,2.0,2.0,1.522,1.5535,4359.7
2022-05-19 04:00:00,1.552,2.0,1.46,2.0,3581.25
2022-05-20 04:00:00,2.0,2.0,1.422,1.952,15202.85
2022-05-23 04:00:00,1.96,1.96,1.7,1.8,38721.5
2022-05-24 04:00:00,1.8,1.9,1.755,1.8,15357.75
2022-05-25 04:00:00,1.627,1.7,1.5173,1.6,15714.0
2022-05-26 04:00:00,1.696,1.8,1.56,1.78,25193.0
2022-05-27 04:00:00,1.82,1.938,1.64,1.84,13664.5
2022-05-31 04:00:00,1.742,1.742,1.65,1.65,4010.0
2022-06-01 04:00:00,1.592,1.8,1.578,1.648,41082.25
2022-06-02 04:00:00,1.502,1.798,1.5,1.686,13253.4
2022-06-03 04:00:00,1.59,1.786,1.56,1.56,1545.6
2022-06-06 04:00:00,1.68,1.786,1.664,1.723,1135.0
2022-06-07 04:00:00,1.66,1.66,1.64,1.64,6211.0
2022-06-08 04:00:00,1.599,1.748,1.599,1.7,21651.35
2022-06-09 04:00:00,1.646,1.7,1.642,1.7,4874.8
2022-06-10 04:00:00,1.683,1.8,1.6,1.6,9419.0
2022-06-13 04:00:00,1.56,1.56,1.504,1.504,999.9
2022-06-14 04:00:00,1.674,1.674,1.674,1.674,500.0
2022-06-15 04:00:00,1.6078,1.68,1.602,1.68,3920.6
2022-06-16 04:00:00,1.522,1.522,1.522,1.522,50.0
2022-06-17 04:00:00,1.6,1.752,1.586,1.658,4382.5
2022-06-21 04:00:00,1.512,1.64,1.51,1.51,2137.75
2022-06-22 04:00:00,1.51,1.51,1.51,1.51,70.0
2022-06-24 04:00:00,1.7,1.7,1.51,1.688,397.5
2022-06-27 04:00:00,1.636,1.7,1.636,1.7,15055.0
2022-06-28 04:00:00,1.595,1.595,1.595,1.595,44.0
2022-06-29 04:00:00,1.61,1.61,1.6,1.6,560.0
2022-06-30 04:00:00,1.516,1.602,1.512,1.536,1466.75
2022-07-05 04:00:00,1.512,1.514,1.5,1.508,6418.55
2022-07-06 04:00:00,1.51,1.5458,1.47,1.47,7077.95
2022-07-07 04:00:00,1.54,1.54,1.48,1.54,3510.75
2022-07-08 04:00:00,1.4,1.42,1.4,1.418,7592.25
2022-07-11 04:00:00,1.5,1.5,1.5,1.5,1026.65
2022-07-12 04:00:00,1.5,1.5,1.4,1.4,2939.9
2022-07-14 04:00:00,1.394,1.394,1.394,1.394,505.0
2022-07-15 04:00:00,1.304,1.304,1.304,1.304,6.15
2022-07-18 04:00:00,1.398,1.6,1.398,1.5,24319.7
2022-07-19 04:00:00,1.5,1.598,1.5,1.58,12971.3
2022-07-20 04:00:00,1.5,1.5,1.406,1.406,3078.2
2022-07-21 04:00:00,1.498,1.56,1.41,1.485,6310.0
2022-07-22 04:00:00,1.424,1.424,1.406,1.406,11985.6
2022-07-25 04:00:00,1.406,1.496,1.302,1.496,1571.2
2022-07-26 04:00:00,1.496,1.496,1.406,1.406,62.5
2022-07-27 04:00:00,1.498,1.498,1.406,1.406,2285.3
2022-07-28 04:00:00,1.45,1.598,1.43,1.598,18767.5
2022-07-29 04:00:00,2.2,2.2,1.6,1.6,8063.85
2022-08-01 04:00:00,1.65,1.79,1.614,1.681,3955.0
2022-08-02 04:00:00,1.6,1.6,1.495,1.495,7191.1
2022-08-03 04:00:00,1.59,1.59,1.338,1.4,14483.75
2022-08-04 04:00:00,1.586,1.586,1.586,1.586,71.4
2022-08-08 04:00:00,1.5,1.598,1.5,1.5,13175.7
2022-08-09 04:00:00,1.5,1.5,1.4,1.4,8110.2
2022-08-10 04:00:00,1.4,1.4,1.358,1.36,485.7
2022-08-11 04:00:00,1.5,1.5,1.4,1.5,101.7
2022-08-12 04:00:00,1.598,1.598,1.5,1.5,6775.0
2022-08-15 04:00:00,1.596,1.698,1.504,1.52,11960.05
2022-08-16 04:00:00,1.76,2.4,1.522,2.0,8260.0
2022-08-17 04:00:00,1.72,1.72,1.716,1.716,995.0
2022-08-18 04:00:00,1.714,2.38,1.714,1.9,6230.25
2022-08-19 04:00:00,1.994,2.2,1.83,2.0,3974.15
2022-08-22 04:00:00,2.2,2.2,1.834,1.9,5770.0
2022-08-23 04:00:00,2.05,2.05,1.9,1.9,1350.0
2022-08-24 04:00:00,2.06,2.06,2.0,2.0,16453.55
2022-08-25 04:00:00,2.058,2.058,1.922,1.922,118.85
2022-08-26 04:00:00,1.996,2.06,1.912,1.912,1628.95
2022-08-29 04:00:00,1.912,2.498,1.912,2.4,1444.2
2022-08-30 04:00:00,2.38,2.38,2.299,2.299,206.65
2022-08-31 04:00:00,2.3,2.48,2.0,2.48,1925.05
2022-09-01 04:00:00,2.198,2.2,2.098,2.2,561.45
2022-09-02 04:00:00,2.2,2.2,2.0,2.0,8990.0
2022-09-06 04:00:00,1.999,2.14,1.72,2.14,4217.7
2022-09-07 04:00:00,1.994,2.428,1.74,1.894,7957.0
2022-09-08 04:00:00,2.024,2.024,1.9,1.998,1940.0
2022-09-09 04:00:00,2.0,2.2,1.784,2.2,2865.45
2022-09-12 04:00:00,2.2,2.2,1.74,2.19,2209.0
2022-09-13 04:00:00,2.1,2.1,1.8614,1.994,962.65
2022-09-14 04:00:00,1.998,2.0896,1.722,1.898,39124.55
2022-09-15 04:00:00,2.0,2.0,1.746,1.987,2881.25
2022-09-16 04:00:00,1.746,1.87,1.746,1.87,1350.0
2022-09-19 04:00:00,2.0,2.0,1.746,1.746,2120.0
2022-09-20 04:00:00,1.75,1.898,1.64,1.642,12848.85
2022-09-21 04:00:00,1.64,1.64,1.6,1.6,3198.8
2022-09-22 04:00:00,1.6284,1.6284,1.502,1.502,2093.75
2022-09-23 04:00:00,1.502,1.502,1.4,1.4,3920.0
2022-09-26 04:00:00,1.531,1.681,1.531,1.681,4764.5
2022-09-27 04:00:00,1.796,1.978,1.602,1.978,3500.1
2022-09-28 04:00:00,1.7,1.878,1.7,1.878,12902.1
2022-09-29 04:00:00,1.702,1.8,1.7,1.8,4548.3
2022-09-30 04:00:00,1.8,2.5,1.61,2.2,13595.5
2022-10-03 04:00:00,2.004,2.0214,1.902,1.938,3645.0
2022-10-04 04:00:00,1.602,1.94,1.6,1.94,1350.0
2022-10-05 04:00:00,1.7,1.898,1.6332,1.6332,3365.55
2022-10-06 04:00:00,1.7,1.798,1.6,1.798,1850.0
2022-10-07 04:00:00,1.6,1.634,1.562,1.58,14964.6
2022-10-10 04:00:00,1.58,1.774,1.58,1.762,2281.9
2022-10-11 04:00:00,1.764,1.926,1.762,1.8,2610.0
2022-10-12 04:00:00,1.65,1.6902,1.602,1.6902,1390.0
2022-10-13 04:00:00,1.696,1.798,1.6,1.798,1910.5
2022-10-14 04:00:00,1.602,1.602,1.6,1.6,1275.7
2022-10-17 04:00:00,1.604,1.696,1.56,1.58,1331.5
2022-10-18 04:00:00,1.596,1.796,1.56,1.794,4625.0
2022-10-19 04:00:00,1.58,1.58,1.473,1.473,3620.2
2022-10-20 04:00:00,1.7602,1.778,1.44,1.44,1910.0
2022-10-21 04:00:00,1.44,1.44,1.44,1.44,1250.0
2022-10-24 04:00:00,1.44,1.53,1.44,1.53,1110.0
2022-10-25 04:00:00,1.4,1.586,1.4,1.498,1400.0
2022-10-26 04:00:00,1.472,1.618,1.398,1.472,4848.4
2022-10-27 04:00:00,1.474,1.616,1.474,1.573,2065.0
2022-10-28 04:00:00,1.506,1.506,1.472,1.5,1500.0
2022-10-31 04:00:00,1.478,1.478,1.474,1.474,1004.5
2022-11-01 04:00:00,1.45,1.45,1.376,1.38,1450.0
2022-11-02 04:00:00,1.382,1.743,1.382,1.743,1750.0
2022-11-03 04:00:00,1.402,1.69,1.4,1.4,3400.0
2022-11-04 04:00:00,1.404,1.404,1.382,1.382,22975.5
2022-11-07 05:00:00,1.382,1.382,1.382,1.382,1253.75
2022-11-08 05:00:00,1.496,1.6,1.4,1.4,1449.0
2022-11-09 05:00:00,1.384,1.384,1.382,1.382,3250.0
2022-11-10 05:00:00,1.39,1.39,1.382,1.382,1250.0
2022-11-11 05:00:00,1.384,1.384,1.384,1.384,1250.0
2022-11-14 05:00:00,1.382,1.382,1.382,1.382,3300.0
2022-11-15 05:00:00,1.382,1.45,1.382,1.382,2935.35
2022-11-16 05:00:00,1.446,1.446,1.382,1.382,1275.15
2022-11-17 05:00:00,1.4,1.448,1.374,1.424,3608.25
2022-11-18 05:00:00,1.4,1.4,1.35,1.396,1894.5
2022-11-21 05:00:00,1.38,1.39,1.342,1.39,2250.0
2022-11-22 05:00:00,1.39,1.396,1.312,1.396,4092.85
2022-11-23 05:00:00,1.4,1.57,1.4,1.539,2341.5
2022-11-25 05:00:00,1.538,1.538,1.422,1.422,1400.0
2022-11-28 05:00:00,1.515,1.78,1.44,1.44,12534.35
2022-11-29 05:00:00,1.442,1.7537,1.442,1.7537,2139.85
2022-11-30 05:00:00,1.596,1.6,1.46,1.46,4668.4
2022-12-01 05:00:00,1.77,1.77,1.52,1.66,2130.55
2022-12-02 05:00:00,1.778,1.778,1.6,1.744,5880.25
2022-12-08 05:00:00,1.71,1.916,1.71,1.916,1636.55
2022-12-09 05:00:00,1.794,2.396,1.71,2.062,26147.2
2022-12-12 05:00:00,2.34,2.34,1.866,2.0196,5136.45
2022-12-13 05:00:00,2.058,2.6,2.048,2.5,27209.05
2022-12-14 05:00:00,2.5,2.93,2.5,2.56,25977.3
2022-12-15 05:00:00,2.79,2.986,2.64,2.918,12627.15
2022-12-16 05:00:00,2.9,2.9,2.6,2.7,6711.95
2022-12-19 05:00:00,2.7,2.9,2.7,2.9,2421.25
2022-12-20 05:00:00,2.71,2.71,2.188,2.3,4235.55
2022-12-21 05:00:00,2.292,2.398,2.079,2.3,2450.0
2022-12-22 05:00:00,2.3,2.3,2.0,2.2,2848.9
2022-12-23 05:00:00,2.2,2.2,2.2,2.2,45.0
2022-12-27 05:00:00,2.498,2.498,1.79,1.793,936.0
2022-12-28 05:00:00,1.84,2.4,1.78,2.09,517.5
2022-12-30 05:00:00,2.2,2.39,1.78,1.78,1109.0
2023-01-03 05:00:00,1.78,2.59,1.78,2.59,2608.4
2023-01-04 05:00:00,2.761,2.761,2.59,2.59,100.05
2023-01-05 05:00:00,2.78,3.0,2.4,2.99,18807.15
2023-01-06 05:00:00,3.19,7.4,2.98,3.0,39150.4
2023-01-09 05:00:00,3.05,3.05,2.304,2.796,28395.95
2023-01-10 05:00:00,2.61,2.798,2.602,2.698,5162.6
2023-01-11 05:00:00,2.65,3.32,2.65,3.076,7122.4
2023-01-12 05:00:00,2.902,2.902,2.9,2.9,1817.45
2023-01-13 05:00:00,2.799,2.898,2.55,2.898,5429.25
2023-01-17 05:00:00,2.898,2.898,2.75,2.756,3177.5
2023-01-18 05:00:00,2.76,2.898,2.76,2.84,3641.2
2023-01-19 05:00:00,2.762,3.08,2.75,2.75,15015.0
2023-01-20 05:00:00,3.0,3.0,2.75,2.821,5800.45
2023-01-23 05:00:00,2.882,2.89,2.766,2.766,654.5
2023-01-24 05:00:00,2.796,2.796,2.756,2.756,800.55
2023-01-25 05:00:00,2.6,2.756,2.55,2.577,7381.8
2023-01-26 05:00:00,2.554,2.5563,2.554,2.5563,160.0
2023-01-27 05:00:00,2.596,2.6,2.4,2.4,5496.2
2023-01-30 05:00:00,2.888,2.888,2.342,2.614,3567.5
2023-01-31 05:00:00,2.55,2.5814,2.5,2.5,2383.75
2023-02-02 05:00:00,2.89,2.89,2.6,2.6,575.0
2023-02-03 05:00:00,2.796,2.796,2.4,2.698,4727.75
2023-02-06 05:00:00,2.8676,2.8676,2.4,2.6,8327.15
2023-02-07 05:00:00,2.758,2.758,2.758,2.758,165.0
2023-02-08 05:00:00,2.73,2.73,2.34,2.34,16101.85
2023-02-09 05:00:00,2.4,2.4,2.3941,2.3941,835.0
2023-02-10 05:00:00,2.32,2.4,2.3,2.4,2984.75
2023-02-13 05:00:00,2.398,2.4,2.148,2.31,3588.35
2023-02-14 05:00:00,2.298,2.314,2.148,2.148,851.0
2023-02-15 05:00:00,2.148,2.32,2.102,2.102,7783.75
2023-02-16 05:00:00,2.12,2.38,2.02,2.02,3814.2
2023-02-17 05:00:00,1.802,2.191,1.802,2.02,597.55
2023-02-21 05:00:00,2.002,2.002,1.92,1.92,500.0
2023-02-22 05:00:00,2.18,2.254,1.92,2.118,3482.95
2023-02-23 05:00:00,2.12,2.24,1.941,1.942,4387.65
2023-02-24 05:00:00,1.97,2.053,1.92,1.92,5700.0
2023-02-27 05:00:00,1.91,2.094,1.91,2.018,3451.5
2023-02-28 05:00:00,2.38,2.38,2.14,2.14,3759.5
2023-03-01 05:00:00,2.26,2.26,2.12,2.12,2567.5
2023-03-02 05:00:00,2.12,2.716,2.062,2.192,2655.5
2023-03-03 05:00:00,2.2,2.36,2.075,2.075,2237.3
2023-03-06 05:00:00,2.2,2.398,2.2,2.3,3905.0
2023-03-07 05:00:00,2.2242,2.3663,2.2,2.3663,5458.9
2023-03-08 05:00:00,2.239,2.38,2.239,2.38,308.0
2023-03-09 05:00:00,2.38,2.4,2.34,2.4,1256.75
2023-03-10 05:00:00,2.4,2.4,2.3,2.3,2585.05
2023-03-13 04:00:00,2.114,2.18,2.096,2.1,4347.5
2023-03-14 04:00:00,2.196,2.278,2.1051,2.196,232.5
2023-03-15 04:00:00,2.096,2.096,2.0,2.0,3000.0
2023-03-16 04:00:00,2.0,2.0,2.0,2.0,175.15
2023-03-17 04:00:00,2.2,2.2,1.912,1.922,7687.6
2023-03-20 04:00:00,2.196,2.4,2.112,2.194,2515.0
2023-03-21 04:00:00,1.9695,2.392,1.9695,2.392,55.0
2023-03-22 04:00:00,2.392,2.392,2.392,2.392,80.0
2023-03-23 04:00:00,2.394,2.6,2.3255,2.5,3515.2
2023-03-24 04:00:00,2.6,2.6,2.21,2.23,5411.15
2023-03-27 04:00:00,2.596,2.65,2.2515,2.2515,2407.8
2023-03-28 04:00:00,2.4,2.4,2.2,2.398,2860.0
2023-03-29 04:00:00,2.304,2.304,2.082,2.28,5568.5
2023-03-30 04:00:00,2.24,2.286,2.2,2.2,8989.25
2023-03-31 04:00:00,2.3,2.6,2.25,2.3,6237.0
2023-04-03 04:00:00,2.3,2.494,2.246,2.4,8483.25
2023-04-04 04:00:00,2.48,2.48,2.2,2.38,3802.35
2023-04-05 04:00:00,2.4,2.4,2.34,2.4,3265.0
2023-04-06 04:00:00,2.46,2.476,2.295,2.31,6354.0
2023-04-10 04:00:00,2.322,2.322,2.322,2.322,731.0
