date,open,high,low,close,volume
2024-03-20 04:00:00,5.0,7.87,2.7,3.3,6348656.0
2024-03-21 04:00:00,2.85,2.96,1.87,2.04,2857997.0
2024-03-22 04:00:00,1.98,2.36,1.93,2.13,979413.0
2024-03-25 04:00:00,2.1,2.19,1.91,1.93,367160.0
2024-03-26 04:00:00,1.93,2.18,1.73,1.97,1848199.0
2024-03-27 04:00:00,1.88,1.93,1.76,1.8194,387307.0
2024-03-28 04:00:00,1.75,1.9299,1.74,1.8,266489.0
2024-04-01 04:00:00,1.89,1.98,1.8201,1.93,203351.0
2024-04-02 04:00:00,1.88,1.92,1.6101,1.7099,309166.0
2024-04-03 04:00:00,1.62,1.75,1.53,1.7276,242222.0
2024-04-04 04:00:00,1.64,1.74,1.61,1.63,121804.0
2024-04-05 04:00:00,1.61,1.7,1.55,1.61,134677.0
2024-04-08 04:00:00,1.78,1.78,1.55,1.56,165430.0
2024-04-09 04:00:00,1.64,1.8188,1.57,1.7967,127222.0
2024-04-10 04:00:00,1.73,1.98,1.7,1.8177,360272.0
2024-04-11 04:00:00,1.82,1.89,1.68,1.74,81338.0
2024-04-12 04:00:00,1.7101,1.76,1.61,1.67,129941.0
2024-04-15 04:00:00,1.62,1.7987,1.62,1.6498,187135.0
2024-04-16 04:00:00,1.6453,1.7,1.5551,1.64,100590.0
2024-04-17 04:00:00,1.62,1.72,1.58,1.58,78355.0
2024-04-18 04:00:00,1.64,1.65,1.51,1.55,83122.0
2024-04-19 04:00:00,1.5,1.5998,1.41,1.57,341917.0
2024-04-22 04:00:00,1.54,1.55,1.4606,1.4706,166627.0
2024-04-23 04:00:00,1.52,1.55,1.43,1.5,330881.0
2024-04-24 04:00:00,1.46,1.5197,1.33,1.39,171072.0
2024-04-25 04:00:00,1.43,1.73,1.32,1.32,997599.0
2024-04-26 04:00:00,1.37,1.39,1.23,1.3099,305582.0
2024-04-29 04:00:00,1.26,1.31,1.0001,1.04,829427.0
2024-04-30 04:00:00,1.01,1.05,0.9501,0.969,665081.0
2024-05-01 04:00:00,0.99,1.05,0.9201,1.03,194322.0
2024-05-02 04:00:00,1.04,1.1701,1.03,1.12,196279.0
2024-05-03 04:00:00,1.09,1.15,1.0,1.022,181810.0
2024-05-06 04:00:00,1.0,1.03,0.98,0.9821,120565.0
2024-05-07 04:00:00,0.9821,0.9999,0.952,0.9731,112695.0
2024-05-08 04:00:00,0.97,1.05,0.945,1.0264,252498.0
2024-05-09 04:00:00,0.9978,1.02,0.9624,0.98,206442.0
2024-05-10 04:00:00,0.98,0.9999,0.96,0.97,115371.0
2024-05-13 04:00:00,0.975,1.0,0.9601,0.9799,218034.0
2024-05-14 04:00:00,0.97,1.0699,0.9565,1.041,327968.0
2024-05-15 04:00:00,0.99,1.0202,0.9611,0.9746,301975.0
2024-05-16 04:00:00,0.99,1.01,0.95,0.9745,294233.0
2024-05-17 04:00:00,1.07,1.19,0.97,1.0,1572121.0
2024-05-20 04:00:00,1.05,1.12,1.02,1.07,802070.0
2024-05-21 04:00:00,1.13,1.46,1.13,1.32,2436069.0
2024-05-22 04:00:00,1.36,1.4,1.12,1.4,690271.0
2024-05-23 04:00:00,1.4,1.49,1.21,1.24,461193.0
2024-05-24 04:00:00,1.22,1.32,1.18,1.2,268896.0
2024-05-28 04:00:00,1.2,1.2488,1.12,1.13,165406.0
2024-05-29 04:00:00,1.07,1.12,1.04,1.09,212411.0
2024-05-30 04:00:00,1.07,1.14,1.05,1.05,110405.0
2024-05-31 04:00:00,1.05,1.08,0.96,0.9751,206254.0
2024-06-03 04:00:00,0.99,1.0,0.9,0.9495,191089.0
2024-06-04 04:00:00,0.9397,1.04,0.91,1.01,197710.0
2024-06-05 04:00:00,0.95,1.0399,0.921,0.961,855655.0
2024-06-06 04:00:00,0.964,0.999,0.9504,0.9653,67671.0
2024-06-07 04:00:00,1.0,1.15,0.961,1.08,140144.0
2024-06-10 04:00:00,1.05,1.15,1.01,1.0799,193478.0
2024-06-11 04:00:00,1.08,1.1,1.02,1.07,70798.0
2024-06-12 04:00:00,1.07,1.0799,1.01,1.045,55678.0
2024-06-13 04:00:00,1.02,1.0899,1.01,1.07,56285.0
