date,open,high,low,close,volume
2015-05-27 04:00:00,8.23,8.58,8.23,8.25,3012
2015-05-28 04:00:00,8.32,8.32,8.32,8.32,100
2015-06-01 04:00:00,8.3399,8.3399,8.3399,8.3399,1007
2015-06-02 04:00:00,8.29,8.43,8.29,8.43,1406
2015-06-04 04:00:00,8.35,8.37,8.0,8.1,10942
2015-06-05 04:00:00,8.15,8.22,8.1,8.22,6692
2015-06-08 04:00:00,8.22,8.22,8.22,8.22,200
2015-06-09 04:00:00,8.22,8.22,8.21,8.21,273
2015-06-12 04:00:00,8.68,8.68,8.68,8.68,1131
2015-06-15 04:00:00,8.47,8.66,8.24,8.61,5784
2015-06-16 04:00:00,8.73,8.73,8.4,8.66,5889
2015-06-17 04:00:00,8.65,8.73,8.31,8.64,5691
2015-06-18 04:00:00,8.65,8.65,8.301,8.65,9236
2015-06-19 04:00:00,8.67,8.79,8.35,8.35,15525
2015-06-22 04:00:00,8.3334,8.58,8.3334,8.38,1075
2015-06-23 04:00:00,8.54,8.54,8.34,8.34,200
2015-06-24 04:00:00,8.6,8.6,8.6,8.6,325
2015-06-25 04:00:00,8.6,8.6,8.4,8.4,2342
2015-06-26 04:00:00,8.4,8.44,8.39,8.4101,4715
2015-06-29 04:00:00,8.6,8.6,8.4001,8.4001,422
2015-06-30 04:00:00,8.5199,8.6,8.35,8.38,4647
2015-07-01 04:00:00,8.3001,8.45,8.3001,8.45,1362
2015-07-02 04:00:00,8.59,8.59,8.35,8.37,925
2015-07-06 04:00:00,8.456,8.456,8.456,8.456,169
2015-07-07 04:00:00,8.3601,8.4367,8.3601,8.4367,1396
2015-07-08 04:00:00,8.36,8.36,8.36,8.36,208
2015-07-09 04:00:00,8.4581,8.4581,8.36,8.36,870
2015-07-10 04:00:00,8.35,8.35,8.35,8.35,1005
2015-07-14 04:00:00,8.5,8.515,8.5,8.5,1425
2015-07-15 04:00:00,8.45,8.45,8.45,8.45,133
2015-07-16 04:00:00,8.536,8.536,8.41,8.45,1596
2015-07-20 04:00:00,8.46,8.625,8.46,8.625,400
2015-07-21 04:00:00,8.45,8.5999,8.45,8.5999,400
2015-07-22 04:00:00,8.575,8.575,8.45,8.45,300
2015-07-23 04:00:00,8.4,8.4,8.4,8.4,100
2015-07-27 04:00:00,8.4001,8.42,8.4,8.4001,2725
2015-07-28 04:00:00,8.42,8.42,8.3501,8.37,3365
2015-07-29 04:00:00,8.33,8.33,8.25,8.25,3805
2015-07-30 04:00:00,8.34,8.4,8.34,8.4,808
2015-07-31 04:00:00,8.41,8.41,8.2,8.22,1954
2015-08-04 04:00:00,8.2001,8.22,8.11,8.17,3004
2015-08-05 04:00:00,8.25,8.2627,8.24,8.2627,635
2015-08-07 04:00:00,8.13,8.3621,8.13,8.3621,1639
2015-08-10 04:00:00,8.38,8.38,8.22,8.22,2949
2015-08-12 04:00:00,8.43,8.439,8.22,8.23,2324
2015-08-13 04:00:00,8.23,8.356,8.2127,8.356,2133
2015-08-14 04:00:00,8.26,8.45,8.26,8.3,499
2015-08-17 04:00:00,8.3,8.5,8.3,8.4999,8347
2015-08-18 04:00:00,8.55,8.8,8.55,8.6499,19890
2015-08-19 04:00:00,8.89,8.89,8.63,8.6301,11945
2015-08-20 04:00:00,8.76,8.76,8.7,8.7001,696
2015-08-21 04:00:00,8.87,8.87,8.59,8.6,2522
2015-08-24 04:00:00,8.89,8.89,8.45,8.45,4741
2015-08-25 04:00:00,8.59,8.6001,8.54,8.54,2100
2015-08-26 04:00:00,8.53,8.57,8.53,8.57,653
2015-08-27 04:00:00,8.6713,8.6713,8.6713,8.6713,152
2015-08-28 04:00:00,8.6126,8.6126,8.54,8.54,1383
2015-08-31 04:00:00,8.8,8.8,8.7999,8.7999,750
2015-09-01 04:00:00,8.6701,8.6701,8.67,8.67,1090
2015-09-02 04:00:00,8.8,8.8,8.54,8.54,1586
2015-09-08 04:00:00,8.7,8.7,8.575,8.6,7797
2015-09-09 04:00:00,8.6,8.6,8.57,8.57,3256
2015-09-10 04:00:00,8.592,8.6,8.592,8.6,1439
2015-09-11 04:00:00,8.6,8.6,8.59,8.59,931
2015-09-14 04:00:00,8.61,8.61,8.47,8.47,5146
2015-09-16 04:00:00,8.5,8.6,8.45,8.45,1086
2015-09-17 04:00:00,8.5075,8.51,8.5,8.5,2375
2015-09-18 04:00:00,8.5,8.5,8.5,8.5,1174
2015-09-21 04:00:00,8.55,8.55,8.51,8.55,907
2015-09-22 04:00:00,8.54,8.56,8.45,8.45,1740
2015-09-23 04:00:00,8.5955,8.5999,8.5,8.5,1011
2015-09-24 04:00:00,8.5,8.5,8.5,8.5,1344
2015-09-25 04:00:00,8.55,8.55,8.5,8.5001,739
2015-09-28 04:00:00,8.5,8.6,8.5,8.6,5875
2015-09-29 04:00:00,8.543,8.543,8.5,8.51,1955
2015-09-30 04:00:00,8.6,8.6,8.5,8.5,1476
2015-10-01 04:00:00,8.68,8.68,8.68,8.68,1462
2015-10-02 04:00:00,8.71,8.71,8.6999,8.6999,322
2015-10-05 04:00:00,8.81,8.84,8.7001,8.84,552
2015-10-06 04:00:00,8.85,8.89,8.7,8.74,5071
2015-10-07 04:00:00,8.61,8.61,8.61,8.61,233
2015-10-09 04:00:00,8.77,8.88,8.7699,8.88,1043
2015-10-12 04:00:00,8.889,8.889,8.65,8.65,2772
2015-10-13 04:00:00,8.74,8.75,8.61,8.75,915
2015-10-14 04:00:00,8.6,8.6,8.6,8.6,181
2015-10-15 04:00:00,8.761,8.761,8.761,8.761,220
2015-10-16 04:00:00,8.75,8.75,8.75,8.75,487
2015-10-19 04:00:00,8.89,10.37,8.85,8.98,12177
2015-10-20 04:00:00,8.98,8.98,8.9799,8.9799,2412
2015-10-21 04:00:00,8.98,8.98,8.95,8.95,661
2015-10-23 04:00:00,8.98,9.5,8.914,9.4999,8732
2015-10-26 04:00:00,9.5,9.5,9.0293,9.49,1254
2015-10-27 04:00:00,9.275,9.4999,9.275,9.4999,1071
2015-10-28 04:00:00,9.499,9.5,9.04,9.04,458
2015-10-29 04:00:00,9.302,9.302,9.302,9.302,250
2015-10-30 04:00:00,9.48,9.4999,9.1044,9.34,9554
2015-11-02 05:00:00,9.49,9.5,9.34,9.34,5123
2015-11-03 05:00:00,9.11,9.111,9.11,9.111,427
2015-11-04 05:00:00,9.06,9.5,8.77,9.16,4531
2015-11-05 05:00:00,9.09,9.12,9.09,9.12,1004
2015-11-06 05:00:00,9.16,9.44,9.16,9.44,701
2015-11-09 05:00:00,9.36,9.5,9.34,9.45,7246
2015-11-10 05:00:00,9.45,9.45,9.312,9.312,12962
