date,open,high,low,close,volume
2015-05-26 04:00:00,10.0,10.2799,9.604,9.79,844454.0
2015-05-27 04:00:00,9.74,10.0,9.57,9.72,561342.0
2015-05-28 04:00:00,9.9,9.96,9.64,9.76,489269.0
2015-05-29 04:00:00,9.72,9.7518,9.35,9.47,526435.0
2015-06-01 04:00:00,9.47,9.69,9.31,9.55,500335.0
2015-06-02 04:00:00,9.47,9.63,9.4,9.44,385036.0
2015-06-03 04:00:00,9.45,9.57,9.3101,9.33,365720.0
2015-06-04 04:00:00,9.3,9.37,9.02,9.2,595700.0
2015-06-05 04:00:00,9.17,9.42,9.04,9.28,481676.0
2015-06-08 04:00:00,9.28,9.47,9.0,9.19,596428.0
2015-06-09 04:00:00,9.12,9.25,8.95,9.14,528444.0
2015-06-10 04:00:00,9.14,9.431,9.1218,9.26,560113.0
2015-06-11 04:00:00,9.28,9.96,9.24,9.85,1161348.0
2015-06-12 04:00:00,9.86,10.73,9.795,10.49,1978691.0
2015-06-15 04:00:00,10.42,10.95,9.91,10.1,1787718.0
2015-06-16 04:00:00,10.04,10.29,9.66,10.18,841525.0
2015-06-17 04:00:00,10.35,10.4,9.96,10.02,660999.0
2015-06-18 04:00:00,10.0,10.02,9.75,9.89,535087.0
2015-06-19 04:00:00,9.85,9.87,9.44,9.48,906351.0
2015-06-22 04:00:00,9.44,9.5,8.96,9.32,985728.0
2015-06-23 04:00:00,9.3,9.48,9.13,9.33,390196.0
2015-06-24 04:00:00,9.29,9.47,9.191,9.33,336722.0
2015-06-25 04:00:00,9.37,9.37,9.16,9.19,262817.0
2015-06-26 04:00:00,9.1,9.13,8.86,9.02,645409.0
2015-06-29 04:00:00,8.75,8.88,8.44,8.47,859871.0
2015-06-30 04:00:00,8.68,9.25,8.68,9.04,964801.0
2015-07-01 04:00:00,9.05,9.17,8.57,8.77,789290.0
2015-07-02 04:00:00,8.75,8.97,8.65,8.68,446646.0
2015-07-06 04:00:00,8.88,8.9,8.28,8.36,1197611.0
2015-07-07 04:00:00,8.32,8.3588,6.9,7.78,2036762.0
2015-07-08 04:00:00,7.45,7.68,7.18,7.2,1006198.0
2015-07-09 04:00:00,7.71,7.9699,7.5,7.64,951385.0
2015-07-10 04:00:00,8.0,8.0,7.53,7.61,592582.0
2015-07-13 04:00:00,7.9,8.22,7.7,8.07,895892.0
2015-07-14 04:00:00,8.08,8.1706,7.8,8.1,535559.0
2015-07-15 04:00:00,8.01,8.08,7.68,7.73,610577.0
2015-07-16 04:00:00,7.77,7.9,7.53,7.55,435042.0
2015-07-17 04:00:00,7.55,7.78,7.5,7.64,480437.0
2015-07-20 04:00:00,7.6,7.78,7.59,7.66,380390.0
2015-07-21 04:00:00,7.7,7.96,7.7,7.88,291401.0
2015-07-22 04:00:00,7.82,7.835,7.59,7.61,282975.0
2015-07-23 04:00:00,7.72,7.85,7.5,7.57,381060.0
2015-07-24 04:00:00,7.6,7.6353,7.27,7.29,287814.0
2015-07-27 04:00:00,7.0,7.13,6.8,6.84,576841.0
2015-07-28 04:00:00,6.9,7.14,6.68,7.13,492534.0
2015-07-29 04:00:00,7.15,7.41,7.09,7.35,225302.0
2015-07-30 04:00:00,7.31,7.41,7.09,7.14,263271.0
2015-07-31 04:00:00,7.13,7.33,7.1125,7.29,256037.0
2015-08-03 04:00:00,7.26,7.36,6.97,7.04,391514.0
2015-08-04 04:00:00,7.09,7.38,7.09,7.26,293920.0
2015-08-05 04:00:00,7.39,7.39,7.172,7.2,204291.0
2015-08-06 04:00:00,7.33,7.59,7.17,7.59,456976.0
2015-08-07 04:00:00,7.53,7.79,7.3601,7.64,572986.0
2015-08-10 04:00:00,7.68,7.68,6.82,7.09,1144217.0
2015-08-11 04:00:00,7.23,7.23,6.88,6.93,396223.0
2015-08-12 04:00:00,6.93,6.99,6.5328,6.99,474560.0
