date,open,high,low,close,volume
2015-05-26 04:00:00,11.54,11.6999,11.38,11.47,21108
2015-05-27 04:00:00,11.45,11.5,11.1924,11.33,18181
2015-05-28 04:00:00,11.31,11.5499,11.26,11.3,15704
2015-05-29 04:00:00,11.25,11.5499,11.19,11.41,18809
2015-06-01 04:00:00,11.5,11.5,11.05,11.23,14880
2015-06-02 04:00:00,11.35,11.35,11.05,11.13,6930
2015-06-03 04:00:00,11.1499,11.1499,10.8216,10.93,26036
2015-06-04 04:00:00,11.0285,11.0285,10.74,10.84,13264
2015-06-05 04:00:00,10.84,10.95,10.84,10.9399,11060
2015-06-08 04:00:00,10.99,11.0,10.79,10.92,14658
2015-06-09 04:00:00,10.89,11.1499,10.77,10.93,9856
2015-06-10 04:00:00,11.1499,11.1499,10.81,10.92,9262
2015-06-11 04:00:00,11.1499,11.1499,10.851,10.9,5503
2015-06-12 04:00:00,10.95,10.95,10.75,10.77,4119
2015-06-15 04:00:00,10.8,10.8,10.61,10.7,12511
2015-06-16 04:00:00,10.6999,10.6999,10.45,10.5,13980
2015-06-17 04:00:00,10.5935,10.5935,10.39,10.5,13822
2015-06-18 04:00:00,10.4999,10.69,10.4,10.67,8937
2015-06-19 04:00:00,10.76,10.76,10.6,10.67,4659
2015-06-22 04:00:00,10.65,10.9299,10.63,10.89,29927
2015-06-23 04:00:00,10.9,11.0699,10.8559,11.02,8708
2015-06-24 04:00:00,10.98,11.08,10.76,11.03,15434
2015-06-25 04:00:00,10.92,11.1399,10.87,11.0,8751
2015-06-26 04:00:00,11.1499,11.1499,10.66,10.66,37125
2015-06-29 04:00:00,10.79,10.8,10.69,10.76,6112
2015-06-30 04:00:00,10.75,11.1399,10.75,10.87,8929
2015-07-01 04:00:00,11.13,11.13,10.93,10.93,3075
2015-07-02 04:00:00,10.85,11.1499,10.755,10.85,6892
2015-07-06 04:00:00,10.73,10.9899,10.65,10.68,10004
2015-07-07 04:00:00,10.8999,10.8999,10.68,10.68,5484
2015-07-08 04:00:00,10.66,10.7099,10.21,10.46,10853
2015-07-09 04:00:00,10.5499,10.5499,10.4,10.4299,2747
2015-07-10 04:00:00,10.4499,10.45,10.31,10.4399,5598
2015-07-13 04:00:00,10.4399,10.4399,10.3,10.3,7782
2015-07-14 04:00:00,10.45,10.53,10.34,10.44,19180
2015-07-15 04:00:00,10.38,10.57,10.38,10.41,5135
2015-07-16 04:00:00,10.41,10.65,10.3601,10.4,2663
2015-07-17 04:00:00,10.36,10.7099,10.36,10.44,2679
2015-07-20 04:00:00,10.38,10.7099,10.31,10.36,7996
2015-07-21 04:00:00,10.5999,10.5999,10.37,10.475,2536
2015-07-22 04:00:00,10.49,10.49,10.33,10.35,7997
2015-07-23 04:00:00,10.31,10.67,10.31,10.47,102394
2015-07-24 04:00:00,10.5,10.5,10.47,10.47,8731
2015-07-27 04:00:00,10.36,10.5,10.36,10.4899,14373
2015-07-28 04:00:00,10.71,10.71,10.36,10.44,12047
2015-07-29 04:00:00,10.5,10.5,10.25,10.26,9677
2015-07-30 04:00:00,10.4899,10.4899,10.06,10.16,22279
2015-07-31 04:00:00,10.3299,10.48,10.01,10.01,7439
2015-08-03 04:00:00,10.01,10.01,9.75,9.7999,30210
2015-08-04 04:00:00,9.77,10.02,9.77,9.98,10113
2015-08-05 04:00:00,10.72,10.72,9.85,10.37,52482
2015-08-06 04:00:00,10.3,10.3,10.03,10.1,16281
2015-08-07 04:00:00,10.09,10.29,10.05,10.09,22185
2015-08-10 04:00:00,10.09,10.09,9.96,10.0,9635
2015-08-11 04:00:00,9.95,10.08,9.9235,9.95,5543
2015-08-12 04:00:00,10.01,10.03,9.84,9.92,10649
2015-08-13 04:00:00,9.95,9.9699,9.8204,9.9001,4603
2015-08-14 04:00:00,9.94,9.98,9.9,9.96,2518
2015-08-17 04:00:00,9.97,10.43,9.93,10.12,14134
