date,open,high,low,close,volume
2015-05-26 04:00:00,12.57,12.91,12.43,12.82,27793.0
2015-05-27 04:00:00,12.8,12.89,12.62,12.75,18790.0
2015-05-28 04:00:00,12.62,12.7799,12.562,12.66,31108.0
2015-05-29 04:00:00,12.7,12.7,12.44,12.47,17409.0
2015-06-01 04:00:00,12.62,12.63,12.22,12.52,17552.0
2015-06-02 04:00:00,12.49,12.8499,12.397,12.68,13720.0
2015-06-03 04:00:00,12.75,12.96,12.64,12.94,22212.0
2015-06-04 04:00:00,12.79,12.95,12.63,12.71,14945.0
2015-06-05 04:00:00,12.68,12.99,12.55,12.97,6890.0
2015-06-08 04:00:00,13.0,13.08,12.63,12.96,34431.0
2015-06-09 04:00:00,12.96,13.03,12.73,12.96,16446.0
2015-06-10 04:00:00,13.1,13.5,12.84,13.35,41378.0
2015-06-11 04:00:00,13.3,13.3294,13.17,13.32,15314.0
2015-06-12 04:00:00,13.24,13.35,13.21,13.28,25738.0
2015-06-15 04:00:00,13.13,13.68,12.8652,13.39,29665.0
2015-06-16 04:00:00,13.33,13.55,13.15,13.4,16773.0
2015-06-17 04:00:00,13.53,13.62,13.14,13.57,18373.0
2015-06-18 04:00:00,13.6309,13.96,13.6309,13.69,42811.0
2015-06-19 04:00:00,13.64,13.78,13.46,13.64,43577.0
2015-06-22 04:00:00,13.77,13.89,13.382,13.62,14469.0
2015-06-23 04:00:00,13.51,13.85,13.41,13.68,37367.0
2015-06-24 04:00:00,13.59,13.59,13.17,13.46,47163.0
2015-06-25 04:00:00,13.47,13.52,13.16,13.38,28071.0
2015-06-26 04:00:00,13.45,13.68,13.01,13.66,89128.0
2015-06-29 04:00:00,13.42,13.69,12.87,13.29,136296.0
2015-06-30 04:00:00,13.54,13.54,13.26,13.45,28734.0
2015-07-01 04:00:00,13.58,13.69,13.24,13.32,36047.0
2015-07-02 04:00:00,13.48,13.535,13.1,13.2,21746.0
2015-07-06 04:00:00,13.2,13.2,12.899,13.1,20539.0
