date,open,high,low,close,volume
2020-07-01 04:00:00,6.6,6.88,6.59,6.65,1017567.0
2020-07-02 04:00:00,6.8,7.03,6.61,6.81,2325085.0
2020-07-06 04:00:00,7.45,8.0,7.06,7.64,3342969.0
2020-07-07 04:00:00,7.4,7.65,7.0,7.02,2849923.0
2020-07-08 04:00:00,7.06,7.24,6.63,6.78,3416466.0
2020-07-09 04:00:00,7.13,7.13,6.32,6.55,2137449.0
2020-07-10 04:00:00,6.59,6.69,6.38,6.67,1378055.0
2020-07-13 04:00:00,6.7166,6.85,6.18,6.21,2210022.0
2020-07-14 04:00:00,6.2,6.29,5.88,6.27,1929448.0
2020-07-15 04:00:00,6.49,6.58,6.23,6.415,1397975.0
2020-07-16 04:00:00,6.43,6.59,6.24,6.33,1266529.0
2020-07-17 04:00:00,6.32,6.38,6.2,6.22,1374263.0
2020-07-20 04:00:00,6.33,6.45,6.07,6.42,1565768.0
2020-07-21 04:00:00,6.45,6.7887,6.42,6.515,1757338.0
2020-07-22 04:00:00,6.51,6.54,6.21,6.335,1585220.0
2020-07-23 04:00:00,6.28,6.3499,5.98,6.06,1657402.0
2020-07-24 04:00:00,6.0,6.17,5.93,5.96,1015647.0
2020-07-27 04:00:00,6.01,6.09,5.88,6.045,1134287.0
2020-07-28 04:00:00,6.0,6.09,5.58,5.8,2986512.0
2020-07-29 04:00:00,5.8,6.09,5.7925,6.005,1676623.0
2020-07-30 04:00:00,5.79,5.98,5.58,5.69,2151008.0
2020-07-31 04:00:00,5.89,6.1,5.88,6.005,2094617.0
2020-08-03 04:00:00,6.08,6.42,5.898,6.285,1727609.0
2020-08-04 04:00:00,6.22,6.4,6.12,6.15,1296920.0
2020-08-05 04:00:00,6.25,6.42,6.05,6.4,1484999.0
2020-08-06 04:00:00,6.34,6.6823,6.08,6.27,1567715.0
2020-08-07 04:00:00,6.4,7.19,6.37,7.105,3617564.0
2020-08-10 04:00:00,7.19,7.29,6.77,7.11,3064824.0
2020-08-11 04:00:00,8.11,8.29,7.16,7.74,5682849.0
2020-08-12 04:00:00,7.6,7.75,7.12,7.135,2932727.0
