date,open,high,low,close,volume
2015-05-26 04:00:00,38.02,38.15,37.585,37.79,8434007.0
2015-05-27 04:00:00,38.01,38.73,37.87,38.62,8252492.0
2015-05-28 04:00:00,38.57,38.78,38.41,38.73,9718146.0
2015-05-29 04:00:00,38.64,38.71,38.17,38.2,7859107.0
2015-06-01 04:00:00,38.42,38.715,38.16,38.58,8830942.0
2015-06-02 04:00:00,38.43,38.7385,38.27,38.52,6178842.0
2015-06-03 04:00:00,38.79,39.24,38.61,39.01,7812904.0
2015-06-04 04:00:00,38.63,39.208,38.59,38.7,7713569.0
2015-06-05 04:00:00,39.23,39.4,38.95,39.29,9808834.0
2015-06-08 04:00:00,39.64,39.75,38.995,39.09,7328041.0
2015-06-09 04:00:00,39.08,39.28,38.79,39.13,7808146.0
2015-06-10 04:00:00,39.3,39.95,39.16,39.89,9547116.0
2015-06-11 04:00:00,40.0,40.18,39.625,39.87,6981210.0
2015-06-12 04:00:00,39.65,39.86,39.505,39.61,5896538.0
2015-06-15 04:00:00,39.22,39.64,38.95,39.53,5635468.0
2015-06-16 04:00:00,39.39,39.81,39.35,39.74,4580528.0
2015-06-17 04:00:00,39.89,39.96,39.525,39.58,7029724.0
2015-06-18 04:00:00,39.68,39.93,39.32,39.79,7598056.0
2015-06-19 04:00:00,39.63,39.93,39.22,39.37,10338949.0
2015-06-22 04:00:00,39.86,40.05,39.71,39.85,8635009.0
2015-06-23 04:00:00,40.06,40.24,39.98,40.21,9380592.0
2015-06-24 04:00:00,39.97,40.26,39.54,39.64,8065947.0
2015-06-25 04:00:00,39.82,39.87,39.14,39.22,8939969.0
2015-06-26 04:00:00,39.47,39.72,39.36,39.5,8325835.0
2015-06-29 04:00:00,38.82,39.2,38.3,38.31,10819821.0
2015-06-30 04:00:00,38.82,39.0899,38.56,38.79,11102416.0
2015-07-01 04:00:00,39.46,39.53,39.18,39.36,10549994.0
2015-07-02 04:00:00,39.26,39.39,38.73,39.0,6801942.0
2015-07-06 04:00:00,38.41,38.92,38.4,38.85,8044814.0
2015-07-07 04:00:00,38.74,38.9,37.65,38.62,12759303.0
2015-07-08 04:00:00,38.17,38.3271,37.77,37.79,9113673.0
2015-07-09 04:00:00,38.49,38.58,38.05,38.1,7286358.0
2015-07-10 04:00:00,38.75,38.85,38.45,38.64,6780554.0
2015-07-13 04:00:00,39.08,39.38,38.95,39.32,7184052.0
2015-07-14 04:00:00,39.33,39.91,39.26,39.71,8054756.0
2015-07-15 04:00:00,39.95,39.95,39.48,39.7,7649611.0
2015-07-16 04:00:00,40.01,40.09,39.84,39.91,7970327.0
2015-07-17 04:00:00,39.76,40.25,39.675,40.2,8153929.0
2015-07-20 04:00:00,40.9,41.04,39.9,40.04,15142529.0
2015-07-21 04:00:00,39.71,40.32,39.71,40.08,11774489.0
2015-07-22 04:00:00,40.17,40.62,40.08,40.54,9436374.0
2015-07-23 04:00:00,40.48,40.745,39.81,39.94,10281882.0
2015-07-24 04:00:00,40.11,40.12,39.24,39.6,8370385.0
2015-07-27 04:00:00,39.26,39.38,38.87,39.25,11949219.0
2015-07-28 04:00:00,39.6,39.72,39.03,39.25,9201216.0
2015-07-29 04:00:00,39.02,39.445,38.92,39.29,9678159.0
2015-07-30 04:00:00,39.15,39.4,38.85,39.3,5513067.0
2015-07-31 04:00:00,39.28,39.35,38.79,38.84,7348015.0
2015-08-03 04:00:00,38.96,38.97,38.42,38.76,7078609.0
2015-08-04 04:00:00,38.85,39.18,38.74,38.92,6366106.0
2015-08-05 04:00:00,39.29,39.35,38.8,39.0,4982176.0
2015-08-06 04:00:00,39.04,39.18,38.655,38.93,7573759.0
2015-08-07 04:00:00,38.95,39.18,38.26,38.58,8329596.0
2015-08-10 04:00:00,38.8,39.16,38.8,39.08,5585440.0
2015-08-11 04:00:00,38.48,38.54,37.73,37.92,11189095.0
2015-08-12 04:00:00,37.57,37.64,36.57,37.57,14087875.0
2015-08-13 04:00:00,37.71,37.95,37.47,37.75,6554450.0
2015-08-14 04:00:00,37.69,38.06,37.61,38.05,5029943.0
2015-08-17 04:00:00,37.73,38.18,37.55,38.14,5109476.0
2015-08-18 04:00:00,38.07,38.21,37.79,37.82,8794778.0
2015-08-19 04:00:00,37.61,37.78,37.235,37.44,8549878.0
