date,open,high,low,close,volume
2015-05-26 04:00:00,58.78,60.42,58.32,59.84,91600
2015-05-27 04:00:00,60.43,60.63,59.34,60.12,9938
2015-05-28 04:00:00,60.005,60.13,58.39,59.18,10250
2015-05-29 04:00:00,59.05,59.42,56.68,57.22,10303
2015-06-01 04:00:00,56.88,58.25,56.76,58.22,12056
2015-06-02 04:00:00,57.54,59.54,57.54,59.09,13227
2015-06-03 04:00:00,59.24,60.66,58.59,59.98,28002
2015-06-04 04:00:00,59.36,59.41,58.35,59.01,8577
2015-06-05 04:00:00,58.45,60.21,58.45,59.33,12189
2015-06-08 04:00:00,59.17,60.245,58.71,59.77,33971
2015-06-09 04:00:00,60.09,60.09,58.712,59.11,17768
2015-06-10 04:00:00,59.5,60.87,58.89,60.52,15961
2015-06-11 04:00:00,60.2,60.98,59.95,60.54,18104
2015-06-12 04:00:00,60.7,60.918,59.58,60.3,15804
2015-06-15 04:00:00,60.1,60.1,59.014,59.43,17184
2015-06-16 04:00:00,58.6,59.97,58.6,59.65,22420
2015-06-17 04:00:00,59.58,59.77,58.83,59.4,22782
2015-06-18 04:00:00,59.41,59.5,59.01,59.37,25441
2015-06-19 04:00:00,59.5,59.5,58.53,59.49,36017
2015-06-22 04:00:00,59.875,60.79,59.43,60.72,21883
2015-06-23 04:00:00,60.0,60.5,59.11,60.33,29089
2015-06-24 04:00:00,60.45,60.45,59.26,59.82,14548
2015-06-25 04:00:00,59.85,60.386,59.09,60.2,21335
2015-06-26 04:00:00,60.0,62.46,59.97,62.37,67150
2015-06-29 04:00:00,62.07,62.96,61.14,61.43,11983
2015-06-30 04:00:00,62.0,62.0,60.5001,60.76,16940
2015-07-01 04:00:00,61.08,61.698,60.3,61.13,8827
2015-07-02 04:00:00,61.14,61.38,59.15,59.67,15442
2015-07-06 04:00:00,59.41,60.33,59.41,60.11,12093
2015-07-07 04:00:00,60.41,60.41,58.81,59.52,15922
2015-07-08 04:00:00,59.49,59.55,57.9,58.11,12923
2015-07-09 04:00:00,58.28,58.745,58.14,58.24,14081
2015-07-10 04:00:00,58.25,59.4,58.25,58.51,18101
2015-07-13 04:00:00,59.39,60.26,58.6,58.81,14571
2015-07-14 04:00:00,59.0,59.8,58.1,59.49,19638
2015-07-15 04:00:00,59.31,60.6,58.42,59.68,25351
2015-07-16 04:00:00,60.62,60.62,58.99,59.27,23119
2015-07-17 04:00:00,59.08,59.63,58.09,58.53,14993
2015-07-20 04:00:00,58.14,58.68,57.7,57.91,10243
2015-07-21 04:00:00,57.2,57.71,54.706,55.93,29641
2015-07-22 04:00:00,56.05,56.93,55.1,56.3,20319
2015-07-23 04:00:00,56.76,56.76,54.5,54.78,17463
2015-07-24 04:00:00,54.9,55.14,52.92,53.6,22485
2015-07-27 04:00:00,52.88,53.58,52.88,53.16,9650
2015-07-28 04:00:00,53.69,53.84,52.8,53.17,16985
2015-07-29 04:00:00,53.35,53.35,52.28,52.64,14863
2015-07-30 04:00:00,52.62,52.94,52.01,52.33,16599
2015-07-31 04:00:00,52.69,52.94,50.29,50.77,39467
2015-08-03 04:00:00,50.5,51.99,50.01,51.74,25562
2015-08-04 04:00:00,51.5,53.24,50.5,51.88,28178
2015-08-05 04:00:00,51.0,54.71,49.65,53.17,27189
2015-08-06 04:00:00,53.56,54.65,52.88,54.13,22967
2015-08-07 04:00:00,53.68,54.21,52.08,52.28,19138
2015-08-10 04:00:00,52.68,53.815,52.68,53.55,23851
2015-08-11 04:00:00,53.11,53.93,52.67,53.2,31635
2015-08-12 04:00:00,52.72,53.95,52.72,53.37,24433
2015-08-13 04:00:00,53.92,53.92,53.05,53.41,21429
2015-08-14 04:00:00,53.6,53.885,53.34,53.59,17856
2015-08-17 04:00:00,53.5,55.49,53.36,55.22,27405
2015-08-18 04:00:00,55.25,55.8,53.53,53.61,19252
2015-08-19 04:00:00,53.53,54.07,52.8,53.65,9469
2015-08-20 04:00:00,52.7116,53.79,52.7116,52.98,9497
2015-08-21 04:00:00,50.4,52.75,50.4,51.56,21921
2015-08-24 04:00:00,49.51,52.33,49.51,49.93,20914
2015-08-25 04:00:00,50.57,51.65,48.98,49.32,15030
2015-08-26 04:00:00,48.7625,51.96,48.45,51.61,45387
2015-08-27 04:00:00,52.08,52.85,50.57,52.22,18809
2015-08-28 04:00:00,52.4,54.1699,52.01,52.8,47974
2015-08-31 04:00:00,52.4,53.67,50.81,52.64,18479
2015-09-01 04:00:00,52.0,52.87,51.59,51.86,21002
2015-09-02 04:00:00,52.9,52.9,51.89,52.77,8878
2015-09-03 04:00:00,53.6,53.66,52.85,52.93,19315
2015-09-04 04:00:00,52.85,53.62,52.795,53.19,8456
2015-09-08 04:00:00,54.04,54.32,53.34,53.65,17919
2015-09-09 04:00:00,54.004,54.6,53.07,53.33,24906
2015-09-10 04:00:00,52.68,53.75,52.01,52.59,24173
2015-09-11 04:00:00,52.44,53.625,52.44,53.19,25166
2015-09-14 04:00:00,53.25,53.58,52.1,52.71,30473
2015-09-15 04:00:00,53.16,53.5,52.24,53.45,31897
2015-09-16 04:00:00,52.53,53.84,52.0,53.65,19624
2015-09-17 04:00:00,53.62,54.7,53.19,53.39,32808
2015-09-18 04:00:00,52.79,53.99,52.15,52.38,31404
2015-09-21 04:00:00,52.9,53.12,51.8,52.07,14959
2015-09-22 04:00:00,51.81,52.0,51.42,51.79,14577
2015-09-23 04:00:00,52.23,52.6,51.68,51.83,11058
2015-09-24 04:00:00,50.79,51.97,50.65,51.69,13889
2015-09-25 04:00:00,52.1,52.1,49.76,50.08,38430
2015-09-28 04:00:00,50.0,50.18,47.26,47.62,28198
2015-09-29 04:00:00,47.5,48.7,47.28,47.77,26142
2015-09-30 04:00:00,47.92,48.08,47.3,47.55,24223
2015-10-01 04:00:00,47.5,47.55,46.51,47.01,11378
2015-10-02 04:00:00,46.78,46.78,45.17,46.31,10806
2015-10-05 04:00:00,46.81,48.32,46.81,47.11,12796
2015-10-06 04:00:00,47.22,47.5921,46.16,46.47,23620
2015-10-07 04:00:00,46.89,48.13,46.28,47.73,96909
2015-10-08 04:00:00,47.9,50.02,47.71,49.88,23412
2015-10-09 04:00:00,50.06,50.85,50.05,50.38,5697
2015-10-12 04:00:00,50.6,50.6068,49.42,49.81,17433
2015-10-13 04:00:00,49.66,50.19,49.62,49.94,6363
2015-10-14 04:00:00,50.27,50.27,48.84,48.97,7798
2015-10-15 04:00:00,48.92,50.19,48.74,49.86,13330
2015-10-16 04:00:00,49.84,49.89,48.62,49.02,12912
2015-10-19 04:00:00,49.38,49.38,48.5,48.71,7732
2015-10-20 04:00:00,49.17,49.17,47.76,48.02,11823
2015-10-21 04:00:00,47.5,47.7599,46.17,46.21,15704
2015-10-22 04:00:00,46.38,46.76,45.52,46.18,19412
2015-10-23 04:00:00,46.64,46.92,45.19,45.36,26109
2015-10-26 04:00:00,45.53,45.97,44.75,44.91,28516
2015-10-27 04:00:00,44.6299,44.82,43.75,44.08,22312
2015-10-28 04:00:00,43.93,46.71,43.9,45.92,15439
2015-10-29 04:00:00,45.352,45.352,43.465,44.8,20741
2015-10-30 04:00:00,44.58,45.81,44.58,44.83,22197
2015-11-02 05:00:00,44.77,46.18,44.77,46.01,11676
2015-11-03 05:00:00,45.83,47.34,45.83,46.47,24364
2015-11-04 05:00:00,47.3,47.3,45.43,46.43,27730
2015-11-05 05:00:00,46.89,47.83,45.95,47.16,23586
2015-11-06 05:00:00,47.02,47.3,46.47,47.25,18938
2015-11-09 05:00:00,47.43,47.43,45.3,45.44,18469
2015-11-10 05:00:00,45.25,47.5,45.25,47.12,25051
2015-11-11 05:00:00,47.5,48.5,45.2,45.58,33976
2015-11-12 05:00:00,45.4,45.4,43.765,44.02,16650
2015-11-13 05:00:00,43.75,44.26,42.79,42.83,9457
2015-11-16 05:00:00,43.23,43.23,41.435,41.6,15956
2015-11-17 05:00:00,42.08,42.22,41.29,41.44,28292
2015-11-18 05:00:00,42.26,43.6,41.61,43.41,19045
2015-11-19 05:00:00,43.86,43.9325,42.09,42.64,15930
2015-11-20 05:00:00,43.19,43.82,42.82,43.06,11686
2015-11-23 05:00:00,43.35,43.35,42.29,42.39,9060
2015-11-24 05:00:00,42.86,42.86,42.14,42.68,4564
2015-11-25 05:00:00,42.39,43.6,41.55,42.91,11424
2015-11-27 05:00:00,42.73,44.13,42.73,43.6,10194
2015-11-30 05:00:00,42.72,43.39,42.0,42.26,15448
2015-12-01 05:00:00,42.13,42.47,41.6,42.25,6937
2015-12-02 05:00:00,42.25,42.52,42.25,42.33,3382
2015-12-03 05:00:00,42.32,42.56,41.53,41.68,14604
2015-12-04 05:00:00,41.91,43.04,41.11,42.43,12631
2015-12-07 05:00:00,43.03,43.03,42.0,42.2,22980
2015-12-08 05:00:00,41.39,41.74,41.22,41.71,7888
2015-12-09 05:00:00,41.2,41.53,40.41,40.48,9993
2015-12-10 05:00:00,41.02,42.525,40.95,42.33,18609
2015-12-11 05:00:00,41.6,42.41,41.17,41.32,16841
2015-12-14 05:00:00,41.15,41.76,40.04,40.8,16330
2015-12-15 05:00:00,40.72,41.0,40.51,40.96,13155
2015-12-16 05:00:00,41.77,42.39,41.29,42.14,14326
2015-12-17 05:00:00,41.63,42.92,41.564,42.18,39886
2015-12-18 05:00:00,41.86,42.05,40.58,40.58,26204
2015-12-21 05:00:00,41.0,41.46,40.9,41.41,16890
2015-12-22 05:00:00,41.41,41.96,40.75,41.18,28485
2015-12-23 05:00:00,40.54,43.39,40.54,43.31,15725
2015-12-24 05:00:00,43.6493,43.6493,42.37,43.14,7449
2015-12-28 05:00:00,43.04,43.91,42.57,43.51,23962
2015-12-29 05:00:00,43.89,44.5,43.45,43.82,15122
2015-12-30 05:00:00,43.94,44.316,42.98,43.89,16347
2015-12-31 05:00:00,43.95,44.26,42.14,42.2,29203
2016-01-04 05:00:00,41.66,43.0,40.75,42.46,37465
2016-01-05 05:00:00,42.94,44.13,42.63,44.01,25140
2016-01-06 05:00:00,43.61,44.36,43.25,43.8,37124
2016-01-07 05:00:00,42.65,43.4545,42.2,42.93,34674
2016-01-08 05:00:00,42.79,43.08,42.2,42.31,21909
2016-01-11 05:00:00,42.27,42.575,41.66,42.25,23478
2016-01-12 05:00:00,42.75,43.09,42.53,43.0,21406
2016-01-13 05:00:00,42.438,43.72,41.69,42.26,33871
2016-01-14 05:00:00,42.44,44.83,42.44,44.44,40078
2016-01-15 05:00:00,43.11,44.65,43.02,44.5,41728
2016-01-19 05:00:00,44.72,44.72,42.89,43.49,35108
2016-01-20 05:00:00,42.7,45.61,42.35,45.58,45269
2016-01-21 05:00:00,45.82,46.21,44.86,45.13,30174
2016-01-22 05:00:00,45.93,46.455,45.01,45.82,21842
2016-01-25 05:00:00,45.2,45.84,44.33,44.88,17571
2016-01-26 05:00:00,45.78,46.53,45.5,46.11,18897
2016-01-27 05:00:00,46.19,46.48,45.21,45.24,22493
2016-01-28 05:00:00,46.04,46.72,45.45,45.98,19744
2016-01-29 05:00:00,46.86,47.79,46.81,47.59,24435
2016-02-01 05:00:00,46.8,48.7,46.09,47.86,26169
2016-02-02 05:00:00,47.6,48.198,46.53,46.81,15909
2016-02-03 05:00:00,47.12,47.12,44.28,45.48,40258
2016-02-04 05:00:00,45.49,46.5,45.49,46.18,12998
2016-02-05 05:00:00,46.18,46.18,45.04,45.06,22037
2016-02-08 05:00:00,45.02,46.05,44.475,45.81,20120
2016-02-09 05:00:00,45.75,46.46,45.12,45.73,27850
2016-02-10 05:00:00,46.24,46.28,44.74,44.79,20178
2016-02-11 05:00:00,44.37,45.04,44.355,44.78,35693
2016-02-12 05:00:00,44.81,48.45,44.72,46.85,45283
2016-02-16 05:00:00,47.55,47.55,45.68,46.28,14998
2016-02-17 05:00:00,46.69,47.87,46.69,47.29,11476
2016-02-18 05:00:00,47.0,48.73,46.3,48.07,29544
2016-02-19 05:00:00,47.9,48.79,47.45,48.3,13479
2016-02-22 05:00:00,48.99,50.14,48.42,49.75,30126
2016-02-23 05:00:00,49.48,50.88,48.83,49.51,20729
2016-02-24 05:00:00,48.81,50.79,48.81,50.75,14263
2016-02-25 05:00:00,51.02,51.11,50.75,51.09,10769
2016-02-26 05:00:00,51.3,51.5,49.92,50.75,17564
2016-02-29 05:00:00,50.83,51.46,49.1,49.41,20066
2016-03-01 05:00:00,50.0,51.5,49.58,51.06,11084
2016-03-02 05:00:00,50.5,52.0,50.031,51.66,17533
2016-03-03 05:00:00,51.51,51.51,46.49,48.76,60903
2016-03-04 05:00:00,48.69,48.69,47.76,48.25,18785
2016-03-07 05:00:00,48.08,48.265,47.69,48.0,22746
2016-03-08 05:00:00,47.61,48.27,47.6,47.88,21829
2016-03-09 05:00:00,48.84,48.84,47.27,47.9,21264
