date,open,high,low,close,volume
2022-08-10 04:00:00,7.7,10.0,7.25,8.2,557803.0
2022-08-11 04:00:00,8.0,8.8,7.18,8.64,227096.0
2022-08-12 04:00:00,8.32,8.6,7.51,7.7501,185348.0
2022-08-15 04:00:00,7.8,7.8,6.59,6.7186,226839.0
2022-08-16 04:00:00,6.9,7.74,5.33,5.68,405811.0
2022-08-17 04:00:00,5.7,5.7,5.12,5.25,206883.0
2022-08-18 04:00:00,5.39,5.39,4.3,4.77,181575.0
2022-08-19 04:00:00,4.77,5.775,4.4,5.19,544303.0
2022-08-22 04:00:00,6.17,8.33,5.3001,7.63,5065150.0
2022-08-23 04:00:00,7.05,7.4399,5.9,6.51,436476.0
2022-08-24 04:00:00,6.08,6.4435,5.5632,5.98,129129.0
2022-08-25 04:00:00,5.7,6.161,5.3175,5.6,55497.0
2022-08-26 04:00:00,5.43,5.65,4.71,4.94,62562.0
2022-08-29 04:00:00,4.79,4.95,4.6101,4.83,41352.0
2022-08-30 04:00:00,4.71,5.0604,4.71,4.73,26044.0
2022-08-31 04:00:00,4.77,4.8,4.26,4.26,41674.0
2022-09-01 04:00:00,4.02,4.42,4.02,4.2,30912.0
2022-09-02 04:00:00,4.2,4.58,4.05,4.2,24998.0
2022-09-06 04:00:00,4.14,4.89,4.02,4.61,143202.0
2022-09-07 04:00:00,4.61,4.9,4.23,4.67,131912.0
2022-09-08 04:00:00,4.0501,4.98,4.05,4.86,87411.0
2022-09-09 04:00:00,4.57,5.5,4.32,5.15,87924.0
2022-09-12 04:00:00,5.34,5.5,4.8,5.33,106968.0
2022-09-13 04:00:00,5.45,5.92,5.1001,5.74,121532.0
2022-09-14 04:00:00,5.54,5.81,5.31,5.65,49298.0
2022-09-15 04:00:00,5.61,6.32,5.6,6.15,97160.0
2022-09-16 04:00:00,6.14,6.5,5.29,5.37,174890.0
2022-09-19 04:00:00,5.34,5.4393,3.3,3.5,486067.0
2022-09-20 04:00:00,3.25,3.56,2.83,3.15,146506.0
2022-09-21 04:00:00,3.15,3.21,2.8296,2.85,88355.0
2022-09-22 04:00:00,2.8,2.83,2.34,2.42,71514.0
2022-09-23 04:00:00,2.42,2.5861,2.37,2.45,32382.0
2022-09-26 04:00:00,2.4565,2.5799,2.2704,2.28,20684.0
2022-09-27 04:00:00,2.37,2.37,2.11,2.11,23173.0
2022-09-28 04:00:00,2.11,2.26,2.0911,2.12,21728.0
2022-09-29 04:00:00,2.08,2.2499,1.96,1.96,23507.0
2022-09-30 04:00:00,2.2,2.2,2.02,2.05,38614.0
2022-10-03 04:00:00,2.21,2.49,1.97,2.35,33338.0
2022-10-04 04:00:00,2.24,2.71,2.24,2.67,59108.0
2022-10-05 04:00:00,2.75,2.8525,2.42,2.43,46436.0
2022-10-06 04:00:00,2.44,2.55,2.375,2.42,19052.0
2022-10-07 04:00:00,2.45,2.56,2.25,2.53,26455.0
2022-10-10 04:00:00,2.45,2.475,2.1926,2.43,25265.0
2022-10-11 04:00:00,2.3888,2.61,2.3888,2.56,10988.0
2022-10-12 04:00:00,2.59,2.71,2.48,2.68,10029.0
2022-10-13 04:00:00,2.75,2.9399,2.62,2.69,27254.0
2022-10-14 04:00:00,2.75,3.0,2.75,2.92,49181.0
2022-10-17 04:00:00,3.0,3.6799,2.99,3.43,81045.0
2022-10-18 04:00:00,3.39,3.43,3.2199,3.33,37402.0
2022-10-19 04:00:00,3.26,3.46,3.225,3.33,7729.0
