date,open,high,low,close,volume
2015-05-26 04:00:00,27.44,27.555,27.35,27.44,722193.0
2015-05-27 04:00:00,27.49,27.575,27.263,27.47,831701.0
2015-05-28 04:00:00,27.47,27.58,27.41,27.49,600639.0
2015-05-29 04:00:00,27.56,27.65,27.38,27.59,860759.0
2015-06-01 04:00:00,27.75,27.83,27.6,27.63,1034240.0
2015-06-02 04:00:00,27.68,27.8,27.58,27.75,540670.0
2015-06-03 04:00:00,27.75,27.825,27.69,27.77,916185.0
2015-06-04 04:00:00,27.67,27.79,26.25,26.48,2488070.0
2015-06-05 04:00:00,26.45,27.155,26.35,27.13,1550485.0
2015-06-08 04:00:00,27.11,27.16,26.4,26.48,700770.0
2015-06-09 04:00:00,26.44,26.7,26.29,26.42,708807.0
2015-06-10 04:00:00,26.54,26.82,26.43,26.69,1036045.0
2015-06-11 04:00:00,26.7,26.97,26.65,26.93,589319.0
2015-06-12 04:00:00,26.75,27.3,26.686,27.03,684245.0
2015-06-15 04:00:00,26.91,27.28,26.7,27.14,515170.0
2015-06-16 04:00:00,27.06,27.16,26.62,26.89,475285.0
2015-06-17 04:00:00,27.02,27.23,26.92,27.14,466965.0
2015-06-18 04:00:00,27.24,27.24,26.6,26.69,451980.0
2015-06-19 04:00:00,26.7,26.8,26.44,26.45,652812.0
2015-06-22 04:00:00,26.6,26.86,26.5,26.75,458900.0
2015-06-23 04:00:00,26.82,27.27,26.765,27.2,533437.0
2015-06-24 04:00:00,27.21,27.26,26.92,26.96,547455.0
2015-06-25 04:00:00,27.1,27.265,26.52,26.71,647215.0
2015-06-26 04:00:00,26.82,26.86,26.49,26.57,862547.0
2015-06-29 04:00:00,26.37,26.64,26.11,26.16,511865.0
2015-06-30 04:00:00,26.3,26.3,26.0,26.03,383130.0
2015-07-01 04:00:00,26.17,26.36,25.69,25.7,494822.0
2015-07-02 04:00:00,25.69,25.87,25.64,25.7,243756.0
2015-07-06 04:00:00,25.5,26.1,25.34,25.99,676922.0
2015-07-07 04:00:00,25.99,26.08,25.34,25.76,445368.0
2015-07-08 04:00:00,25.57,25.61,24.835,25.05,483458.0
2015-07-09 04:00:00,25.31,25.32,24.87,24.92,447686.0
2015-07-10 04:00:00,25.2,25.57,25.01,25.45,484742.0
2015-07-13 04:00:00,25.6,25.87,25.6,25.85,263166.0
2015-07-14 04:00:00,25.82,25.94,25.71,25.77,270520.0
2015-07-15 04:00:00,25.72,25.85,25.4,25.45,274918.0
2015-07-16 04:00:00,25.51,25.66,25.31,25.56,610410.0
2015-07-17 04:00:00,25.59,25.93,25.59,25.88,295559.0
2015-07-20 04:00:00,25.96,26.0,25.57,25.7,475540.0
2015-07-21 04:00:00,25.72,26.255,25.67,26.07,406042.0
2015-07-22 04:00:00,26.04,26.37,26.01,26.17,362922.0
2015-07-23 04:00:00,26.26,26.38,25.96,25.99,576636.0
2015-07-24 04:00:00,25.94,26.16,25.8,25.83,377011.0
2015-07-27 04:00:00,25.69,25.92,25.66,25.71,347200.0
2015-07-28 04:00:00,25.82,25.83,25.38,25.4,240482.0
2015-07-29 04:00:00,25.39,25.45,24.98,25.11,488293.0
2015-07-30 04:00:00,25.03,25.03,24.655,24.75,489565.0
2015-07-31 04:00:00,24.76,25.19,24.76,24.96,387924.0
2015-08-03 04:00:00,25.0,25.0,24.34,24.47,360884.0
2015-08-04 04:00:00,24.46,24.6,24.2,24.3,453546.0
2015-08-05 04:00:00,24.38,24.66,23.96,24.09,573966.0
2015-08-06 04:00:00,21.99,22.178,13.78,16.28,10548398.0
2015-08-07 04:00:00,15.53,16.57,14.98,15.6,4742280.0
2015-08-10 04:00:00,16.23,16.63,15.355,16.5,3467112.0
2015-08-11 04:00:00,16.23,17.03,16.14,16.98,1775805.0
2015-08-12 04:00:00,16.87,17.23,16.6,16.93,2201328.0
2015-08-13 04:00:00,16.79,17.03,16.315,16.46,1043117.0
2015-08-14 04:00:00,16.45,16.68,16.2701,16.5,797374.0
2015-08-17 04:00:00,16.43,16.5,16.11,16.28,929931.0
2015-08-18 04:00:00,16.26,16.36,15.67,15.99,1122245.0
2015-08-19 04:00:00,15.97,16.19,15.34,15.96,1188345.0
2015-08-20 04:00:00,15.87,16.48,15.63,16.02,1800253.0
2015-08-21 04:00:00,15.75,16.66,15.68,16.08,1576341.0
2015-08-24 04:00:00,15.33,16.09,15.08,15.84,1625907.0
2015-08-25 04:00:00,16.22,16.29,15.825,15.86,876839.0
2015-08-26 04:00:00,16.16,16.3,15.7,16.27,764618.0
2015-08-27 04:00:00,16.4,16.64,16.23,16.39,1010531.0
2015-08-28 04:00:00,16.33,16.36,16.06,16.29,479957.0
2015-08-31 04:00:00,16.16,16.38,16.07,16.2,504307.0
2015-09-01 04:00:00,15.96,16.22,15.78,15.83,726523.0
2015-09-02 04:00:00,16.0,16.01,15.5,15.91,509228.0
2015-09-03 04:00:00,15.95,16.18,15.73,15.81,612917.0
2015-09-04 04:00:00,15.62,15.71,15.435,15.6,385834.0
2015-09-08 04:00:00,15.82,15.965,15.52,15.9,799262.0
2015-09-09 04:00:00,16.0,16.17,15.69,15.71,564522.0
2015-09-10 04:00:00,15.68,16.11,15.68,15.93,452394.0
2015-09-11 04:00:00,15.83,16.02,15.76,16.02,704984.0
2015-09-14 04:00:00,16.03,16.1,15.87,16.02,386634.0
2015-09-15 04:00:00,16.07,16.14,15.7275,15.9,548495.0
2015-09-16 04:00:00,15.9,16.14,15.9,15.98,554234.0
2015-09-17 04:00:00,16.01,16.08,15.85,15.87,653874.0
2015-09-18 04:00:00,15.75,15.79,15.36,15.49,1510745.0
2015-09-21 04:00:00,15.55,15.7,15.51,15.65,627356.0
2015-09-22 04:00:00,15.5,15.55,15.14,15.3,558753.0
2015-09-23 04:00:00,15.31,15.341,15.04,15.17,351669.0
2015-09-24 04:00:00,15.06,15.28,14.9,15.25,318329.0
2015-09-25 04:00:00,15.37,15.4,14.75,14.8,439160.0
2015-09-28 04:00:00,14.73,14.79,14.18,14.27,305037.0
2015-09-29 04:00:00,14.27,14.34,13.85,13.95,313245.0
2015-09-30 04:00:00,14.41,14.41,13.92,14.12,490443.0
2015-10-01 04:00:00,14.11,14.25,13.74,13.89,407257.0
2015-10-02 04:00:00,13.78,13.95,13.61,13.91,576749.0
2015-10-05 04:00:00,13.95,14.57,13.95,14.43,1128029.0
2015-10-06 04:00:00,14.47,14.69,14.39,14.51,513724.0
2015-10-07 04:00:00,14.61,15.73,14.56,15.45,1069627.0
2015-10-08 04:00:00,15.47,15.85,15.45,15.61,1183078.0
2015-10-09 04:00:00,15.67,16.05,15.59,15.74,716225.0
2015-10-12 04:00:00,15.76,15.7625,15.38,15.54,553741.0
2015-10-13 04:00:00,15.52,15.75,15.215,15.24,546959.0
2015-10-14 04:00:00,15.25,15.25,14.72,14.89,339766.0
2015-10-15 04:00:00,14.94,15.47,14.87,15.42,372166.0
2015-10-16 04:00:00,15.44,15.62,15.11,15.18,320302.0
2015-10-19 04:00:00,15.1,15.2835,14.94,14.98,371785.0
2015-10-20 04:00:00,14.98,15.24,14.92,14.98,244620.0
2015-10-21 04:00:00,15.02,15.1,14.355,14.39,276499.0
2015-10-22 04:00:00,14.44,14.595,14.05,14.2,405830.0
2015-10-23 04:00:00,14.34,14.545,14.165,14.41,437377.0
2015-10-26 04:00:00,14.34,14.57,14.08,14.44,511033.0
2015-10-27 04:00:00,14.33,14.33,13.25,13.97,918264.0
2015-10-28 04:00:00,13.98,14.8,13.96,14.22,1306470.0
2015-10-29 04:00:00,14.21,15.04,14.2,14.79,1346423.0
2015-10-30 04:00:00,14.81,14.84,14.44,14.7,933127.0
2015-11-02 05:00:00,14.67,15.48,14.67,15.39,781277.0
2015-11-03 05:00:00,15.38,15.55,14.91,14.95,643916.0
2015-11-04 05:00:00,14.94,14.96,14.42,14.57,1017390.0
2015-11-05 05:00:00,14.82,17.61,14.8165,16.89,2098890.0
2015-11-06 05:00:00,16.64,18.68,16.42,17.55,2430465.0
2015-11-09 05:00:00,17.45,17.68,16.63,16.9,1008918.0
2015-11-10 05:00:00,16.9,17.015,16.49,16.88,753363.0
2015-11-11 05:00:00,16.99,17.17,16.45,16.47,604653.0
2015-11-12 05:00:00,16.23,16.748,15.89,15.91,637971.0
2015-11-13 05:00:00,15.8,16.06,15.495,15.53,927888.0
2015-11-16 05:00:00,15.54,16.02,15.36,16.02,759475.0
2015-11-17 05:00:00,16.08,16.23,15.71,15.86,717045.0
2015-11-18 05:00:00,15.82,16.35,15.82,16.13,633595.0
2015-11-19 05:00:00,16.08,16.49,16.08,16.43,597965.0
2015-11-20 05:00:00,16.55,16.86,16.45,16.52,512540.0
2015-11-23 05:00:00,16.49,16.83,16.42,16.67,463380.0
2015-11-24 05:00:00,16.65,16.9,16.29,16.72,620175.0
2015-11-25 05:00:00,16.71,16.75,16.385,16.6,627396.0
2015-11-27 05:00:00,16.57,17.2,16.565,16.91,402875.0
2015-11-30 05:00:00,16.99,17.15,16.81,16.97,773025.0
2015-12-01 05:00:00,17.01,17.2,16.56,16.74,515527.0
2015-12-02 05:00:00,16.71,16.86,16.04,16.15,548567.0
2015-12-03 05:00:00,16.24,16.24,15.82,15.83,586768.0
2015-12-04 05:00:00,15.78,15.81,15.39,15.45,753585.0
2015-12-07 05:00:00,15.31,15.363,15.07,15.15,459974.0
2015-12-08 05:00:00,14.88,15.28,14.81,15.05,430641.0
2015-12-09 05:00:00,15.05,15.3499,14.81,14.82,421965.0
2015-12-10 05:00:00,14.8,15.16,14.69,15.02,473452.0
2015-12-11 05:00:00,14.76,14.89,14.36,14.39,500159.0
2015-12-14 05:00:00,14.43,14.48,14.12,14.34,548960.0
2015-12-15 05:00:00,14.4,14.96,14.4,14.77,563201.0
2015-12-16 05:00:00,14.91,15.5101,14.81,15.46,1145257.0
2015-12-17 05:00:00,15.51,15.935,15.15,15.22,664710.0
2015-12-18 05:00:00,15.15,15.63,14.55,14.61,1441082.0
2015-12-21 05:00:00,14.68,14.77,14.44,14.75,518294.0
2015-12-22 05:00:00,14.81,15.54,14.73,15.37,830646.0
2015-12-23 05:00:00,15.42,16.33,15.42,16.01,878168.0
2015-12-24 05:00:00,16.05,16.58,15.86,16.36,551391.0
2015-12-28 05:00:00,16.39,16.39,15.83,15.93,408643.0
2015-12-29 05:00:00,16.0,16.52,15.89,16.45,614978.0
2015-12-30 05:00:00,16.43,16.66,16.1475,16.2,508564.0
2015-12-31 05:00:00,16.16,16.45,16.07,16.2,456959.0
2016-01-04 05:00:00,15.89,16.5,15.76,16.27,545920.0
2016-01-05 05:00:00,16.27,16.45,15.91,16.0,533014.0
2016-01-06 05:00:00,15.73,16.27,15.72,15.9,623838.0
2016-01-07 05:00:00,15.52,15.87,15.28,15.28,1180126.0
2016-01-08 05:00:00,15.32,15.54,14.66,14.67,788729.0
2016-01-11 05:00:00,14.78,14.84,14.27,14.46,615279.0
2016-01-12 05:00:00,14.67,14.95,13.97,14.46,917660.0
2016-01-13 05:00:00,14.49,14.77,13.6,13.64,692016.0
2016-01-14 05:00:00,13.73,13.75,13.12,13.59,667788.0
2016-01-15 05:00:00,13.11,13.23,12.34,12.91,731615.0
2016-01-19 05:00:00,13.06,13.06,11.87,12.13,780308.0
2016-01-20 05:00:00,11.89,12.49,11.15,12.27,948605.0
2016-01-21 05:00:00,12.22,13.11,12.14,12.47,629179.0
2016-01-22 05:00:00,12.76,13.2,12.48,12.8,773506.0
2016-01-25 05:00:00,12.62,12.66,11.51,11.53,754141.0
2016-01-26 05:00:00,11.54,11.88,11.21,11.8,410561.0
2016-01-27 05:00:00,11.85,12.3197,11.68,11.83,484504.0
2016-01-28 05:00:00,12.06,12.07,11.5,11.64,391898.0
2016-01-29 05:00:00,11.67,12.3,11.67,12.28,857673.0
2016-02-01 05:00:00,12.15,12.49,11.79,12.35,491104.0
2016-02-02 05:00:00,12.07,12.18,11.595,11.81,542798.0
2016-02-03 05:00:00,11.93,12.03,11.33,11.9,406869.0
2016-02-04 05:00:00,11.89,12.4,11.45,12.01,715070.0
2016-02-05 05:00:00,11.96,12.32,11.56,11.59,545624.0
2016-02-08 05:00:00,11.33,11.53,11.06,11.5,691969.0
2016-02-09 05:00:00,11.22,11.44,10.65,10.84,538368.0
2016-02-10 05:00:00,10.99,11.26,10.65,10.81,740109.0
2016-02-11 05:00:00,10.52,10.69,10.01,10.3,757541.0
2016-02-12 05:00:00,10.29,11.01,10.19,11.01,727837.0
2016-02-16 05:00:00,11.14,11.5,10.88,11.45,679704.0
2016-02-17 05:00:00,11.6,11.87,11.46,11.51,427186.0
2016-02-18 05:00:00,11.57,11.62,11.145,11.52,522559.0
2016-02-19 05:00:00,11.42,11.48,10.85,11.2,332326.0
2016-02-22 05:00:00,11.42,12.22,11.35,12.05,756179.0
2016-02-23 05:00:00,11.9,11.96,11.52,11.71,444238.0
2016-02-24 05:00:00,11.45,11.975,11.22,11.89,498598.0
2016-02-25 05:00:00,11.5,11.5,8.55,8.83,2980430.0
2016-02-26 05:00:00,8.72,9.4,8.2601,9.15,1366355.0
2016-02-29 05:00:00,8.98,9.28,8.94,9.07,977904.0
2016-03-01 05:00:00,9.14,9.31,8.88,9.2,737155.0
2016-03-02 05:00:00,9.26,9.9,9.23,9.74,1049130.0
2016-03-03 05:00:00,9.78,10.57,9.64,10.27,1113838.0
2016-03-04 05:00:00,10.37,10.76,9.98,10.41,674954.0
2016-03-07 05:00:00,10.4,10.91,10.25,10.82,626560.0
2016-03-08 05:00:00,10.72,10.83,10.16,10.21,489816.0
2016-03-09 05:00:00,10.24,10.565,10.04,10.45,442068.0
2016-03-10 05:00:00,11.25,12.13,11.14,11.5,1410829.0
2016-03-11 05:00:00,11.59,11.83,11.28,11.74,532351.0
2016-03-14 04:00:00,11.75,11.92,11.44,11.56,379911.0
2016-03-15 04:00:00,11.44,11.44,11.04,11.27,397278.0
2016-03-16 04:00:00,11.24,11.6,11.175,11.55,404310.0
2016-03-17 04:00:00,11.54,12.39,11.5,12.28,988382.0
2016-03-18 04:00:00,12.39,12.87,12.22,12.83,1109868.0
2016-03-21 04:00:00,12.75,13.0,12.38,12.56,715267.0
2016-03-22 04:00:00,12.39,12.63,12.28,12.52,461954.0
2016-03-23 04:00:00,12.44,12.52,11.73,11.83,728846.0
2016-03-24 04:00:00,11.67,12.13,11.415,12.12,828141.0
2016-03-28 04:00:00,12.17,12.17,11.46,11.84,725180.0
2016-03-29 04:00:00,11.78,12.17,11.32,12.16,465769.0
2016-03-30 04:00:00,12.23,12.4,11.9,12.02,430100.0
2016-03-31 04:00:00,12.05,12.64,12.05,12.54,924123.0
2016-04-01 04:00:00,12.33,12.6,11.96,12.54,471570.0
2016-04-04 04:00:00,12.55,12.67,12.03,12.08,455031.0
2016-04-05 04:00:00,11.96,12.2,11.77,11.98,254735.0
2016-04-06 04:00:00,11.99,12.19,11.83,12.07,203196.0
2016-04-07 04:00:00,11.95,12.25,11.95,12.19,849020.0
2016-04-08 04:00:00,12.4,12.85,12.36,12.43,358873.0
2016-04-11 04:00:00,9.76,11.04,9.73,10.28,3221033.0
2016-04-12 04:00:00,9.98,10.62,9.87,10.33,1295387.0
2016-04-13 04:00:00,10.53,11.2,10.45,11.17,849238.0
2016-04-14 04:00:00,11.28,11.61,11.13,11.46,766535.0
2016-04-15 04:00:00,11.41,11.66,11.28,11.3,301004.0
2016-04-18 04:00:00,11.15,11.58,11.12,11.49,427945.0
2016-04-19 04:00:00,11.55,11.73,11.44,11.51,458995.0
2016-04-20 04:00:00,11.53,11.88,11.41,11.8,443501.0
2016-04-21 04:00:00,11.81,12.0337,11.63,11.8,457882.0
2016-04-22 04:00:00,11.88,12.3,11.88,12.2,565747.0
2016-04-25 04:00:00,12.19,12.72,12.19,12.7,1095658.0
2016-04-26 04:00:00,12.82,13.12,12.71,12.92,1021952.0
2016-04-27 04:00:00,12.96,13.35,12.8,13.19,684347.0
2016-04-28 04:00:00,13.05,13.185,12.65,12.7,438619.0
2016-04-29 04:00:00,12.73,13.08,12.54,12.83,1215498.0
2016-05-02 04:00:00,12.84,12.96,12.42,12.71,357372.0
2016-05-03 04:00:00,12.47,12.68,11.97,12.21,427949.0
2016-05-04 04:00:00,12.19,12.45,11.99,12.0,521055.0
2016-05-05 04:00:00,11.1,13.42,11.1,12.9,1385709.0
2016-05-06 04:00:00,12.77,13.51,12.77,13.03,576760.0
2016-05-09 04:00:00,12.95,13.165,12.72,12.99,403423.0
2016-05-10 04:00:00,13.1,13.25,12.9,13.16,667044.0
2016-05-11 04:00:00,13.13,13.35,12.87,12.92,454242.0
2016-05-12 04:00:00,13.0,13.135,12.46,12.72,368821.0
2016-05-13 04:00:00,12.64,13.0,12.58,12.7,345718.0
2016-05-16 04:00:00,12.77,13.05,12.61,12.87,435273.0
2016-05-17 04:00:00,12.84,13.29,12.76,12.91,463446.0
2016-05-18 04:00:00,12.84,13.39,12.77,12.99,775225.0
2016-05-19 04:00:00,12.8,13.14,12.62,12.8,414052.0
2016-05-20 04:00:00,12.88,13.11,12.75,13.0,471287.0
2016-05-23 04:00:00,12.98,13.11,12.77,12.99,562494.0
2016-05-24 04:00:00,13.0,13.62,12.875,13.46,589950.0
2016-05-25 04:00:00,13.5,13.75,13.44,13.65,768263.0
2016-05-26 04:00:00,13.71,14.0,13.48,13.89,878172.0
2016-05-27 04:00:00,13.89,14.23,13.875,14.12,785725.0
2016-05-31 04:00:00,14.2,14.35,14.03,14.28,691954.0
2016-06-01 04:00:00,14.12,14.55,14.06,14.43,830487.0
2016-06-02 04:00:00,14.34,14.81,14.34,14.78,731435.0
2016-06-03 04:00:00,14.7,14.7,14.22,14.49,553522.0
2016-06-06 04:00:00,14.51,14.87,14.34,14.68,740369.0
2016-06-07 04:00:00,14.7,14.86,14.52,14.66,436989.0
2016-06-08 04:00:00,14.71,14.86,14.54,14.66,399495.0
2016-06-09 04:00:00,14.51,14.6,14.05,14.23,422248.0
2016-06-10 04:00:00,13.98,14.19,13.75,13.97,541424.0
2016-06-13 04:00:00,13.93,14.09,13.56,13.63,485895.0
2016-06-14 04:00:00,13.58,13.84,13.21,13.38,679433.0
2016-06-15 04:00:00,13.46,13.69,13.19,13.37,581094.0
2016-06-16 04:00:00,13.25,13.35,12.79,13.24,495869.0
2016-06-17 04:00:00,13.29,13.65,13.22,13.5,901920.0
2016-06-20 04:00:00,13.76,14.16,13.74,13.98,499217.0
2016-06-21 04:00:00,13.95,14.05,13.71,13.99,447780.0
2016-06-22 04:00:00,14.03,14.15,13.62,13.75,1013368.0
2016-06-23 04:00:00,13.95,14.43,13.94,14.41,408369.0
2016-06-24 04:00:00,13.52,13.87,13.26,13.64,1522438.0
2016-06-27 04:00:00,13.46,13.54,12.245,12.38,1277528.0
2016-06-28 04:00:00,12.74,12.94,12.605,12.87,461789.0
2016-06-29 04:00:00,13.13,13.33,12.99,13.31,376071.0
2016-06-30 04:00:00,13.37,13.5,13.13,13.32,683577.0
2016-07-01 04:00:00,13.4,13.83,13.31,13.55,405766.0
2016-07-05 04:00:00,13.38,13.39,12.76,12.9,641186.0
2016-07-06 04:00:00,12.74,13.05,12.61,12.94,561097.0
2016-07-07 04:00:00,13.08,13.35,12.89,13.21,446788.0
2016-07-08 04:00:00,13.49,13.93,13.48,13.87,397039.0
2016-07-11 04:00:00,13.97,14.26,13.94,14.18,237680.0
2016-07-12 04:00:00,14.44,14.63,14.37,14.46,645822.0
2016-07-13 04:00:00,14.59,14.69,14.12,14.24,566633.0
2016-07-14 04:00:00,14.42,14.53,14.23,14.32,271979.0
2016-07-15 04:00:00,14.45,14.5299,14.23,14.47,267329.0
2016-07-18 04:00:00,14.43,14.54,14.33,14.48,270635.0
2016-07-19 04:00:00,14.49,14.75,14.44,14.63,347419.0
2016-07-20 04:00:00,14.61,14.73,14.42,14.47,344358.0
2016-07-21 04:00:00,14.42,14.61,14.4,14.56,532697.0
2016-07-22 04:00:00,14.58,14.87,14.56,14.61,417128.0
2016-07-25 04:00:00,14.54,14.805,14.43,14.68,369552.0
2016-07-26 04:00:00,14.73,14.95,14.65,14.76,273025.0
2016-07-27 04:00:00,14.8,14.9,14.55,14.62,250154.0
2016-07-28 04:00:00,14.56,14.805,14.4,14.67,228502.0
2016-07-29 04:00:00,14.61,14.82,14.5,14.61,240232.0
2016-08-01 04:00:00,14.52,14.66,14.31,14.38,308534.0
2016-08-02 04:00:00,14.4,14.58,13.96,14.06,256523.0
2016-08-03 04:00:00,14.1,14.42,14.02,14.41,386793.0
2016-08-04 04:00:00,14.41,14.745,14.36,14.54,341883.0
2016-08-05 04:00:00,14.76,15.05,14.76,14.99,509784.0
2016-08-08 04:00:00,15.07,15.27,14.96,15.03,532505.0
2016-08-09 04:00:00,16.74,16.8,15.01,15.18,1158330.0
2016-08-10 04:00:00,15.19,15.32,14.89,14.92,402168.0
2016-08-11 04:00:00,14.01,15.06,13.6,15.04,393199.0
2016-08-12 04:00:00,15.0,15.49,14.99,15.4,346211.0
2016-08-15 04:00:00,15.51,15.83,15.45,15.61,917941.0
2016-08-16 04:00:00,15.57,15.75,15.44,15.66,571265.0
2016-08-17 04:00:00,15.69,15.69,15.55,15.65,533969.0
2016-08-18 04:00:00,15.69,15.85,15.6,15.8,838940.0
2016-08-19 04:00:00,15.78,15.92,15.505,15.82,692008.0
2016-08-22 04:00:00,15.73,15.73,15.27,15.31,500227.0
2016-08-23 04:00:00,15.32,15.55,15.29,15.3,559306.0
2016-08-24 04:00:00,15.27,15.44,14.99,15.02,280164.0
2016-08-25 04:00:00,14.84,15.03,14.2715,14.74,766854.0
2016-08-26 04:00:00,14.75,14.89,14.51,14.6,706869.0
2016-08-29 04:00:00,14.64,15.25,14.64,15.01,742845.0
2016-08-30 04:00:00,15.05,15.53,15.05,15.51,1177178.0
2016-08-31 04:00:00,15.5,15.61,15.26,15.3,635399.0
2016-09-01 04:00:00,15.29,15.39,14.95,15.24,350184.0
2016-09-02 04:00:00,15.39,15.5,15.25,15.42,237781.0
2016-09-06 04:00:00,15.47,15.54,15.22,15.29,471552.0
2016-09-07 04:00:00,15.31,15.41,15.23,15.27,260257.0
2016-09-08 04:00:00,15.3,15.3,15.17,15.23,251213.0
2016-09-09 04:00:00,15.12,15.23,14.82,14.89,373141.0
2016-09-12 04:00:00,14.75,14.99,14.58,14.95,397222.0
2016-09-13 04:00:00,14.74,14.76,14.28,14.46,769232.0
2016-09-14 04:00:00,14.41,14.52,14.22,14.34,261136.0
2016-09-15 04:00:00,14.33,14.58,14.23,14.5,209715.0
2016-09-16 04:00:00,14.4,14.53,14.26,14.34,633158.0
2016-09-19 04:00:00,14.39,14.58,14.08,14.21,289867.0
2016-09-20 04:00:00,14.32,14.32,13.85,14.23,440344.0
2016-09-21 04:00:00,14.31,14.48,14.18,14.37,248554.0
2016-09-22 04:00:00,14.53,14.63,14.38,14.49,234286.0
2016-09-23 04:00:00,14.42,14.49,14.21,14.33,272045.0
2016-09-26 04:00:00,14.28,14.31,13.98,14.01,238351.0
2016-09-27 04:00:00,13.91,14.21,13.84,14.21,411045.0
2016-09-28 04:00:00,14.23,14.75,14.23,14.69,1585024.0
2016-09-29 04:00:00,14.71,14.71,13.93,14.21,521645.0
2016-09-30 04:00:00,14.34,14.51,14.2,14.45,730021.0
2016-10-03 04:00:00,14.38,14.78,14.17,14.77,442953.0
2016-10-04 04:00:00,14.75,14.9,14.63,14.79,206537.0
2016-10-05 04:00:00,14.97,15.16,14.91,15.03,338299.0
2016-10-06 04:00:00,15.06,15.06,14.78,14.83,186266.0
2016-10-07 04:00:00,14.77,14.83,14.4,14.57,217038.0
2016-10-10 04:00:00,14.71,14.9,14.65,14.76,151388.0
2016-10-11 04:00:00,14.63,15.48,14.315,14.89,1069110.0
2016-10-12 04:00:00,14.88,15.27,14.88,14.92,552850.0
