date,open,high,low,close,volume
2022-07-26 04:00:00,8.0,8.2,7.6032,7.7608,11730.25
2022-07-27 04:00:00,7.8424,7.9992,7.52,7.9984,14923.5
2022-07-28 04:00:00,7.9992,9.2,7.804,8.4,14103.375
2022-07-29 04:00:00,8.4,8.96,8.3208,8.72,5172.375
2022-08-01 04:00:00,8.56,8.72,8.24,8.64,5044.125
2022-08-02 04:00:00,8.32,8.56,8.0696,8.32,7472.75
2022-08-03 04:00:00,8.4,8.72,8.32,8.4808,2863.375
2022-08-04 04:00:00,8.56,8.96,8.48,8.8008,8678.75
2022-08-05 04:00:00,8.64,9.12,8.56,8.96,9335.625
2022-08-08 04:00:00,8.64,9.28,8.56,8.8808,9656.5
2022-08-09 04:00:00,9.0864,9.0864,8.32,8.32,9978.0
2022-08-10 04:00:00,8.8,8.8,8.64,8.72,7542.75
2022-08-11 04:00:00,8.72,8.88,8.64,8.72,2646.0
2022-08-12 04:00:00,8.56,8.8,8.4,8.48,7347.875
2022-08-15 04:00:00,8.4,8.56,8.16,8.24,7282.5
2022-08-16 04:00:00,8.32,9.52,8.0,9.2,39452.25
2022-08-17 04:00:00,8.96,9.04,8.64,8.72,8767.25
2022-08-18 04:00:00,8.48,9.52,8.4,9.2,38873.625
2022-08-19 04:00:00,9.04,9.44,8.8008,9.08,25894.5
2022-08-22 04:00:00,8.8,9.04,8.16,8.32,14369.75
2022-08-23 04:00:00,8.48,8.48,8.0,8.24,11679.75
2022-08-24 04:00:00,8.24,8.48,8.16,8.32,3475.625
2022-08-25 04:00:00,8.4,8.464,7.9208,8.0,15008.375
2022-08-26 04:00:00,8.0,8.08,7.6008,7.684,18450.625
2022-08-29 04:00:00,7.92,8.56,7.8408,8.08,40544.75
2022-08-30 04:00:00,8.0,8.32,7.6008,7.9208,29169.625
2022-08-31 04:00:00,7.8944,8.16,7.6472,7.7624,3389.0
2022-09-01 04:00:00,7.676,7.9984,7.2008,7.28,13591.625
2022-09-02 04:00:00,7.2824,7.6816,6.8984,7.1208,17231.75
2022-09-06 04:00:00,7.6,7.6,7.044,7.28,6922.75
2022-09-07 04:00:00,7.128,7.5992,7.12,7.32,10343.0
