date,open,high,low,close,volume
2024-10-16 04:00:00,4.25,4.67,4.0,4.07,2694361.0
2024-10-17 04:00:00,4.1,4.49,4.04,4.14,302578.0
2024-10-18 04:00:00,4.23,4.64,4.21,4.5,238559.0
2024-10-21 04:00:00,4.37,4.8,4.3676,4.47,206305.0
2024-10-22 04:00:00,4.45,4.59,4.26,4.3,144320.0
2024-10-23 04:00:00,4.24,4.29,4.1532,4.18,90867.0
2024-10-24 04:00:00,4.07,4.22,4.02,4.1101,41049.0
2024-10-25 04:00:00,4.13,4.1682,4.07,4.11,15990.0
2024-10-28 04:00:00,4.01,4.1799,4.01,4.14,37372.0
2024-10-29 04:00:00,4.07,4.135,4.07,4.11,17227.0
2024-10-30 04:00:00,4.08,4.17,4.05,4.17,44117.0
2024-10-31 04:00:00,4.11,4.24,4.04,4.16,83461.0
2024-11-01 04:00:00,4.11,4.19,4.0701,4.16,40506.0
2024-11-04 05:00:00,4.07,4.18,4.07,4.18,43705.0
2024-11-05 05:00:00,4.2,4.24,4.1,4.17,37775.0
2024-11-06 05:00:00,4.1557,4.23,4.09,4.17,115570.0
2024-11-07 05:00:00,4.09,4.09,2.9001,3.01,848377.0
2024-11-08 05:00:00,3.0,3.1,3.0,3.04,279586.0
2024-11-11 05:00:00,3.12,3.5,3.1,3.1,77126.0
2024-11-12 05:00:00,3.044,3.0794,2.0101,2.52,726297.0
2024-11-13 05:00:00,2.52,2.65,2.4117,2.47,26694.0
2024-11-14 05:00:00,2.56,2.9,2.5,2.87,54948.0
2024-11-15 05:00:00,2.79,4.79,2.79,3.25,11201930.0
2024-11-18 05:00:00,2.8,3.74,2.8,3.46,556830.0
2024-11-19 05:00:00,3.7,3.97,3.57,3.94,1176814.0
2024-11-20 05:00:00,3.94,4.15,3.88,4.0,358162.0
2024-11-21 05:00:00,4.06,4.378,4.06,4.18,158499.0
2024-11-22 05:00:00,4.1,5.5,3.8,4.84,3025768.0
2024-11-25 05:00:00,4.8,6.79,4.8,6.69,3266967.0
2024-11-26 05:00:00,6.7591,7.3,6.25,7.3,2425364.0
2024-11-27 05:00:00,7.01,7.39,6.4,6.88,1115018.0
2024-11-29 05:00:00,6.81,7.28,6.6,7.1,455697.0
2024-12-02 05:00:00,7.25,7.29,6.91,6.91,229904.0
2024-12-03 05:00:00,7.0,7.25,6.91,7.09,186964.0
2024-12-04 05:00:00,7.0,7.53,6.65,7.21,1498951.0
2024-12-05 05:00:00,7.35,7.85,7.2,7.39,548966.0
2024-12-06 05:00:00,7.47,7.47,6.71,6.94,676781.0
2024-12-09 05:00:00,7.01,7.75,6.7852,7.62,156796.0
2024-12-10 05:00:00,7.62,8.1,7.4,7.76,379012.0
2024-12-11 05:00:00,7.57,8.9,7.57,8.37,831669.0
2024-12-12 05:00:00,8.37,8.72,5.54,8.1,992719.0
2024-12-13 05:00:00,8.3,10.188,7.39,9.48,439690.0
2024-12-16 05:00:00,9.48,9.79,8.5867,8.7,517802.0
2024-12-17 05:00:00,8.42,9.11,7.72,7.78,217393.0
2024-12-18 05:00:00,7.79,8.1604,6.82,7.76,500480.0
2024-12-19 05:00:00,7.55,8.6,7.23,8.43,1949030.0
2024-12-20 05:00:00,8.4,9.29,8.21,8.95,1618724.0
2024-12-23 05:00:00,9.3,9.85,8.8,9.57,1624423.0
2024-12-24 05:00:00,9.72,9.85,9.5,9.85,395872.0
2024-12-26 05:00:00,9.92,10.3,9.28,10.3,1527748.0
2024-12-27 05:00:00,10.22,10.79,9.3114,9.63,2442920.0
2024-12-30 05:00:00,9.5,10.54,8.0,10.31,1268716.0
2024-12-31 05:00:00,10.45,11.1235,10.1706,10.44,1145517.0
2025-01-02 05:00:00,10.49,12.84,10.04,12.19,2022092.0
2025-01-03 05:00:00,11.84,12.5609,7.39,7.39,1041377.0
2025-01-06 05:00:00,9.75,10.79,8.5,10.17,875739.0
2025-01-07 05:00:00,9.86,11.18,9.18,11.0,749163.0
2025-01-08 05:00:00,10.99,12.82,10.6,12.055,1514312.0
2025-01-10 05:00:00,12.06,13.979,11.7,12.32,1796544.0
2025-01-13 05:00:00,12.6,14.92,12.29,14.69,3215536.0
2025-01-14 05:00:00,14.66,15.78,14.0,14.52,2287957.0
2025-01-15 05:00:00,14.5,14.55,2.88,4.35,7875320.0
2025-01-16 05:00:00,3.405,3.6,2.75,3.25,2384277.0
2025-01-17 05:00:00,3.0,3.2028,2.75,2.98,1358988.0
2025-01-21 05:00:00,2.75,2.79,2.15,2.43,1171780.0
2025-01-22 05:00:00,2.28,3.75,2.24,3.2,4410516.0
2025-01-23 05:00:00,3.2,3.48,2.82,3.26,672848.0
2025-01-24 05:00:00,3.28,3.28,3.0,3.03,319275.0
2025-01-27 05:00:00,3.0,3.0199,2.41,2.56,314523.0
2025-01-28 05:00:00,2.63,2.6591,2.27,2.6,228046.0
2025-01-29 05:00:00,2.69,2.69,2.41,2.54,87020.0
2025-01-30 05:00:00,2.45,2.52,2.1899,2.41,261091.0
2025-01-31 05:00:00,2.48,2.48,2.25,2.26,65717.0
2025-02-03 05:00:00,2.11,2.18,2.0,2.06,182857.0
2025-02-04 05:00:00,2.0,2.11,2.0,2.03,138007.0
2025-02-05 05:00:00,2.05,2.08,1.45,1.7,346092.0
2025-02-06 05:00:00,1.55,1.68,1.39,1.42,277209.0
2025-02-07 05:00:00,1.38,1.45,1.22,1.32,224951.0
2025-02-10 05:00:00,1.32,1.48,1.28,1.34,161587.0
2025-02-11 05:00:00,1.27,1.34,1.242569,1.29,83417.0
2025-02-12 05:00:00,1.22,1.3,1.22,1.3,88593.0
2025-02-13 05:00:00,1.26,1.4,1.24,1.29,111615.0
2025-02-14 05:00:00,1.27,1.35,1.26,1.28,38193.0
2025-02-18 05:00:00,1.28,1.3,1.24,1.3,74678.0
2025-02-19 05:00:00,1.3,1.389,1.25,1.365,74761.0
2025-02-20 05:00:00,1.31,1.42,1.31,1.34,65492.0
2025-02-21 05:00:00,1.35,1.3798,1.26,1.32,81611.0
2025-02-24 05:00:00,1.29,1.32,1.27,1.27,34174.0
2025-02-25 05:00:00,1.29,1.29,1.1601,1.22,71921.0
2025-02-26 05:00:00,1.17,1.28,1.17,1.24,24126.0
2025-02-27 05:00:00,1.21,1.255,1.18,1.19,39967.0
2025-02-28 05:00:00,1.19,1.23,1.13,1.16,76831.0
2025-03-03 05:00:00,1.15,1.2402,1.15,1.22,51866.0
2025-03-04 05:00:00,1.23,1.27,1.16,1.25,59970.0
2025-03-05 05:00:00,1.21,1.27,1.21,1.24,19912.0
2025-03-06 05:00:00,1.2274,1.27,1.22,1.22,29638.0
2025-03-07 05:00:00,1.22,1.26,1.22,1.26,27804.0
2025-03-10 04:00:00,1.27,1.4413,1.11,1.31,92285.0
2025-03-11 04:00:00,1.31,1.57,1.25,1.35,109876.0
2025-03-12 04:00:00,1.46,1.49,1.3573,1.45,28352.0
2025-03-13 04:00:00,1.41,1.5269,1.3008,1.36,53698.0
2025-03-14 04:00:00,1.32,1.4192,1.23,1.31,115030.0
2025-03-17 04:00:00,1.3,1.3,1.26,1.28,22922.0
2025-03-18 04:00:00,1.28,1.3,1.22,1.29,85022.0
2025-03-19 04:00:00,1.25,1.37,1.25,1.35,47457.0
2025-03-20 04:00:00,1.3499,1.68,1.328,1.39,262098.0
2025-03-21 04:00:00,1.38,1.38,1.25,1.3,200313.0
2025-03-24 04:00:00,1.26,1.48,1.26,1.375,241144.0
2025-03-25 04:00:00,1.42,1.53,1.35,1.45,197964.0
2025-03-26 04:00:00,1.44,1.6407,1.38,1.49,365868.0
2025-03-27 04:00:00,1.46,1.9,1.46,1.85,444472.0
2025-03-28 04:00:00,1.72,1.95,1.31,1.37,563857.0
2025-03-31 04:00:00,1.28,1.51,1.25,1.31,220383.0
2025-04-01 04:00:00,1.3,1.5,1.3,1.45,141537.0
2025-04-02 04:00:00,1.43,1.5,1.3,1.31,148203.0
2025-04-03 04:00:00,1.31,1.5,1.27,1.2947,79706.0
2025-04-04 04:00:00,1.29,1.38,1.29,1.32,48912.0
2025-04-07 04:00:00,1.31,1.3699,1.25,1.33,119147.0
2025-04-08 04:00:00,1.31,1.37,1.31,1.31,48330.0
2025-04-09 04:00:00,1.3,1.39,1.3,1.3,202144.0
2025-04-10 04:00:00,1.28,1.3,1.15,1.19,569164.0
2025-04-11 04:00:00,1.21,1.21,1.1501,1.1599,68013.0
2025-04-14 04:00:00,1.15,1.3199,1.15,1.26,1296544.0
2025-04-15 04:00:00,1.25,1.29,1.25,1.258,112548.0
2025-04-16 04:00:00,1.24,1.29,1.16,1.21,104209.0
2025-04-17 04:00:00,1.195,1.22,1.185,1.19,74671.0
2025-04-21 04:00:00,1.23,1.2799,1.16,1.2,95763.0
2025-04-22 04:00:00,1.2333,1.2392,1.15,1.17,52009.0
2025-04-23 04:00:00,1.14,1.24,1.14,1.23,86918.0
2025-04-24 04:00:00,1.23,1.2799,1.17,1.25,14980.0
2025-04-25 04:00:00,1.19,1.28,1.19,1.245,6981.0
2025-04-28 04:00:00,1.28,1.55,1.245,1.36,2644571.0
2025-04-29 04:00:00,1.21,1.25,1.1,1.13,472027.0
2025-04-30 04:00:00,1.1,1.25,1.09,1.19,170972.0
2025-05-01 04:00:00,1.15,1.235,1.12,1.2,54928.0
2025-05-02 04:00:00,1.16,1.21,1.1463,1.16,90369.0
2025-05-05 04:00:00,1.21,1.2203,1.17,1.183,23615.0
2025-05-06 04:00:00,1.17,1.879,1.16,1.53,2168511.0
2025-05-07 04:00:00,1.53,1.53,1.35,1.35,108662.0
2025-05-08 04:00:00,1.354,1.48,1.18,1.23,1051671.0
2025-05-09 04:00:00,1.25,1.4,1.12,1.39,349650.0
2025-05-12 04:00:00,1.36,1.49,1.33,1.4,66263.0
2025-05-13 04:00:00,1.42,1.49,1.35,1.43,261157.0
2025-05-14 04:00:00,1.48,1.53,1.3527,1.39,264435.0
2025-05-15 04:00:00,1.47,1.81,1.33,1.425,1573709.0
2025-05-16 04:00:00,1.4,1.6,1.34,1.38,5705955.0
2025-05-19 04:00:00,1.43,1.47,1.38,1.41,887991.0
