date,open,high,low,close,volume
2023-08-07 04:00:00,0.87,0.87,0.75,0.752,1668414.0
2023-08-08 04:00:00,0.665,0.88,0.6601,0.85,270950.0
2023-08-09 04:00:00,1.86,2.34,1.31,1.55,33944284.0
2023-08-10 04:00:00,1.4,1.71,1.37,1.48,2983426.0
2023-08-11 04:00:00,1.43,1.62,1.34,1.56,926746.0
2023-08-14 04:00:00,1.61,1.9,1.61,1.83,921557.0
2023-08-15 04:00:00,1.75,1.765,1.4,1.43,335961.0
2023-08-16 04:00:00,1.33,1.63,1.33,1.55,183416.0
2023-08-17 04:00:00,1.64,1.66,1.46,1.62,503454.0
2023-08-18 04:00:00,1.62,1.67,1.56,1.67,142082.0
2023-08-21 04:00:00,1.7,2.0,1.61,1.8,315079.0
2023-08-22 04:00:00,1.89,2.2,1.89,2.15,574782.0
2023-08-23 04:00:00,2.15,2.19,1.92,2.0,255617.0
2023-08-24 04:00:00,2.06,2.48,1.992,2.44,358284.0
2023-08-25 04:00:00,2.4,2.78,2.25,2.45,408725.0
2023-08-28 04:00:00,2.41,2.4599,2.19,2.38,174276.0
2023-08-29 04:00:00,2.35,2.71,2.34,2.6,148320.0
2023-08-30 04:00:00,2.67,3.05,2.536,2.94,635248.0
2023-08-31 04:00:00,3.0,3.24,2.74,3.13,339131.0
2023-09-01 04:00:00,3.38,3.38,3.0,3.26,457912.0
2023-09-05 04:00:00,3.33,3.58,3.1,3.44,368336.0
2023-09-06 04:00:00,3.5,3.59,3.095,3.2,239107.0
2023-09-07 04:00:00,3.2,3.3,3.06,3.23,189037.0
2023-09-08 04:00:00,3.24,3.24,2.61,3.2,313419.0
2023-09-11 04:00:00,3.25,3.84,3.25,3.6,446240.0
2023-09-12 04:00:00,3.61,3.69,3.22,3.26,347183.0
2023-09-13 04:00:00,3.23,3.42,3.23,3.31,116654.0
2023-09-14 04:00:00,3.35,3.4837,3.1,3.17,77064.0
2023-09-15 04:00:00,3.1,3.1,2.9,3.01,282883.0
2023-09-18 04:00:00,3.0,3.1328,2.79,2.89,131399.0
2023-09-19 04:00:00,3.01,3.038,2.72,2.95,145821.0
2023-09-20 04:00:00,2.95,3.4199,2.95,3.39,482806.0
2023-09-21 04:00:00,3.4,3.87,3.36,3.85,543617.0
2023-09-22 04:00:00,3.99,3.99,3.6501,3.9,274005.0
2023-09-25 04:00:00,3.8,3.99,3.7,3.86,316235.0
2023-09-26 04:00:00,3.74,4.1,3.7201,3.8,170130.0
2023-09-27 04:00:00,3.8,3.91,3.64,3.8,347554.0
2023-09-28 04:00:00,3.89,4.1,3.7165,4.07,111631.0
2023-09-29 04:00:00,3.88,4.5,3.88,4.47,471024.0
2023-10-02 04:00:00,4.54,5.0,4.4001,4.7,437846.0
2023-10-03 04:00:00,4.7,4.7,4.2,4.55,173778.0
2023-10-04 04:00:00,4.5,4.65,4.3,4.65,207589.0
2023-10-05 04:00:00,4.94,4.95,4.1,4.3,216290.0
2023-10-06 04:00:00,4.3,4.62,4.06,4.6,257818.0
2023-10-09 04:00:00,4.38,4.48,4.2,4.35,38442.0
2023-10-10 04:00:00,4.1,5.25,4.08,5.18,624620.0
2023-10-11 04:00:00,5.08,5.25,4.75,4.875,360185.0
2023-10-12 04:00:00,5.0,5.0358,4.56,4.68,145980.0
2023-10-13 04:00:00,4.69,4.78,4.6135,4.7,86069.0
2023-10-16 04:00:00,4.7,4.7,4.47,4.51,104600.0
2023-10-17 04:00:00,4.45,4.65,4.23,4.23,278383.0
2023-10-18 04:00:00,4.16,4.4,3.8,3.84,203350.0
2023-10-19 04:00:00,3.85,3.88,3.37,3.45,257221.0
2023-10-20 04:00:00,3.38,3.41,2.44,3.0,563010.0
2023-10-23 04:00:00,3.03,3.17,2.72,2.76,224512.0
2023-10-24 04:00:00,2.88,2.89,2.4,2.55,250700.0
2023-10-25 04:00:00,2.6,3.09,2.6,2.89,183920.0
2023-10-26 04:00:00,2.89,2.89,2.6,2.8,136599.0
2023-10-27 04:00:00,2.78,2.85,2.68,2.71,49419.0
2023-10-30 04:00:00,2.71,2.785,2.65,2.78,74142.0
2023-10-31 04:00:00,2.81,2.85,2.68,2.84,100661.0
2023-11-01 04:00:00,2.9,3.0,2.81,2.9,71816.0
2023-11-02 04:00:00,2.94,3.1,2.92,3.05,133138.0
2023-11-03 04:00:00,3.1,3.28,3.04,3.21,73914.0
2023-11-06 05:00:00,3.5,3.51,2.77,2.79,187566.0
2023-11-07 05:00:00,2.72,2.96,2.59,2.87,61290.0
2023-11-08 05:00:00,2.94,2.94,2.65,2.79,42198.0
2023-11-09 05:00:00,2.84,2.84,2.61,2.79,32297.0
2023-11-10 05:00:00,2.83,3.1775,2.65,2.94,57864.0
2023-11-13 05:00:00,2.97,3.19,2.86,3.13,66613.0
2023-11-14 05:00:00,3.2,3.45,2.95,3.03,116103.0
2023-11-15 05:00:00,3.08,3.155,2.91,3.005,160700.0
2023-11-16 05:00:00,3.01,3.01,2.7455,2.815,61822.0
