date,open,high,low,close,volume
2017-05-12 04:00:00,40.5,56.25,40.5,55.5,85.6
2017-05-15 04:00:00,55.4925,55.5,46.5,52.5,169.88
2017-05-16 04:00:00,52.5,52.5,50.25,52.5,262.9333
2017-05-17 04:00:00,48.75,52.5,40.5,45.75,230.8533
2017-05-18 04:00:00,45.75,51.0,41.3175,48.75,199.8533
2017-05-19 04:00:00,51.735,52.5,46.5,52.5,128.3867
2017-05-22 04:00:00,51.75,52.5,50.25,52.5,68.7867
2017-05-23 04:00:00,52.5,52.5,49.5,52.5,100.04
2017-05-24 04:00:00,49.5,52.425,49.5,51.7425,141.2533
2017-05-25 04:00:00,49.5,52.395,49.5,52.395,270.3467
2017-05-26 04:00:00,49.5,51.75,45.0,50.175,410.4533
2017-05-30 04:00:00,49.9425,50.25,45.4575,49.4925,420.32
2017-05-31 04:00:00,45.75,49.0575,42.1575,47.9925,395.32
2017-06-01 04:00:00,42.045,48.0,42.045,44.7375,342.04
2017-06-02 04:00:00,48.54,48.75,43.5075,46.5,196.4133
2017-06-05 04:00:00,47.9925,47.9925,43.5,47.25,300.4933
2017-06-06 04:00:00,43.5075,46.4925,43.5,45.0,282.8
2017-06-07 04:00:00,43.5075,44.25,41.625,42.0,535.3867
2017-06-08 04:00:00,43.5,46.5,41.7,46.425,126.1333
2017-06-09 04:00:00,46.5,46.5,43.5675,44.25,110.68
2017-06-12 04:00:00,48.0,48.0,43.725,46.5,96.44
2017-06-13 04:00:00,47.925,48.0,44.9925,47.25,71.04
2017-06-14 04:00:00,46.185,48.0,43.215,45.75,87.7467
2017-06-15 04:00:00,47.9925,48.0,46.5075,48.0,47.7467
2017-06-16 04:00:00,45.0,48.0,43.5,43.5,412.6267
2017-06-19 04:00:00,45.0,47.9925,44.25,46.635,11.2933
2017-06-20 04:00:00,43.7325,44.7825,42.0,43.11,282.88
2017-06-21 04:00:00,44.79,44.79,40.5,43.0875,77.3733
2017-06-22 04:00:00,39.375,46.305,39.375,41.25,189.1733
2017-06-23 04:00:00,39.75,44.325,35.3175,40.665,107.3733
2017-06-26 04:00:00,42.5625,42.75,37.53,39.0,99.4133
2017-06-27 04:00:00,39.0,42.795,37.83,37.83,92.0133
2017-06-28 04:00:00,42.675,42.675,38.25,38.325,99.9333
2017-06-29 04:00:00,39.69,41.9625,38.25,38.25,196.36
2017-06-30 04:00:00,41.2425,41.2425,36.8625,37.575,419.04
2017-07-03 04:00:00,37.5,39.75,37.5,39.75,39.0
2017-07-05 04:00:00,40.5,48.0,39.4425,45.75,1256.0533
2017-07-06 04:00:00,47.7225,48.0,37.65,42.0,402.1867
2017-07-07 04:00:00,41.925,56.2275,41.1825,46.5,8234.4533
2017-07-10 04:00:00,48.0,48.0225,41.3925,43.875,1030.2133
2017-07-11 04:00:00,46.065,47.9925,41.4,45.75,520.1333
2017-07-12 04:00:00,42.7575,46.1175,42.75,45.7425,738.92
2017-07-13 04:00:00,45.0225,46.485,45.0,45.0,321.1867
2017-07-14 04:00:00,48.75,48.75,42.0,45.0,355.0133
2017-07-17 04:00:00,45.0,45.375,42.9,45.0,375.9733
2017-07-18 04:00:00,45.75,45.75,42.0,44.1675,528.0667
2017-07-19 04:00:00,41.25,45.465,37.575,40.5,535.7867
2017-07-20 04:00:00,40.5,46.5,40.5,45.0,3291.9733
2017-07-21 04:00:00,46.5,46.5,39.0,39.75,789.6133
2017-07-24 04:00:00,41.7375,44.835,41.25,44.025,371.36
2017-07-25 04:00:00,44.25,52.5,42.75,44.0175,5351.4
2017-07-26 04:00:00,45.0,46.5,41.25,45.0,642.56
2017-07-27 04:00:00,48.0,48.0,41.25,41.25,1084.1333
2017-07-28 04:00:00,41.25,42.585,30.96,39.75,2089.7867
2017-07-31 04:00:00,39.0,39.0,37.35,37.3655,794.76
2017-08-01 04:00:00,37.5,37.5,34.019,34.7475,921.2933
2017-08-02 04:00:00,32.25,36.8475,32.25,33.75,505.04
2017-08-03 04:00:00,33.75,35.025,32.25,33.4825,449.8267
2017-08-04 04:00:00,32.3475,36.93,28.62,32.25,1302.0
2017-08-07 04:00:00,29.325,35.34,29.325,32.9175,778.5867
2017-08-08 04:00:00,37.5,37.5,30.226,31.575,195.6133
2017-08-09 04:00:00,30.75,31.1065,30.75,30.975,207.9467
2017-08-10 04:00:00,30.7575,33.0,29.25,30.375,362.36
2017-08-11 04:00:00,30.81,33.75,29.475,30.0,252.1867
2017-08-14 04:00:00,29.25,33.6,29.25,32.9925,408.3467
2017-08-15 04:00:00,29.25,33.6,29.25,30.12,40.3333
2017-08-16 04:00:00,30.2775,30.7125,22.125,28.5,917.0
2017-08-17 04:00:00,28.5,35.1,25.5,32.625,7679.36
2017-08-18 04:00:00,33.0,33.0,26.4,28.5,2764.52
2017-08-21 04:00:00,28.5,28.5,22.575,27.0,734.0133
2017-08-22 04:00:00,28.5,28.5,23.25,23.625,1316.52
2017-08-23 04:00:00,23.625,29.25,23.625,26.25,2995.4667
2017-08-24 04:00:00,26.25,30.0,26.25,29.625,2888.0267
2017-08-25 04:00:00,30.0,37.5,29.625,36.6375,3927.9867
2017-08-28 04:00:00,36.75,48.0,36.6,42.75,18665.7467
2017-08-29 04:00:00,44.25,50.25,41.25,47.25,14490.2933
2017-08-30 04:00:00,48.0,48.0,39.75,40.875,5799.76
2017-08-31 04:00:00,40.875,48.75,40.5,46.125,6878.6667
2017-09-01 04:00:00,45.0,47.25,43.5,44.9925,3197.8533
2017-09-05 04:00:00,43.875,46.95,43.5,44.25,1218.5467
2017-09-06 04:00:00,45.0,46.5,41.25,43.6725,2033.84
2017-09-07 04:00:00,46.5,46.5,41.4375,42.75,1817.0933
2017-09-08 04:00:00,41.25,44.175,30.0,39.0,4221.9467
2017-09-11 04:00:00,36.8175,40.5,36.8175,38.9925,904.6
