date,open,high,low,close,volume
2015-05-26 04:00:00,31.57,31.9,31.15,31.49,221603.0
2015-05-27 04:00:00,31.3,31.61,31.1,31.51,243741.0
2015-05-28 04:00:00,31.4,32.25,31.11,31.7,399275.0
2015-05-29 04:00:00,31.7,32.12,31.22,31.26,466305.0
2015-06-01 04:00:00,31.09,31.66,31.01,31.61,308959.0
2015-06-02 04:00:00,31.36,31.83,31.33,31.7,236059.0
2015-06-03 04:00:00,31.85,32.28,31.6081,32.27,184011.0
2015-06-04 04:00:00,32.09,32.27,31.49,31.8,111224.0
2015-06-05 04:00:00,31.86,31.86,31.17,31.34,173791.0
2015-06-08 04:00:00,31.39,31.72,30.85,30.93,153475.0
2015-06-09 04:00:00,30.99,31.1899,30.78,30.85,138237.0
2015-06-10 04:00:00,31.11,32.07,31.11,31.87,195151.0
2015-06-11 04:00:00,31.87,32.1,31.48,31.8,85479.0
2015-06-12 04:00:00,31.62,31.99,31.42,31.79,117444.0
2015-06-15 04:00:00,31.54,31.68,31.06,31.18,114402.0
2015-06-16 04:00:00,31.24,31.66,31.2,31.62,170205.0
2015-06-17 04:00:00,31.77,31.89,31.61,31.69,100070.0
2015-06-18 04:00:00,31.75,32.29,31.75,32.04,177382.0
2015-06-19 04:00:00,32.07,32.31,31.86,32.11,221856.0
2015-06-22 04:00:00,32.25,32.92,32.25,32.88,148572.0
2015-06-23 04:00:00,32.92,32.96,32.519,32.94,130684.0
2015-06-24 04:00:00,32.41,32.76,31.54,32.34,218255.0
2015-06-25 04:00:00,32.36,33.07,32.2601,33.04,332143.0
2015-06-26 04:00:00,33.2,33.89,33.0,33.74,530794.0
2015-06-29 04:00:00,33.68,33.81,32.69,32.7,203728.0
2015-06-30 04:00:00,32.96,33.26,32.44,32.54,224933.0
2015-07-01 04:00:00,32.91,32.94,32.45,32.51,237363.0
2015-07-02 04:00:00,32.59,32.78,32.1,32.39,149368.0
2015-07-06 04:00:00,32.02,32.56,32.02,32.15,188498.0
2015-07-07 04:00:00,32.26,32.32,31.46,32.13,171921.0
2015-07-08 04:00:00,31.87,32.0,31.48,31.68,189298.0
2015-07-09 04:00:00,32.02,32.205,31.68,31.77,137821.0
2015-07-10 04:00:00,32.25,32.54,32.09,32.45,97912.0
2015-07-13 04:00:00,32.78,32.96,32.51,32.88,112003.0
2015-07-14 04:00:00,32.91,33.18,32.69,33.04,142320.0
2015-07-15 04:00:00,33.1,33.18,32.53,32.75,131940.0
2015-07-16 04:00:00,33.07,33.07,32.69,32.95,153655.0
2015-07-17 04:00:00,33.0,33.0,32.42,32.68,94761.0
2015-07-20 04:00:00,32.8,32.8,31.91,32.05,155600.0
2015-07-21 04:00:00,31.95,32.19,31.33,31.65,187943.0
2015-07-22 04:00:00,31.43,31.872,31.43,31.75,82090.0
2015-07-23 04:00:00,31.83,31.83,30.988,31.16,128063.0
2015-07-24 04:00:00,31.03,31.165,30.73,30.75,107330.0
2015-07-27 04:00:00,30.65,30.8,30.31,30.59,89219.0
2015-07-28 04:00:00,30.66,30.96,30.21,30.91,100780.0
2015-07-29 04:00:00,30.77,31.72,30.77,31.59,116487.0
2015-07-30 04:00:00,31.37,32.65,31.26,32.47,236169.0
2015-07-31 04:00:00,32.51,32.51,31.95,32.21,158873.0
2015-08-03 04:00:00,32.13,32.78,32.12,32.73,166690.0
2015-08-04 04:00:00,32.76,33.17,32.42,32.76,137569.0
2015-08-05 04:00:00,32.93,33.25,32.77,32.94,106317.0
2015-08-06 04:00:00,33.05,33.15,32.78,33.12,265476.0
2015-08-07 04:00:00,32.91,33.06,32.31,32.63,131032.0
2015-08-10 04:00:00,32.8,33.13,32.535,32.7,128158.0
2015-08-11 04:00:00,32.37,32.99,32.35,32.63,113877.0
2015-08-12 04:00:00,32.34,32.75,31.79,32.63,77679.0
2015-08-13 04:00:00,32.62,33.0,32.43,32.63,119227.0
2015-08-14 04:00:00,32.47,33.66,32.47,33.58,89045.0
2015-08-17 04:00:00,33.44,33.84,33.18,33.555,134162.0
2015-08-18 04:00:00,33.64,33.74,32.99,33.2,93359.0
2015-08-19 04:00:00,32.99,33.0,32.0,32.56,91484.0
2015-08-20 04:00:00,31.7,33.84,31.09,32.58,241805.0
2015-08-21 04:00:00,31.9,31.95,30.212,30.27,306342.0
2015-08-24 04:00:00,28.57,29.88,27.42,28.97,344383.0
2015-08-25 04:00:00,29.99,30.4699,29.01,29.03,183901.0
2015-08-26 04:00:00,29.74,30.47,29.28,30.19,226048.0
2015-08-27 04:00:00,30.42,30.52,28.05,28.79,432354.0
2015-08-28 04:00:00,28.62,29.1,28.34,28.87,256641.0
2015-08-31 04:00:00,28.73,28.73,28.21,28.3,198979.0
2015-09-01 04:00:00,27.9,28.48,27.4,27.58,214862.0
2015-09-02 04:00:00,27.89,27.89,27.04,27.74,321503.0
2015-09-03 04:00:00,27.79,28.005,27.44,27.55,173331.0
2015-09-04 04:00:00,27.17,27.63,27.17,27.45,119001.0
2015-09-08 04:00:00,27.92,27.93,27.44,27.64,134539.0
2015-09-09 04:00:00,27.81,27.9,27.18,27.2,160552.0
2015-09-10 04:00:00,27.13,28.06,27.08,27.56,159421.0
2015-09-11 04:00:00,27.46,27.87,27.23,27.37,162781.0
2015-09-14 04:00:00,27.25,27.6,27.15,27.37,125970.0
2015-09-15 04:00:00,27.33,27.85,27.29,27.66,159934.0
2015-09-16 04:00:00,27.7,27.7,27.08,27.22,115836.0
2015-09-17 04:00:00,27.12,27.86,26.99,27.51,144928.0
2015-09-18 04:00:00,27.03,27.6,26.67,26.76,357888.0
2015-09-21 04:00:00,27.0,28.0263,26.95,27.64,195763.0
2015-09-22 04:00:00,27.34,27.34,26.35,26.45,104954.0
2015-09-23 04:00:00,26.55,26.73,26.24,26.41,114764.0
2015-09-24 04:00:00,26.26,26.43,26.14,26.3,139506.0
2015-09-25 04:00:00,26.42,26.55,26.01,26.14,163888.0
2015-09-28 04:00:00,25.92,26.15,25.57,25.68,234532.0
2015-09-29 04:00:00,25.62,26.07,25.62,25.84,113268.0
2015-09-30 04:00:00,26.18,26.37,25.13,25.85,280657.0
2015-10-01 04:00:00,25.85,26.0,25.2,25.56,156271.0
2015-10-02 04:00:00,25.35,25.68,24.85,25.66,182548.0
2015-10-05 04:00:00,25.78,26.39,25.78,26.32,122205.0
2015-10-06 04:00:00,26.29,26.454,26.0,26.22,130753.0
2015-10-07 04:00:00,26.39,26.99,26.39,26.84,206077.0
2015-10-08 04:00:00,26.83,27.07,26.31,26.97,136385.0
2015-10-09 04:00:00,27.08,27.48,26.99,27.37,125074.0
2015-10-12 04:00:00,27.4,27.88,27.32,27.72,104047.0
2015-10-13 04:00:00,27.6,27.88,27.09,27.11,126728.0
2015-10-14 04:00:00,27.14,27.33,26.53,26.54,94112.0
2015-10-15 04:00:00,26.66,27.3,26.49,27.29,87657.0
2015-10-16 04:00:00,27.37,27.37,26.74,27.22,100749.0
2015-10-19 04:00:00,27.18,27.74,27.07,27.73,77964.0
2015-10-20 04:00:00,27.7,28.28,27.1,28.05,111328.0
2015-10-21 04:00:00,28.04,28.47,27.85,27.88,106893.0
2015-10-22 04:00:00,28.12,28.42,27.5,28.03,110266.0
2015-10-23 04:00:00,28.19,28.23,27.71,27.97,103606.0
2015-10-26 04:00:00,27.86,27.94,26.89,27.65,86392.0
2015-10-27 04:00:00,27.56,28.03,27.56,27.82,120320.0
2015-10-28 04:00:00,27.86,28.67,27.86,28.67,173888.0
2015-10-29 04:00:00,28.62,28.7,27.35,28.57,126850.0
2015-10-30 04:00:00,28.48,28.7,27.81,27.9,120824.0
2015-11-02 05:00:00,27.96,28.63,27.43,28.56,84396.0
2015-11-03 05:00:00,28.41,28.47,27.02,28.29,88206.0
2015-11-04 05:00:00,28.33,28.55,27.89,28.04,61037.0
2015-11-05 05:00:00,28.12,28.48,27.83,28.44,46548.0
2015-11-06 05:00:00,28.32,28.94,28.05,28.88,84625.0
2015-11-09 05:00:00,28.79,28.86,28.5,28.77,109618.0
2015-11-10 05:00:00,28.56,28.93,28.18,28.29,195271.0
2015-11-11 05:00:00,28.48,28.58,27.63,27.68,114085.0
2015-11-12 05:00:00,26.85,27.05,24.05,24.08,576409.0
2015-11-13 05:00:00,23.8,23.94,22.735,23.2,342395.0
2015-11-16 05:00:00,23.23,23.91,23.155,23.84,172961.0
2015-11-17 05:00:00,23.92,24.41,23.495,23.62,177215.0
2015-11-18 05:00:00,23.73,25.0399,23.22,23.61,173235.0
2015-11-19 05:00:00,23.67,24.255,22.06,22.37,310140.0
2015-11-20 05:00:00,22.52,22.87,22.48,22.74,178050.0
2015-11-23 05:00:00,22.79,23.08,22.5,22.89,149374.0
2015-11-24 05:00:00,22.86,23.01,22.32,22.46,135535.0
2015-11-25 05:00:00,22.47,22.61,22.29,22.55,132074.0
2015-11-27 05:00:00,22.6,22.98,22.51,22.87,74510.0
2015-11-30 05:00:00,22.48,22.5,21.44,21.62,486079.0
2015-12-01 05:00:00,21.79,22.33,21.59,21.79,675143.0
2015-12-02 05:00:00,21.98,22.64,21.98,22.39,173563.0
2015-12-03 05:00:00,22.47,22.58,21.52,21.67,166668.0
2015-12-04 05:00:00,21.66,22.31,21.52,22.24,108096.0
2015-12-07 05:00:00,22.37,22.535,21.56,21.88,163965.0
2015-12-08 05:00:00,21.58,21.7,21.2,21.29,180559.0
2015-12-09 05:00:00,21.33,21.65,21.12,21.33,342856.0
2015-12-10 05:00:00,21.38,21.895,21.12,21.2,374019.0
2015-12-11 05:00:00,20.99,22.44,20.99,21.95,566283.0
2015-12-14 05:00:00,22.0,22.18,21.38,21.65,291771.0
2015-12-15 05:00:00,21.87,22.025,21.255,21.36,335306.0
2015-12-16 05:00:00,21.59,22.01,21.29,21.91,361978.0
2015-12-17 05:00:00,22.0,22.19,21.54,21.87,297300.0
2015-12-18 05:00:00,21.76,21.76,21.1,21.2,454322.0
2015-12-21 05:00:00,21.4,21.5374,21.12,21.29,160317.0
2015-12-22 05:00:00,21.41,21.6,21.1,21.59,229429.0
2015-12-23 05:00:00,21.84,22.32,21.29,22.14,145581.0
2015-12-24 05:00:00,22.12,22.19,21.96,22.0,60807.0
2015-12-28 05:00:00,21.83,22.38,21.76,22.35,131582.0
2015-12-29 05:00:00,22.42,22.63,22.34,22.4,122046.0
2015-12-30 05:00:00,22.38,22.422,21.9,22.04,108510.0
2015-12-31 05:00:00,21.96,21.96,21.61,21.64,133235.0
2016-01-04 05:00:00,21.28,21.36,20.56,20.81,234677.0
2016-01-05 05:00:00,20.93,21.43,20.73,21.4,151294.0
2016-01-06 05:00:00,21.16,21.98,21.0501,21.32,222025.0
2016-01-07 05:00:00,20.88,21.08,20.41,20.5,185326.0
2016-01-08 05:00:00,20.49,20.97,20.03,20.07,284535.0
2016-01-11 05:00:00,20.26,20.62,19.89,20.21,167901.0
2016-01-12 05:00:00,20.46,20.46,19.8301,20.2,510456.0
2016-01-13 05:00:00,20.29,20.94,19.1,19.19,263729.0
2016-01-14 05:00:00,19.24,19.65,18.95,19.45,207396.0
2016-01-15 05:00:00,18.99,19.405,18.27,19.38,220484.0
2016-01-19 05:00:00,19.58,19.58,18.05,18.26,237943.0
2016-01-20 05:00:00,17.95,18.74,17.66,18.44,234196.0
2016-01-21 05:00:00,18.49,18.6,18.12,18.14,164612.0
2016-01-22 05:00:00,18.32,18.845,18.25,18.67,165065.0
2016-01-25 05:00:00,18.66,19.415,18.01,18.24,173689.0
2016-01-26 05:00:00,18.29,19.19,18.29,19.11,163568.0
2016-01-27 05:00:00,19.45,20.265,18.962,19.47,239300.0
2016-01-28 05:00:00,19.61,19.67,19.2,19.41,116120.0
2016-01-29 05:00:00,19.42,20.54,19.42,20.52,235409.0
2016-02-01 05:00:00,20.4,20.8,20.078,20.57,185503.0
2016-02-02 05:00:00,20.34,20.38,19.91,20.19,182233.0
2016-02-03 05:00:00,20.33,21.01,19.945,20.25,139220.0
2016-02-04 05:00:00,20.11,20.64,19.96,20.15,100029.0
2016-02-05 05:00:00,20.07,20.74,20.02,20.2,210255.0
2016-02-08 05:00:00,19.83,20.73,19.14,19.55,215299.0
2016-02-09 05:00:00,19.2,19.793,18.73,19.32,202761.0
2016-02-10 05:00:00,19.42,22.65,19.19,19.29,170753.0
2016-02-11 05:00:00,18.93,19.45,18.82,19.41,156430.0
2016-02-12 05:00:00,19.49,20.145,19.32,20.11,125601.0
2016-02-16 05:00:00,20.45,21.14,20.06,20.84,190089.0
2016-02-17 05:00:00,20.97,21.47,20.68,21.18,189889.0
2016-02-18 05:00:00,21.19,21.59,20.895,21.35,165692.0
2016-02-19 05:00:00,21.25,21.55,21.07,21.45,121564.0
2016-02-22 05:00:00,21.86,21.86,21.31,21.39,178426.0
2016-02-23 05:00:00,21.34,21.84,21.1,21.72,129494.0
2016-02-24 05:00:00,21.46,22.14,21.175,22.08,172520.0
2016-02-25 05:00:00,24.27,25.995,23.745,25.22,329883.0
2016-02-26 05:00:00,25.34,27.18,25.2501,27.18,410586.0
2016-02-29 05:00:00,27.09,27.96,27.09,27.45,351271.0
2016-03-01 05:00:00,27.61,28.39,27.36,27.97,401282.0
2016-03-02 05:00:00,27.98,28.51,27.52,28.33,212935.0
2016-03-03 05:00:00,28.04,28.91,27.72,28.84,252242.0
2016-03-04 05:00:00,28.88,28.97,27.32,27.81,208182.0
2016-03-07 05:00:00,28.0,28.3699,27.92,28.28,404767.0
2016-03-08 05:00:00,28.33,29.28,28.33,28.95,290417.0
2016-03-09 05:00:00,28.9,29.36,28.8,29.18,227106.0
2016-03-10 05:00:00,29.18,29.31,27.61,27.81,245431.0
2016-03-11 05:00:00,28.29,29.5,28.29,29.48,252122.0
2016-03-14 04:00:00,29.5,29.9087,29.14,29.29,171115.0
2016-03-15 04:00:00,29.17,29.48,27.93,28.09,309752.0
2016-03-16 04:00:00,27.86,29.23,27.75,28.8,305395.0
2016-03-17 04:00:00,28.43,29.23,28.0417,29.21,202143.0
2016-03-18 04:00:00,29.29,29.56,29.1625,29.25,439188.0
2016-03-21 04:00:00,29.14,29.54,28.0,29.31,201588.0
2016-03-22 04:00:00,29.02,29.31,28.51,29.29,196476.0
2016-03-23 04:00:00,29.23,29.59,28.43,28.68,224828.0
2016-03-24 04:00:00,28.59,28.7,28.22,28.51,158691.0
2016-03-28 04:00:00,28.7,29.015,28.18,28.71,172194.0
2016-03-29 04:00:00,28.69,29.87,28.61,29.77,195898.0
2016-03-30 04:00:00,29.84,30.42,29.065,29.82,240239.0
2016-03-31 04:00:00,29.91,31.01,29.76,30.31,488232.0
2016-04-01 04:00:00,29.29,29.385,27.91,28.74,327543.0
2016-04-04 04:00:00,28.56,29.38,28.56,28.8,274387.0
2016-04-05 04:00:00,28.67,29.01,28.18,28.27,233368.0
2016-04-06 04:00:00,28.29,28.6,28.07,28.52,157177.0
2016-04-07 04:00:00,28.27,28.47,27.645,27.71,305890.0
2016-04-08 04:00:00,27.99,28.485,27.64,27.82,221348.0
2016-04-11 04:00:00,27.91,27.93,27.23,27.24,179822.0
2016-04-12 04:00:00,27.3,28.0,27.25,27.88,203104.0
2016-04-13 04:00:00,28.09,28.69,27.62,28.66,160413.0
