date,open,high,low,close,volume
2016-05-11 04:00:00,10.0,10.4,9.9,10.12,1998485.0
2016-05-12 04:00:00,10.12,10.47,10.1,10.25,271979.0
2016-05-13 04:00:00,10.36,11.0,10.15,10.85,238699.0
2016-05-16 04:00:00,10.95,11.72,10.9,11.6,206092.0
2016-05-17 04:00:00,11.74,11.97,11.5,11.94,156800.0
2016-05-18 04:00:00,11.86,12.1,11.65,11.77,157075.0
2016-05-19 04:00:00,11.73,11.76,10.11,10.38,230978.0
2016-05-20 04:00:00,10.35,10.68,10.31,10.38,94855.0
2016-05-23 04:00:00,10.26,10.62,10.13,10.59,53619.0
2016-05-24 04:00:00,10.69,10.79,10.39,10.5,43601.0
2016-05-25 04:00:00,10.5,11.25,10.3217,10.99,121627.0
2016-05-26 04:00:00,10.7,11.1,10.7,10.88,66429.0
2016-05-27 04:00:00,10.98,10.98,10.56,10.72,15285.0
2016-05-31 04:00:00,10.58,10.6,10.15,10.26,22261.0
2016-06-01 04:00:00,10.16,10.39,10.16,10.35,6684.0
2016-06-02 04:00:00,10.3,10.38,10.2001,10.37,26232.0
2016-06-03 04:00:00,10.3,10.58,10.2304,10.58,36401.0
2016-06-06 04:00:00,10.6,10.6,8.92,9.69,150184.0
2016-06-07 04:00:00,9.55,9.77,9.406,9.68,21070.0
2016-06-08 04:00:00,9.69,9.83,9.3,9.38,14119.0
2016-06-09 04:00:00,9.3,9.31,8.81,8.9,45499.0
2016-06-10 04:00:00,8.9,9.0,8.141,8.276,91930.0
2016-06-13 04:00:00,8.28,8.4,7.49,7.74,71223.0
2016-06-14 04:00:00,7.73,8.0,7.0,7.94,128761.0
2016-06-15 04:00:00,8.1,8.393,7.25,7.38,107986.0
2016-06-16 04:00:00,7.2,7.31,6.462,7.24,248680.0
2016-06-17 04:00:00,7.13,7.6,7.09,7.34,192549.0
2016-06-20 04:00:00,7.56,9.5,7.56,9.39,225565.0
2016-06-21 04:00:00,9.23,10.54,8.9,10.26,601616.0
2016-06-22 04:00:00,10.15,10.5,9.88,10.06,53887.0
2016-06-23 04:00:00,10.04,10.09,9.41,9.78,52397.0
2016-06-24 04:00:00,9.6,10.73,9.375,10.18,466788.0
2016-06-27 04:00:00,10.14,10.14,9.14,9.27,30970.0
2016-06-28 04:00:00,9.25,10.27,9.25,9.97,53744.0
2016-06-29 04:00:00,10.09,10.35,9.77,9.94,65223.0
2016-06-30 04:00:00,9.95,10.33,9.9,10.27,15973.0
2016-07-01 04:00:00,10.321,10.3568,9.97,10.07,20853.0
2016-07-05 04:00:00,9.91,10.32,9.91,10.27,47369.0
2016-07-06 04:00:00,10.27,10.27,9.96,10.08,15409.0
2016-07-07 04:00:00,9.96,10.2,9.87,9.98,9783.0
2016-07-08 04:00:00,9.96,10.29,9.96,10.09,20749.0
2016-07-11 04:00:00,10.02,10.37,10.02,10.36,9057.0
2016-07-12 04:00:00,10.28,10.5,10.28,10.37,10595.0
2016-07-13 04:00:00,10.43,10.5,10.2599,10.41,8746.0
2016-07-14 04:00:00,10.27,10.48,10.26,10.42,11196.0
2016-07-15 04:00:00,10.54,11.02,10.42,10.95,26053.0
2016-07-18 04:00:00,11.0,11.635,10.86,11.63,65732.0
2016-07-19 04:00:00,11.3,11.83,10.97,11.1,84486.0
2016-07-20 04:00:00,11.13,11.28,10.3311,10.52,33880.0
2016-07-21 04:00:00,10.97,11.43,10.68,11.34,14730.0
2016-07-22 04:00:00,11.25,11.33,11.0,11.14,15454.0
2016-07-25 04:00:00,11.03,11.44,11.03,11.24,12532.0
2016-07-26 04:00:00,11.23,11.25,11.05,11.25,5569.0
2016-07-27 04:00:00,11.22,11.25,11.19,11.21,3633.0
2016-07-28 04:00:00,11.21,11.21,11.01,11.12,5552.0
2016-07-29 04:00:00,11.02,11.19,10.661,11.15,18522.0
2016-08-01 04:00:00,10.97,11.31,10.5,10.76,13578.0
2016-08-02 04:00:00,10.96,10.98,10.8,10.8,10941.0
2016-08-03 04:00:00,10.72,10.77,10.72,10.74,2354.0
2016-08-04 04:00:00,10.78,10.78,10.62,10.74,7253.0
2016-08-05 04:00:00,10.6535,10.88,10.6535,10.85,6157.0
2016-08-08 04:00:00,10.89,10.89,10.83,10.86,2430.0
2016-08-09 04:00:00,10.86,10.94,10.65,10.92,12633.0
2016-08-10 04:00:00,10.9,10.95,8.67,9.26,43575.0
2016-08-11 04:00:00,9.46,10.53,9.46,10.23,27319.0
2016-08-12 04:00:00,10.2299,11.34,10.03,11.34,23929.0
