date,open,high,low,close,volume
2015-05-26 04:00:00,31.3,31.46,30.07,30.19,2254893.0
2015-05-27 04:00:00,30.31,30.85,30.1437,30.75,1528379.0
2015-05-28 04:00:00,30.54,30.57,29.9,30.14,1573130.0
2015-05-29 04:00:00,30.1,30.3,29.9063,29.99,1561544.0
2015-06-01 04:00:00,30.04,30.29,29.54,29.71,3512598.0
2015-06-02 04:00:00,29.56,30.705,29.56,30.38,1899603.0
2015-06-03 04:00:00,30.54,31.06,30.402,30.7,2303786.0
2015-06-04 04:00:00,30.36,30.63,30.2,30.37,1567797.0
2015-06-05 04:00:00,30.19,31.0299,30.01,30.69,1639151.0
2015-06-08 04:00:00,30.68,30.68,29.93,30.04,1844512.0
2015-06-09 04:00:00,30.1,30.106,29.05,29.23,3678212.0
2015-06-10 04:00:00,28.95,30.58,28.92,29.6,3751466.0
2015-06-11 04:00:00,29.67,30.22,29.63,30.05,2605714.0
2015-06-12 04:00:00,29.93,30.53,29.8501,30.2,1452675.0
2015-06-15 04:00:00,29.84,30.31,29.56,30.01,1573596.0
2015-06-16 04:00:00,29.84,30.09,29.06,29.19,2395568.0
2015-06-17 04:00:00,29.31,29.75,29.17,29.36,1657885.0
2015-06-18 04:00:00,29.41,30.145,29.24,29.7,1846032.0
2015-06-19 04:00:00,29.6,30.1456,29.49,29.52,2013334.0
2015-06-22 04:00:00,29.79,29.8845,29.38,29.43,2140870.0
2015-06-23 04:00:00,29.46,30.63,29.4001,30.33,1875783.0
2015-06-24 04:00:00,30.33,30.56,29.55,29.59,1856483.0
2015-06-25 04:00:00,29.52,29.5881,28.07,28.09,3677747.0
2015-06-26 04:00:00,28.08,28.35,27.21,27.24,5910126.0
2015-06-29 04:00:00,26.9,27.43,26.6,26.86,2531679.0
2015-06-30 04:00:00,27.24,27.3582,26.315,26.43,2364428.0
2015-07-01 04:00:00,26.09,26.68,25.73,26.3,3324230.0
2015-07-02 04:00:00,26.25,26.6859,25.703,25.79,2294515.0
2015-07-06 04:00:00,25.51,25.9599,25.06,25.3,2073301.0
2015-07-07 04:00:00,25.24,25.4,24.16,25.34,2908725.0
2015-07-08 04:00:00,25.0,25.33,24.13,24.39,2235270.0
2015-07-09 04:00:00,24.89,25.45,24.89,25.18,1904277.0
2015-07-10 04:00:00,25.53,25.81,25.12,25.48,2046484.0
2015-07-13 04:00:00,25.53,25.99,25.41,25.82,1800446.0
2015-07-14 04:00:00,25.65,25.92,25.5064,25.79,1520752.0
2015-07-15 04:00:00,25.7,25.99,25.67,25.81,2305105.0
2015-07-16 04:00:00,26.0,26.42,25.78,26.18,1903022.0
2015-07-17 04:00:00,26.21,26.38,25.78,25.83,1792422.0
