date,open,high,low,close,volume
2015-06-25 04:00:00,24.62,25.75,24.51,25.4,25923857.0
2015-06-26 04:00:00,25.49,25.89,24.75,24.85,3808085.0
2015-06-29 04:00:00,24.01,24.94,23.42,24.37,1871380.0
2015-06-30 04:00:00,24.85,25.74,24.5,25.1,846491.0
2015-07-01 04:00:00,25.01,25.3,24.52,24.95,780397.0
2015-07-02 04:00:00,25.03,25.1,24.6,25.0,450628.0
2015-07-06 04:00:00,24.31,25.1,24.31,24.77,131814.0
2015-07-07 04:00:00,24.98,24.98,24.5,24.59,519195.0
2015-07-08 04:00:00,24.75,24.86,24.21,24.42,658163.0
2015-07-09 04:00:00,24.55,24.725,24.18,24.33,538825.0
2015-07-10 04:00:00,24.45,24.565,24.19,24.45,777416.0
2015-07-13 04:00:00,24.56,25.3,24.555,25.26,377870.0
2015-07-14 04:00:00,25.33,25.3899,24.9,25.05,303311.0
2015-07-15 04:00:00,24.94,25.17,24.5,24.75,196293.0
2015-07-16 04:00:00,25.0,25.2,24.74,24.78,446408.0
2015-07-17 04:00:00,24.79,25.06,24.53,24.92,542959.0
2015-07-20 04:00:00,24.85,24.9,24.71,24.72,125231.0
2015-07-21 04:00:00,24.7,25.0,24.61,24.87,187253.0
2015-07-22 04:00:00,24.9,25.02,24.773,24.89,616611.0
2015-07-23 04:00:00,24.87,25.25,24.87,25.25,320495.0
2015-07-24 04:00:00,24.99,25.35,24.76,24.85,175689.0
2015-07-27 04:00:00,24.51,24.95,24.02,24.39,389679.0
2015-07-28 04:00:00,24.51,24.8,24.34,24.6,311723.0
2015-07-29 04:00:00,24.35,25.35,24.35,25.18,815114.0
2015-07-30 04:00:00,24.94,25.26,24.69,25.11,277210.0
2015-07-31 04:00:00,25.04,25.27,24.9,25.1,221803.0
2015-08-03 04:00:00,25.02,25.33,24.9,25.27,313519.0
2015-08-04 04:00:00,24.8,25.85,24.66,25.74,409786.0
2015-08-05 04:00:00,25.7,27.01,25.59,26.65,1156591.0
2015-08-06 04:00:00,26.75,27.0,26.16,26.57,520950.0
2015-08-07 04:00:00,26.39,26.5199,25.96,26.24,161727.0
2015-08-10 04:00:00,26.39,26.63,26.275,26.35,260708.0
2015-08-11 04:00:00,26.38,26.58,26.08,26.15,184079.0
2015-08-12 04:00:00,25.87,26.2199,25.5,26.14,1475947.0
2015-08-13 04:00:00,25.93,26.19,25.41,26.0,301219.0
2015-08-14 04:00:00,26.0,27.02,25.52,26.85,318197.0
2015-08-17 04:00:00,27.0,27.0,26.3725,26.75,777793.0
2015-08-18 04:00:00,26.25,26.5,25.64,25.73,750683.0
2015-08-19 04:00:00,25.86,26.41,25.66,26.23,539084.0
2015-08-20 04:00:00,26.08,26.44,25.89,25.94,193182.0
2015-08-21 04:00:00,25.89,26.01,25.17,25.41,375733.0
2015-08-24 04:00:00,24.02,24.97,23.3,24.13,778424.0
2015-08-25 04:00:00,24.99,25.25,23.8301,24.29,658030.0
2015-08-26 04:00:00,24.81,25.19,24.12,24.99,349976.0
2015-08-27 04:00:00,25.45,26.18,25.14,25.52,265719.0
2015-08-28 04:00:00,25.39,26.0,25.25,25.76,200617.0
2015-08-31 04:00:00,25.69,26.07,25.38,25.86,434300.0
2015-09-01 04:00:00,25.17,25.89,24.81,24.93,236802.0
2015-09-02 04:00:00,25.05,25.68,24.93,25.5,410680.0
2015-09-03 04:00:00,25.43,25.98,25.37,25.9,377508.0
2015-09-04 04:00:00,25.35,25.94,25.24,25.37,893592.0
2015-09-08 04:00:00,25.63,26.35,25.53,25.78,709645.0
2015-09-09 04:00:00,25.9,26.35,25.68,25.72,702661.0
2015-09-10 04:00:00,25.53,25.65,25.2,25.61,318727.0
2015-09-11 04:00:00,25.35,25.73,25.35,25.64,195464.0
2015-09-14 04:00:00,25.57,25.75,25.24,25.35,270897.0
2015-09-15 04:00:00,25.24,25.81,25.17,25.78,274246.0
2015-09-16 04:00:00,25.86,26.11,25.52,25.91,422334.0
2015-09-17 04:00:00,25.93,26.34,25.76,25.94,453042.0
2015-09-18 04:00:00,25.46,26.07,24.68,24.7,2087115.0
2015-09-21 04:00:00,24.91,25.69,24.89,25.43,249404.0
2015-09-22 04:00:00,25.26,25.37,24.74,24.94,331138.0
2015-09-23 04:00:00,25.01,25.43,24.92,25.18,414338.0
2015-09-24 04:00:00,24.79,25.23,24.26,25.15,895920.0
2015-09-25 04:00:00,25.23,25.72,25.0,25.56,280081.0
2015-09-28 04:00:00,25.61,25.61,24.53,24.65,499597.0
2015-09-29 04:00:00,24.69,24.97,23.96,24.08,621475.0
2015-09-30 04:00:00,24.2,25.6561,24.11,25.12,3047695.0
2015-10-01 04:00:00,25.13,25.82,24.19,24.54,850466.0
2015-10-02 04:00:00,24.24,24.67,23.66,24.66,453049.0
2015-10-05 04:00:00,24.77,25.09,24.57,24.62,226458.0
2015-10-06 04:00:00,24.47,24.98,24.17,24.53,347700.0
2015-10-07 04:00:00,24.6,25.01,24.36,25.01,263981.0
2015-10-08 04:00:00,24.93,25.07,24.37,24.95,299370.0
2015-10-09 04:00:00,24.97,25.59,24.86,25.0,279842.0
2015-10-12 04:00:00,24.95,25.02,24.58,24.85,211734.0
2015-10-13 04:00:00,24.69,25.11,24.47,24.81,321568.0
2015-10-14 04:00:00,24.75,24.864,23.87,24.34,513923.0
2015-10-15 04:00:00,24.42,24.62,24.1101,24.34,728734.0
2015-10-16 04:00:00,24.25,24.81,24.06,24.4,253947.0
2015-10-19 04:00:00,24.34,24.63,24.0,24.1,202187.0
2015-10-20 04:00:00,24.04,24.71,23.9,24.54,728242.0
2015-10-21 04:00:00,24.57,24.75,23.93,24.08,208944.0
2015-10-22 04:00:00,24.12,24.36,23.12,23.19,525324.0
2015-10-23 04:00:00,23.34,24.11,23.15,23.71,561631.0
2015-10-26 04:00:00,23.67,24.16,23.66,24.11,285232.0
2015-10-27 04:00:00,24.12,24.29,23.9,24.27,485699.0
2015-10-28 04:00:00,24.87,25.46,24.47,25.27,735115.0
2015-10-29 04:00:00,25.05,25.54,24.85,25.52,184300.0
2015-10-30 04:00:00,25.35,25.9,25.35,25.71,448439.0
2015-11-02 05:00:00,25.69,26.19,25.44,25.91,308708.0
2015-11-03 05:00:00,25.94,26.09,25.46,25.95,429461.0
2015-11-04 05:00:00,25.99,26.0699,25.694,25.96,227893.0
2015-11-05 05:00:00,26.01,26.02,25.43,25.72,126849.0
2015-11-06 05:00:00,25.81,26.01,25.52,25.87,201692.0
2015-11-09 05:00:00,25.82,25.87,25.26,25.65,85550.0
2015-11-10 05:00:00,25.64,25.83,25.25,25.66,150920.0
2015-11-11 05:00:00,25.75,25.88,25.45,25.59,107527.0
2015-11-12 05:00:00,25.37,25.87,25.37,25.76,208775.0
2015-11-13 05:00:00,25.64,25.94,25.41,25.7,340168.0
2015-11-16 05:00:00,25.58,25.97,25.31,25.92,198829.0
2015-11-17 05:00:00,25.85,26.04,25.62,25.86,185143.0
2015-11-18 05:00:00,25.89,26.06,25.67,26.02,273869.0
2015-11-19 05:00:00,25.96,26.16,25.35,25.64,289265.0
2015-11-20 05:00:00,25.77,25.93,25.39,25.75,231945.0
2015-11-23 05:00:00,25.65,26.08,25.46,25.63,153723.0
2015-11-24 05:00:00,25.17,25.71,25.15,25.7,159122.0
2015-11-25 05:00:00,25.7,25.92,25.39,25.63,151669.0
2015-11-27 05:00:00,25.58,25.9,25.24,25.35,74618.0
2015-11-30 05:00:00,25.43,26.18,25.165,25.57,516599.0
2015-12-01 05:00:00,25.71,26.78,25.67,26.39,353210.0
2015-12-02 05:00:00,26.27,26.69,26.19,26.52,271041.0
2015-12-03 05:00:00,26.59,27.0,25.9935,26.26,292311.0
2015-12-04 05:00:00,26.19,26.655,25.91,26.34,344648.0
2015-12-07 05:00:00,26.17,26.32,25.76,26.24,181176.0
2015-12-08 05:00:00,26.14,26.37,25.895,26.29,179379.0
2015-12-09 05:00:00,26.19,26.61,25.9701,26.49,223989.0
