date,open,high,low,close,volume
2023-10-17 04:00:00,16.5,17.25,15.53,16.18,3761653.0
2023-10-18 04:00:00,15.73,15.99,15.37,15.59,3623573.0
2023-10-19 04:00:00,15.57,15.94,15.48,15.54,3020854.0
2023-10-20 04:00:00,15.44,15.76,15.35,15.56,3731824.0
2023-10-23 04:00:00,15.38,15.54,15.13,15.35,2577797.0
2023-10-24 04:00:00,15.36,15.505,15.065,15.15,1991494.0
2023-10-25 04:00:00,14.95,15.14,14.54,14.79,2902434.0
2023-10-26 04:00:00,14.83,15.45,14.65,15.32,2820541.0
2023-10-27 04:00:00,15.37,15.42,14.77,14.85,1736414.0
2023-10-30 04:00:00,14.88,15.05,14.61,14.79,1692056.0
2023-10-31 04:00:00,14.84,15.37,14.79,15.29,1832555.0
2023-11-01 04:00:00,15.43,15.61,15.31,15.58,2112254.0
2023-11-02 04:00:00,15.88,16.14,15.65,16.14,1455296.0
2023-11-03 04:00:00,16.25,16.77,16.24,16.74,1971259.0
2023-11-06 05:00:00,16.73,16.73,16.55,16.64,1345847.0
2023-11-07 05:00:00,16.61,16.71,16.41,16.55,1084370.0
2023-11-08 05:00:00,16.5,16.75,16.35,16.43,1107548.0
2023-11-09 05:00:00,16.48,16.5,16.01,16.14,1360304.0
2023-11-10 05:00:00,15.76,15.93,14.65,15.92,1553326.0
2023-11-13 05:00:00,15.72,15.84,15.25,15.73,1227501.0
2023-11-14 05:00:00,16.18,16.39,16.03,16.27,1665598.0
2023-11-15 05:00:00,16.24,16.37,15.875,15.98,1891819.0
2023-11-16 05:00:00,15.9,15.98,15.23,15.27,1632475.0
2023-11-17 05:00:00,15.18,15.77,15.165,15.76,1814552.0
2023-11-20 05:00:00,15.75,15.91,15.625,15.91,1914903.0
2023-11-21 05:00:00,16.02,16.19,15.85,16.14,1904678.0
2023-11-22 05:00:00,16.18,16.3,16.04,16.09,1114880.0
2023-11-24 05:00:00,16.02,16.2,15.9,16.19,646845.0
2023-11-27 05:00:00,16.08,16.3,15.93,16.1,2111414.0
2023-11-28 05:00:00,16.01,16.2799,15.79,16.09,1390293.0
2023-11-29 05:00:00,16.24,16.36,15.68,15.7,2609707.0
2023-11-30 05:00:00,15.72,15.73,15.345,15.68,2258169.0
2023-12-01 05:00:00,15.68,16.16,15.6,16.14,1494412.0
2023-12-04 05:00:00,16.15,16.199,15.505,15.53,1971335.0
2023-12-05 05:00:00,15.6,15.71,15.36,15.46,1498190.0
2023-12-06 05:00:00,15.56,15.91,15.51,15.74,1397100.0
2023-12-07 05:00:00,15.77,15.77,15.27,15.48,1535672.0
2023-12-08 05:00:00,15.41,15.62,15.135,15.37,1585642.0
2023-12-11 05:00:00,15.42,15.63,15.38,15.44,1168370.0
2023-12-12 05:00:00,15.4,15.44,15.09,15.09,1231497.0
2023-12-13 05:00:00,15.06,15.54,14.82,15.49,1842282.0
2023-12-14 05:00:00,15.57,16.2,15.57,15.83,2182395.0
2023-12-15 05:00:00,15.94,15.95,15.475,15.5,4157840.0
2023-12-18 05:00:00,15.5,15.77,15.42,15.75,1562951.0
2023-12-19 05:00:00,15.8,16.28,15.76,16.25,1647041.0
2023-12-20 05:00:00,16.54,16.715,16.295,16.34,3743555.0
2023-12-21 05:00:00,16.5,16.68,16.44,16.59,2785972.0
2023-12-22 05:00:00,16.48,16.725,16.45,16.62,1686921.0
2023-12-26 05:00:00,16.66,17.15,16.66,17.09,1594397.0
2023-12-27 05:00:00,17.2,17.235,16.98,17.08,1343642.0
2023-12-28 05:00:00,17.05,17.17,16.93,17.12,1366883.0
2023-12-29 05:00:00,17.08,17.195,16.8,16.91,26915170.0
2024-01-02 05:00:00,16.71,17.39,16.56,17.14,2642374.0
2024-01-03 05:00:00,16.95,16.95,16.23,16.23,1972651.0
2024-01-04 05:00:00,16.15,16.44,15.92,16.16,2183072.0
2024-01-05 05:00:00,16.0,16.7488,16.0,16.58,2296820.0
2024-01-08 05:00:00,16.58,16.9,16.47,16.82,1299893.0
2024-01-09 05:00:00,16.62,16.72,16.27,16.31,1200600.0
2024-01-10 05:00:00,16.27,16.27,15.98,16.18,954347.0
2024-01-11 05:00:00,16.08,16.155,15.77,15.86,1690864.0
2024-01-12 05:00:00,15.98,15.98,15.07,15.08,2141569.0
2024-01-16 05:00:00,14.99,15.215,14.795,14.97,2599153.0
2024-01-17 05:00:00,14.74,14.74,14.23,14.33,1995163.0
2024-01-18 05:00:00,14.29,14.68,14.28,14.64,1743123.0
2024-01-19 05:00:00,14.73,14.875,14.5,14.75,1187166.0
2024-01-22 05:00:00,14.95,15.56,14.905,15.56,2399494.0
2024-01-23 05:00:00,15.73,15.81,15.385,15.51,990849.0
2024-01-24 05:00:00,15.63,15.72,15.275,15.34,1223789.0
2024-01-25 05:00:00,15.52,15.62,15.2245,15.56,1283017.0
2024-01-26 05:00:00,15.6,15.745,15.525,15.55,989149.0
2024-01-29 05:00:00,15.52,15.57,15.175,15.55,1206463.0
2024-01-30 05:00:00,15.5,15.59,15.16,15.21,896605.0
2024-01-31 05:00:00,15.15,15.27,14.68,14.7,981051.0
2024-02-01 05:00:00,14.8,15.2,14.78,15.18,1102342.0
2024-02-02 05:00:00,15.06,15.255,14.85,15.1,1315638.0
2024-02-05 05:00:00,14.92,14.94,14.48,14.71,1460023.0
2024-02-06 05:00:00,14.58,15.02,14.5,15.0,1435670.0
2024-02-07 05:00:00,15.05,15.16,14.68,14.89,1161696.0
2024-02-08 05:00:00,14.99,15.11,14.72,15.09,1007259.0
2024-02-09 05:00:00,15.04,15.61,14.97,15.47,1500013.0
2024-02-12 05:00:00,15.51,15.93,15.47,15.93,1835954.0
2024-02-13 05:00:00,15.36,15.56,14.97,15.28,2984940.0
2024-02-14 05:00:00,15.47,15.73,15.15,15.72,3732867.0
2024-02-15 05:00:00,15.9,15.98,15.505,15.82,2384438.0
2024-02-16 05:00:00,15.61,15.645,15.24,15.24,1765682.0
2024-02-20 05:00:00,15.04,15.41,14.985,15.39,1663625.0
2024-02-21 05:00:00,15.26,15.26,14.775,14.96,1575275.0
2024-02-22 05:00:00,15.16,15.16,14.42,14.63,3284224.0
2024-02-23 05:00:00,15.04,15.08,14.715,15.04,1636754.0
2024-02-26 05:00:00,14.97,14.97,14.645,14.68,2072898.0
2024-02-27 05:00:00,14.83,14.85,14.405,14.47,2249582.0
2024-02-28 05:00:00,14.23,14.55,14.135,14.31,2374433.0
2024-02-29 05:00:00,14.44,14.77,14.35,14.61,3718665.0
2024-03-01 05:00:00,12.81,13.01,11.36,11.47,13449736.0
2024-03-04 05:00:00,11.54,11.65,10.99,11.52,6031282.0
2024-03-05 05:00:00,11.41,12.195,11.36,11.87,4240147.0
2024-03-06 05:00:00,11.94,12.075,11.77,11.84,3066164.0
2024-03-07 05:00:00,11.89,12.215,11.86,12.17,4306196.0
2024-03-08 05:00:00,12.3,12.5,12.1,12.2,2621989.0
2024-03-11 04:00:00,12.18,12.545,12.16,12.31,2981037.0
2024-03-12 04:00:00,12.71,12.83,12.455,12.65,4168318.0
2024-03-13 04:00:00,12.65,12.96,12.52,12.65,3172092.0
2024-03-14 04:00:00,12.63,12.795,12.48,12.62,3319582.0
2024-03-15 04:00:00,12.56,12.755,12.31,12.34,6135851.0
2024-03-18 04:00:00,12.07,12.59,11.85,12.56,3426844.0
2024-03-19 04:00:00,12.62,12.895,12.62,12.74,2545488.0
2024-03-20 04:00:00,12.74,13.13,12.725,13.1,2299078.0
2024-03-21 04:00:00,13.15,13.66,13.1,13.6,2601158.0
2024-03-22 04:00:00,13.67,13.69,12.99,13.08,3512258.0
2024-03-25 04:00:00,13.14,13.145,12.33,12.54,3826608.0
2024-03-26 04:00:00,12.7,12.77,12.51,12.55,2025086.0
2024-03-27 04:00:00,12.65,12.75,12.45,12.61,1629448.0
2024-03-28 04:00:00,12.57,12.76,12.35,12.63,1764431.0
2024-04-01 04:00:00,12.56,12.6,12.35,12.37,1878647.0
2024-04-02 04:00:00,12.15,12.2,11.97,12.17,2580903.0
2024-04-03 04:00:00,12.12,12.38,12.06,12.23,3138480.0
2024-04-04 04:00:00,12.41,12.52,12.08,12.11,2016431.0
2024-04-05 04:00:00,12.09,12.27,12.0,12.26,1922246.0
2024-04-08 04:00:00,12.25,12.72,12.22,12.7,2555419.0
2024-04-09 04:00:00,13.0,13.15,12.765,12.8,1976599.0
2024-04-10 04:00:00,12.48,12.565,12.33,12.48,1733517.0
2024-04-11 04:00:00,12.5,12.53,12.275,12.28,1473308.0
2024-04-12 04:00:00,12.19,12.3,11.97,12.02,2092692.0
2024-04-15 04:00:00,12.09,12.18,11.96,11.99,2319871.0
2024-04-16 04:00:00,11.95,12.22,11.84,11.98,2313343.0
2024-04-17 04:00:00,12.08,12.265,12.0,12.02,1928907.0
2024-04-18 04:00:00,12.07,12.25,11.952,12.1,1818894.0
2024-04-19 04:00:00,12.05,12.21,11.865,11.94,1651577.0
2024-04-22 04:00:00,11.96,12.16,11.945,12.07,1945581.0
2024-04-23 04:00:00,12.09,12.4,12.09,12.24,2300515.0
2024-04-24 04:00:00,12.34,12.415,12.13,12.22,3135273.0
2024-04-25 04:00:00,12.13,12.28,12.02,12.16,2213607.0
2024-04-26 04:00:00,12.16,12.33,12.12,12.13,2117240.0
2024-04-29 04:00:00,12.2,12.455,12.19,12.34,2633161.0
2024-04-30 04:00:00,12.17,12.35,12.11,12.25,3447077.0
2024-05-01 04:00:00,12.23,12.37,12.03,12.13,3126824.0
2024-05-02 04:00:00,12.3,12.4125,12.06,12.09,1781945.0
2024-05-03 04:00:00,12.29,12.35,12.22,12.31,1989841.0
2024-05-06 04:00:00,12.42,12.67,12.42,12.48,2307975.0
2024-05-07 04:00:00,12.53,12.68,12.4,12.47,1741634.0
2024-05-08 04:00:00,12.41,12.62,12.32,12.62,2287416.0
2024-05-09 04:00:00,12.99,13.39,12.02,12.17,6060308.0
2024-05-10 04:00:00,12.22,12.545,12.08,12.47,3522708.0
2024-05-13 04:00:00,12.53,12.93,12.41,12.81,3125497.0
2024-05-14 04:00:00,12.94,13.075,12.8,13.01,2580425.0
2024-05-15 04:00:00,13.11,13.3,12.93,13.04,4554252.0
2024-05-16 04:00:00,13.0,13.37,12.89,13.35,2543544.0
2024-05-17 04:00:00,13.34,13.54,13.25,13.47,2439207.0
2024-05-20 04:00:00,13.45,13.68,13.4,13.65,1969926.0
2024-05-21 04:00:00,13.58,13.8,13.58,13.63,1493408.0
2024-05-22 04:00:00,13.6,13.7,13.51,13.55,1424017.0
2024-05-23 04:00:00,13.57,13.57,13.025,13.2,1379591.0
2024-05-24 04:00:00,13.21,13.49,13.21,13.45,1717011.0
2024-05-28 04:00:00,13.55,13.63,13.28,13.31,1434686.0
2024-05-29 04:00:00,13.07,13.07,12.68,12.89,2352579.0
2024-05-30 04:00:00,12.89,13.085,12.845,13.05,2116182.0
2024-05-31 04:00:00,13.12,13.305,13.045,13.18,1665566.0
2024-06-03 04:00:00,13.44,13.44,13.08,13.21,1461318.0
2024-06-04 04:00:00,13.06,13.23,12.945,12.97,1051203.0
2024-06-05 04:00:00,12.99,13.12,12.885,13.06,1060325.0
2024-06-06 04:00:00,13.09,13.16,12.83,12.83,969375.0
2024-06-07 04:00:00,12.69,12.83,12.66,12.78,1119680.0
2024-06-10 04:00:00,12.59,12.81,12.5,12.74,2040918.0
2024-06-11 04:00:00,12.63,12.63,12.425,12.55,1658861.0
2024-06-12 04:00:00,13.02,13.47,12.915,13.11,1559007.0
2024-06-13 04:00:00,13.17,13.2399,12.755,12.86,1180580.0
2024-06-14 04:00:00,12.73,12.84,12.51,12.53,2045310.0
2024-06-17 04:00:00,12.3,12.44,11.92,12.05,3287030.0
2024-06-18 04:00:00,12.0,12.18,11.91,12.11,2054557.0
2024-06-20 04:00:00,12.09,12.36,11.93,12.18,1908154.0
2024-06-21 04:00:00,12.24,12.45,11.95,12.38,2516630.0
2024-06-24 04:00:00,12.43,13.04,12.38,13.01,2029295.0
2024-06-25 04:00:00,13.02,13.03,12.335,12.38,2588896.0
2024-06-26 04:00:00,12.31,12.65,12.19,12.62,2337721.0
2024-06-27 04:00:00,12.67,12.69,12.27,12.33,1578183.0
2024-06-28 04:00:00,12.43,12.48,12.18,12.35,21414789.0
2024-07-01 04:00:00,12.41,12.63,12.265,12.6,2011342.0
